id,y,x,type
0,4869420.0,557959.0,inlet
1,4869427.311241539,557953.5836576874,junction
2,4869434.09390601,557916.8335073587,junction
3,4869443.474349645,557901.7858278252,junction
4,4869449.264162193,557893.6195122492,junction
5,4869466.750553512,557875.0248111541,junction
6,4869473.967086418,557866.299474888,junction
7,4869492.024297244,557849.6670314929,junction
8,4869508.903175053,557825.1770417196,junction
9,4869526.292202531,557817.7247511977,junction
10,4869557.734612444,557804.6287670431,junction
11,4869573.337674593,557776.4592411418,junction
12,4869578.4933194555,557769.5404479114,junction
13,4869592.018074407,557747.3667532813,junction
14,4869606.0,557714.0,outfall
15,4869122.0,558028.0,inlet
16,4869128.74144334,558026.4902905488,junction
17,4869150.926115196,558009.3892943147,junction
18,4869167.139485763,558000.1296517038,junction
19,4869183.919819153,557996.5398172715,junction
20,4869203.958070423,557984.4187380301,junction
21,4869211.252505956,557980.0666418652,junction
22,4869229.725821464,557968.4581548884,junction
23,4869248.119358002,557956.6721136826,junction
24,4869252.529032937,557953.5418079935,junction
25,4869278.098888644,557936.9516826529,junction
26,4869293.073113004,557927.4397263265,junction
27,4869299.995930314,557923.1516952693,junction
28,4869329.098605906,557904.5173383814,junction
29,4869352.747246887,557890.1260495784,junction
30,4869369.272549528,557879.216879198,junction
31,4869376.866232237,557875.065566026,junction
32,4869396.330066991,557848.6827072941,junction
33,4869404.569882231,557836.7401398012,junction
34,4869409.814668509,557831.2452255335,junction
35,4869425.902362855,557821.5519504382,junction
36,4869455.544403143,557808.9695340977,junction
37,4869475.054572593,557807.3324878768,junction
38,4869490.413721823,557802.9984807483,junction
39,4869513.581250539,557792.8017010567,junction
40,4869530.506106155,557786.0507729187,junction
41,4869537.669405425,557781.717286559,junction
42,4869565.296275912,557756.2001187046,junction
43,4869097.0,558106.0,inlet
44,4869104.914563601,558104.9963122422,junction
45,4869127.812941049,558097.5074824988,junction
46,4869132.102330785,558077.0528329274,junction
47,4869135.894618423,558035.0603959524,junction
48,4869004.0,557989.0,inlet
49,4869023.217563047,557981.344253818,junction
50,4869031.024215241,557977.685171615,junction
51,4869052.934098958,557970.4064381378,junction
52,4869077.405230955,557960.3686675858,junction
53,4869098.020984851,557953.9888639167,junction
54,4869108.172990397,557951.1593340304,junction
55,4869129.86055759,557943.3182390265,junction
56,4869148.987031278,557935.4310661483,junction
57,4869162.240285304,557929.5525915142,junction
58,4869177.059792328,557922.8710347534,junction
59,4869203.603405497,557909.9644151656,junction
60,4869210.974050019,557905.8718947886,junction
61,4869223.492086212,557900.6552645797,junction
62,4869251.309888052,557886.0502802113,junction
63,4869270.038493556,557879.6780616455,junction
64,4869276.403979068,557876.6385703755,junction
65,4869306.345030409,557864.5233133032,junction
66,4869332.431289078,557854.4118580704,junction
67,4869354.867156797,557845.7909902103,junction
68,4869386.369071522,557827.4585006983,junction
69,4869427.109128307,557799.3512936727,junction
70,4869449.8671414675,557797.8412531613,junction
71,4869522.768068847,557779.7092386335,junction
72,4868964.0,558630.0,inlet
73,4868984.336119679,558615.6829895917,junction
74,4869003.193018431,558601.9622461133,junction
75,4869028.823370167,558579.086401333,junction
76,4869053.38466322,558556.9968938889,junction
77,4869059.952141938,558551.7951556712,junction
78,4869078.16837261,558533.5468716394,junction
79,4869081.857083894,558529.0885692176,junction
80,4869099.045208819,558512.7069623033,junction
81,4869111.923277228,558499.9982242408,junction
82,4869127.363527086,558483.1878588656,junction
83,4869136.0250759795,558474.1532600641,junction
84,4869150.764133353,558458.8301607805,junction
85,4869156.745867857,558452.3928928032,junction
86,4869182.471370532,558436.7190253794,junction
87,4869190.280158026,558426.2555535671,junction
88,4869202.138471431,558414.4111454592,junction
89,4869213.38112413,558400.0825767638,junction
90,4869223.599924898,558388.4013288843,junction
91,4869235.648226549,558374.4767555061,junction
92,4869251.960119959,558354.4684432865,junction
93,4869273.146802479,558326.9369465889,junction
94,4869279.664739569,558318.0007154575,junction
95,4869289.164237925,558304.2462278062,junction
96,4869299.26130154,558286.8156438167,junction
97,4869301.714119679,558280.5369567411,junction
98,4869319.280852737,558255.6385236401,junction
99,4869327.5576559855,558240.135445942,junction
100,4869334.644164118,558229.0480993808,junction
101,4869337.292012146,558198.442444084,junction
102,4869350.031825874,558183.6759553435,junction
103,4869353.531311528,558178.3649727209,junction
104,4869376.351771114,558153.1778154821,junction
105,4869399.773999275,558126.1025477945,junction
106,4869415.497923826,558105.059459963,junction
107,4869424.975519232,558092.7787445515,junction
108,4869435.383248402,558077.8056252556,junction
109,4869453.940458074,558051.9897117384,junction
110,4869472.444071783,558023.7440624482,junction
111,4869475.660459955,558016.8208882412,junction
112,4869488.688850167,558001.3282303375,junction
113,4869498.565631569,557988.1381335527,junction
114,4869504.4013984185,557975.2051730632,junction
115,4869510.661344761,557956.0688351155,junction
116,4869522.797259312,557931.447421257,junction
117,4869525.168635565,557926.1667990444,junction
118,4869537.410909439,557903.8045100849,junction
119,4869550.071682542,557887.414132184,junction
120,4869552.625599151,557876.7466726601,junction
121,4869565.077141226,557852.1570717046,junction
122,4869574.35346626,557835.3943952384,junction
123,4869576.411727975,557826.3285140841,junction
124,4869585.840913751,557798.6954819361,junction
125,4869600.581106345,557753.4526984211,junction
126,4868964.0,558630.0,inlet
127,4868941.0,558157.0,inlet
128,4868950.421173106,558152.1381720182,junction
129,4868973.786839723,558139.1695533453,junction
130,4868995.34809697,558128.9272324803,junction
131,4869004.203009508,558124.4839246444,junction
132,4869026.271582145,558114.0153247229,junction
133,4869049.444085012,558107.5766264317,junction
134,4869056.401284604,558106.0908498013,junction
135,4869116.991569302,558077.4160094208,junction
136,4868904.0,558070.0,inlet
137,4868935.370796071,558062.3234550639,junction
138,4868953.06012213,558057.5748242476,junction
139,4868964.491945182,558054.9349448741,junction
140,4868975.091990326,558051.8442939548,junction
141,4868998.987411577,558045.3998003014,junction
142,4869035.038869847,558037.3237185292,junction
143,4869058.873451495,558030.5681436548,junction
144,4869073.874586951,558024.6930341761,junction
145,4868120.0,560037.0,inlet
146,4868130.774541675,560034.4066078755,junction
147,4868138.731881762,560030.572982685,junction
148,4868157.478209647,560027.745556231,junction
149,4868184.039237709,560021.3422062054,junction
150,4868207.6322546555,560016.6319550421,junction
151,4868239.094149081,560011.6396226385,junction
152,4868262.555639722,560008.2218122798,junction
153,4868282.251093388,560003.7578466207,junction
154,4868304.248134266,559986.2794018227,junction
155,4868329.559315869,559978.2496077279,junction
156,4868348.916035477,559957.8179288853,junction
157,4868352.656007289,559955.4315567224,junction
158,4868376.59709527,559934.8425046703,junction
159,4868385.007393293,559928.000190641,junction
160,4868401.596977479,559908.2775906881,junction
161,4868406.293798243,559902.5676371056,junction
162,4868426.858179343,559881.8292986932,junction
163,4868451.629363115,559855.886760727,junction
164,4868475.538369985,559830.3315022313,junction
165,4868502.17139595,559805.4672899088,junction
166,4868525.329687964,559797.4540333163,junction
167,4868552.8486153195,559784.3060361651,junction
168,4868559.042636552,559780.7100341406,junction
169,4868576.143952658,559764.9479619415,junction
170,4868588.778570734,559751.6352607534,junction
171,4868601.118214795,559732.5320511914,junction
172,4868606.057365117,559724.8829555538,junction
173,4868617.177324438,559694.2651772073,junction
174,4868629.155426563,559686.3159900091,junction
175,4868642.155265374,559676.2380044969,junction
176,4868653.80120847,559666.6373614022,junction
177,4868669.668722274,559652.7704431964,junction
178,4868673.450881275,559649.6421368734,junction
179,4868684.389271746,559631.7747797146,junction
180,4868695.599798585,559595.2729522064,junction
181,4868705.534252798,559588.9137780232,junction
182,4868719.491024801,559572.9828360531,junction
183,4868729.671746989,559563.4403044345,junction
184,4868733.230859209,559556.3503214645,junction
185,4868736.198090304,559516.069157922,junction
186,4868736.432254844,559491.7656942148,junction
187,4868736.618243421,559467.2432448245,junction
188,4868736.837572275,559443.9005103769,junction
189,4868741.500076859,559423.8267428193,junction
190,4868749.828431646,559411.6117167267,junction
191,4868750.230163023,559401.4243568139,junction
192,4868747.947282521,559394.2610614115,junction
193,4868752.855501961,559374.7207850826,junction
194,4868755.949175438,559349.4681673408,junction
195,4868757.63682639,559327.420767326,junction
196,4868759.039879604,559304.7264404603,junction
197,4868760.148046248,559281.7927205667,junction
198,4868774.712841572,559273.6149140276,junction
199,4868783.451828695,559256.5139434128,junction
200,4868800.383881531,559226.2108311977,junction
201,4868810.888285176,559206.5580026625,junction
202,4868820.728026636,559179.0530539255,junction
203,4868824.235411509,559161.2863225688,junction
204,4868826.457315054,559150.3073082874,junction
205,4868834.551260274,559124.8563824677,junction
206,4868842.700945003,559103.4005834467,junction
207,4868851.155346572,559081.1788371109,junction
208,4868862.688213402,559051.0327076465,junction
209,4868871.0298067415,559028.9721520783,junction
210,4868873.40496066,559023.4716030369,junction
211,4868879.836717199,559006.8793175342,junction
212,4868892.485628371,558976.4169228129,junction
213,4868901.691967602,558958.0020065972,junction
214,4868905.1594006475,558953.141526432,junction
215,4868918.209043312,558930.0664131709,junction
216,4868922.060053737,558902.6658840615,junction
217,4868924.2059491705,558894.5823728543,junction
218,4868928.673071709,558875.2510374787,junction
219,4868932.612886828,558848.8666501266,junction
220,4868938.389166009,558825.9287089105,junction
221,4868952.811712895,558800.5345211488,junction
222,4868978.324460682,558777.2320610516,junction
223,4869001.918495244,558759.8917364568,junction
224,4869013.360623861,558756.8146068807,junction
225,4869024.529507696,558742.603746433,junction
226,4869035.428119603,558730.4498217034,junction
227,4869053.063723033,558712.1060500594,junction
228,4869056.1810103115,558706.4113280169,junction
229,4869075.131887905,558682.9012129614,junction
230,4869080.299553612,558675.3088961123,junction
231,4869094.345827508,558656.4876690247,junction
232,4869101.674454875,558644.659216083,junction
233,4869113.500765324,558626.3486918538,junction
234,4869126.854701906,558607.8316873249,junction
235,4869129.395140874,558599.5643271182,junction
236,4869142.593422222,558579.0511967788,junction
237,4869150.403601033,558566.4250294567,junction
238,4869156.947969006,558550.928271889,junction
239,4869168.285725208,558527.3251872808,junction
240,4869173.685904092,558511.0308712069,junction
241,4869178.313293494,558501.8644504125,junction
242,4869196.441091688,558468.3403601194,junction
243,4869215.697441521,558463.5889528707,junction
244,4869224.137926328,558452.2991656876,junction
245,4869247.9616827,558426.0981754725,junction
246,4869253.419416097,558419.5058284552,junction
247,4869268.904134195,558402.7288690552,junction
248,4869277.291594199,558391.7008052876,junction
249,4869291.817376667,558375.0296483001,junction
250,4869299.813738743,558364.3568623207,junction
251,4869305.080740127,558356.6946659342,junction
252,4869326.123283673,558329.1376265328,junction
253,4869345.631204756,558302.265188708,junction
254,4869355.141957427,558287.4791089012,junction
255,4869359.5943095675,558279.3449308423,junction
256,4869374.240285796,558250.2102440738,junction
257,4869378.451930547,558230.0696183066,junction
258,4869397.473720708,558205.1444144042,junction
259,4869401.87495488,558199.7795941761,junction
260,4869419.589110377,558175.7856850742,junction
261,4869426.412791804,558167.1227541242,junction
262,4869436.280812844,558154.2620033562,junction
263,4869449.09145587,558134.9006363464,junction
264,4869454.70263336,558127.2218118377,junction
265,4869468.056356606,558105.7774476539,junction
266,4869477.517993198,558091.9009287624,junction
267,4869485.626306934,558077.262553829,junction
268,4869496.846918896,558056.8044094465,junction
269,4869502.36647193,558050.0453589057,junction
270,4869517.831183112,558023.2359312857,junction
271,4869526.885330374,558009.1231353554,junction
272,4869527.551440179,558005.9955398104,junction
273,4869536.965578402,557974.7426172853,junction
274,4869548.490914377,557950.586322615,junction
275,4869558.90911649,557929.266675407,junction
276,4869577.1918571275,557870.2034850442,junction
277,4869598.98378359,557787.0811640101,junction
278,4869601.774955434,557765.6823211181,junction
279,4868872.0,558092.0,inlet
