location_id,UTME,UTMN,elev_ft,elev_m
55A405,556026,4867225,1216.0
bs_overflow,557689,4869553,1232.0
bs,557714,4869606,1222.0
bs_data,557695,4869625,,371.8
bcbs,557702,4869656,,368.7
bc,557889,4869631,,371.09
