datetime,m3/d
2017-08-14,2865.2517504
2017-08-15,2925.7852779000004
2017-08-16,3169.7346168000004
2017-08-17,3406.6485549000004
2017-08-18,3586.6556613
2017-08-19,3601.3870107
2017-08-20,3472.1054145
2017-08-21,3386.2177386000003
2017-08-22,3210.4785474
2017-08-23,2995.9814871
2017-08-24,2829.8746926000003
2017-08-25,2699.9222562
2017-08-26,2531.8009989
2017-08-27,2380.7768211
2017-08-28,2275.3326635999997
2017-08-29,2159.9572968
2017-08-30,2059.136019
2017-08-31,1978.42383
2017-09-01,1929.6721692
2017-09-02,1852.6071114
2017-09-03,1840.4325000000001
2017-09-04,1754.6524379999998
2017-09-05,1693.0536677999999
2017-09-06,1640.9141208
2017-09-07,1571.8816854
2017-09-08,1526.9842404
2017-09-09,1481.2663104
2017-09-10,1475.0825013
2017-09-11,1407.9440025000001
2017-09-12,1352.6329172210526
2017-09-13,1280.8715022
2017-09-14,1285.8367095
2017-09-15,1252.9369098
2017-09-16,1243.9794132
2017-09-17,1280.1691593
2017-09-18,1275.1443837
2017-09-19,1344.470841
2017-09-20,1319.0390505
2017-09-21,1261.1917278
2017-09-22,1236.0540672
2017-09-23,1223.0440416
2017-09-24,1195.2154745999999
2017-09-25,1175.4021096
2017-09-26,1138.1893776
2017-09-27,1100.8643147999999
2017-09-28,1085.7227292
2017-09-29,1081.3206708
2017-09-30,1080.5869943999999
2017-10-01,1097.8418484
2017-10-02,1087.3656036
2017-10-03,1082.142108
2017-10-04,1063.7998407
2017-10-05,1015.8772032
2017-10-06,1084.0436154000001
2017-10-07,5387.7655764
2017-10-08,9556.0826823
2017-10-09,6827.623643700001
2017-10-10,5835.6522873
2017-10-11,5185.411118999999
2017-10-12,4454.277714899999
2017-10-13,4004.1920330999997
2017-10-14,3739.7872656
2017-10-15,3755.3360355
2017-10-16,3635.7166764
2017-10-17,3347.0956296000004
2017-10-18,3055.3312995
2017-10-19,2704.1299686
2017-10-20,2569.8376278
2017-10-21,2483.8679016
2017-10-22,2502.1462293
2017-10-23,2526.5971953000003
2017-10-24,2705.0596002
2017-10-25,2831.1853860000006
2017-10-26,2798.428851
2017-10-27,2706.3006066000003
2017-10-28,2597.2831872
2017-10-29,2501.6694453
2017-10-30,2382.5914946999997
2017-10-31,2260.2112272
2017-11-01,2170.2838959
2017-11-02,2061.5141025
2017-11-03,2031.0485157
2017-11-04,2002.0512528
2017-11-05,1899.4710420000001
2017-11-06,1840.4325503999999
2017-11-07,1785.9367872
2017-11-08,1756.6705439999998
2017-11-09,1731.1662170999998
2017-11-10,1736.0524746
2017-11-11,1689.1444026
2017-11-12,1659.8584656
2017-11-13,1657.9355706
2017-11-14,1659.8268576
2017-11-15,1647.5967081
2017-11-16,1656.9899271000002
2017-11-17,1589.8492386
2017-11-18,1570.9363686
2017-11-19,1568.1307194
2017-11-20,1542.5285778
2017-11-21,1490.4099324000001
2017-11-22,1537.9567668
2017-11-23,1491.3242946
2017-11-24,1707.618924
2017-11-25,1751.6884985999998
2017-11-26,1741.9159836
2017-11-27,1753.8345774
2017-11-28,1729.2117140999999
2017-11-29,1717.580484
2017-11-30,1750.7112471
2017-12-01,1741.9159836
2017-12-02,1687.1898996
2017-12-03,1677.4173846
2017-12-04,1664.7131151
2017-12-05,1669.6625886000002
2017-12-06,1645.9266771
2017-12-07,1657.9355706
2017-12-08,1643.7509180999998
2017-12-09,1598.3600301
2017-12-10,1574.7189426000002
2017-12-11,1570.9676499
2017-12-12,1569.9907251000002
2017-12-13,1566.301995
2017-12-14,1569.0450816
2017-12-15,1568.1307194
2017-12-16,1487.6668458000001
2017-12-17,1481.2663104
2017-12-18,1481.2663104
2017-12-19,1479.4995078000002
2017-12-20,1481.2663104
2017-12-21,1481.2663104
2017-12-22,1481.2663104
2017-12-23,1481.2663104
2017-12-24,1481.2663104
2017-12-25,1481.2663104
2017-12-26,1481.2663104
2017-12-27,1481.2663104
2017-12-28,1481.2663104
2017-12-29,1481.2663104
2017-12-30,1481.2663104
2017-12-31,1481.2663104
2018-01-01,1507.7828142
2018-01-02,1486.7524836
2018-01-03,1482.2116335
2018-01-04,1481.2663104
2018-01-05,1335.7725947234044
2018-01-06,1242.214632
2018-01-07,1249.7677785
2018-01-08,1235.6347392
2018-01-09,1235.6347392
2018-01-10,1240.6298985
2018-01-11,1257.1701579
2018-01-12,1236.4572258
2018-01-13,1235.6347392
2018-01-14,1236.4572258
2018-01-15,1234.079622
2018-01-16,1234.8422046
2018-01-17,1235.6646911999999
2018-01-18,1236.4871778
2018-01-19,1234.079622
2018-01-20,1235.6347392
2018-01-21,1207.1034935999999
2018-01-22,1310.6954007000002
2018-01-23,1209.510702
2018-01-24,1182.534921
2018-01-25,1160.3439521999999
2018-01-26,1288.1848338
2018-01-27,1353.1826853
2018-01-28,1311.3035064
2018-01-29,1245.5045784000001
2018-01-30,1244.7423314999999
2018-01-31,1238.1021990000002
2018-02-01,1238.9546376
2018-02-02,1237.2797124
2018-02-03,1235.6347392
2018-02-04,1237.3100001
2018-02-05,1238.9246856
2018-02-06,1239.7471722
2018-02-07,1266.0667434
2018-02-08,1299.788694
2018-02-09,1313.7709662
2018-02-10,1314.5934528
2018-02-11,1349.5571991
2018-02-12,1354.6738449000002
2018-02-13,1387.9623303
2018-02-14,1394.8764057
2018-02-15,1413.2444103
2018-02-16,1402.6435947
2018-02-17,1414.2516552
2018-02-18,1429.2068877000002
2018-02-19,1480.3829091
2018-02-20,1429.1456337
2018-02-21,1371.7940093999998
2018-02-22,1313.8312059
2018-02-23,1315.4462271
2018-02-24,1316.2990014
2018-02-25,1308.01356
2018-02-26,1316.3292891
2018-02-27,1544.4437994
2018-02-28,2212.2906110999998
2018-03-01,2918.1798801
2018-03-02,2871.8544294000003
2018-03-03,3759.7380732
2018-03-04,4234.8362319
2018-03-05,3340.5491556
2018-03-06,2628.4494411
2018-03-07,2432.6533925999997
2018-03-08,2345.572719
2018-03-09,2271.6446508
2018-03-10,2362.0349403
2018-03-11,2374.9430157
2018-03-12,2369.6155998
2018-03-13,2386.8801998999998
2018-03-14,2686.1368959
2018-03-15,2938.5298026
2018-03-16,2879.1233181000002
2018-03-17,3400.2261972
2018-03-18,5051.3401161
2018-03-19,4881.9545307
2018-03-20,4327.3286397
2018-03-21,3664.8948996
2018-03-22,3565.7935344
2018-03-23,3472.5399732
2018-03-24,3202.3039599000003
2018-03-25,3026.1384081
2018-03-26,3047.2344522000003
2018-03-27,3218.9375799000004
2018-03-28,3302.3621043000003
2018-03-29,3279.2266314000003
2018-03-30,3129.8800302
2018-03-31,3033.8884961999997
2018-04-01,2980.9377828
2018-04-02,2898.8817174
2018-04-03,2857.390614
2018-04-04,2808.9109422
2018-04-05,2772.2236230000003
2018-04-06,2763.2279727000005
2018-04-07,2845.6681014
2018-04-08,2828.5648631999998
2018-04-09,2751.2594406000003
2018-04-10,2751.2594406000003
2018-04-11,2831.7220011000004
2018-04-12,3512.0480985
2018-04-13,4204.8803511
2018-04-14,4518.8208063
2018-04-15,4298.7545991
2018-04-16,4057.7220207000005
2018-04-17,3772.4486724
2018-04-18,3443.0391144
