datetime
2020-01-01,6498.8747802
2020-01-02,6221.3285160000005
2020-01-03,5977.5248079
2020-01-04,5688.364177800001
2020-01-05,5516.7007095
2020-01-06,5374.8829467000005
2020-01-07,5205.3813153
2020-01-08,5029.3707408
2020-01-09,4933.6790976
2020-01-10,4711.569039
2020-01-11,4627.9944567
2020-01-12,4481.2172835
2020-01-13,4346.0555292
2020-01-14,4201.823620800001
2020-01-15,4032.0900009
2020-01-16,3988.0704996
2020-01-17,3949.7705559
2020-01-18,3863.8090331999997
2020-01-19,3839.5513115999997
2020-01-20,3770.8879211999997
2020-01-21,3733.5083075999996
2020-01-22,3708.5400747
2020-01-23,3581.5757472
2020-01-24,3545.0007264
2020-01-25,3543.5130669000005
2020-01-26,3489.9573249000005
2020-01-27,3481.0313679000005
2020-01-28,3446.8151994
2020-01-29,3452.7658374000002
2020-01-30,3424.5003069
2020-01-31,3405.1607334000005
2020-02-01,3405.1607334000005
2020-02-02,3403.6730739
2020-02-03,3403.6730739
2020-02-04,3402.1854144000004
2020-02-05,3402.1854144000004
2020-02-06,3400.7337909000003
2020-02-07,3364.4432034
2020-02-08,3288.9587814
2020-02-09,3270.2664699
2020-02-10,3254.3343702
2020-02-11,3210.4425645000006
2020-02-12,3166.7295483000003
2020-02-13,3162.3031647000003
2020-02-14,3177.9134352
2020-02-15,3166.6935123000003
2020-02-16,3126.9065472
2020-02-17,3180.7094058000002
2020-02-18,3262.8653172
2020-02-19,3182.1252705
2020-02-20,3129.7382766000005
2020-02-21,3116.0402901
2020-02-22,3122.7653844
2020-02-23,3126.9065472
2020-02-24,3120.0046092
2020-02-25,3106.2007332
2020-02-26,3093.8127219000003
2020-02-27,3017.8559268000004
2020-02-28,2995.7697252
2020-02-29,2999.9108880000003
2020-03-01,3110.5258811999997
2020-03-02,3338.8905564
2020-03-03,3722.2544421000002
2020-03-04,4605.3264006
2020-03-05,6774.1551954
2020-03-06,7234.724394
2020-03-07,10706.709465
2020-03-08,24047.817628499997
2020-03-09,19342.8770382
2020-03-10,12345.1929486
2020-03-11,10575.9261756
2020-03-12,11134.916652599999
2020-03-13,10265.8370454
2020-03-14,8919.4067541
2020-03-15,8008.209203399999
2020-03-16,7455.8944341
2020-03-17,7041.854475900001
2020-03-18,6703.4753496
2020-03-19,6673.8806514
2020-03-20,7448.485485599999
2020-03-21,7949.8730682
2020-03-22,8364.910649399999
2020-03-23,8163.909513
2020-03-24,7926.668108999999
2020-03-25,7856.3999988
2020-03-26,8055.691144199999
2020-03-27,8856.4224321
2020-03-28,9857.100210300001
2020-03-29,12006.2837421
2020-03-30,16676.4061404
2020-03-31,15557.9320179
2020-04-01,13489.692579
2020-04-02,11977.0192368
2020-04-03,10995.2087958
2020-04-04,10232.854530300001
2020-04-05,9493.370847
2020-04-06,9057.042612899999
2020-04-07,8688.8898657
2020-04-08,8307.5257116
2020-04-09,7968.1679235
2020-04-10,7696.059946199999
2020-04-11,7535.1303999
2020-04-12,7378.2149022
2020-04-13,7182.8206199999995
2020-04-14,6955.967637000002
2020-04-15,6829.1086608000005
2020-04-16,6563.639543400001
2020-04-17,6611.691844800001
2020-04-18,7824.670026299999
2020-04-19,9629.5524822
2020-04-20,10234.393128000002
2020-04-21,10149.722928000001
2020-04-22,10057.262838300001
2020-04-23,9734.4509643
2020-04-24,9318.7356876
2020-04-25,8936.4580191
2020-04-26,8645.3512704
2020-04-27,8427.703941
2020-04-28,8159.051624399999
2020-04-29,7929.1391238
2020-04-30,7762.892412599999
2020-05-01,7610.174243099999
2020-05-02,7410.9220542
2020-05-03,7246.867605300001
2020-05-04,7163.978916600001
2020-05-05,7057.649491200001
2020-05-06,6926.844945600001
2020-05-07,6855.764011200001
2020-05-08,6744.7000512
2020-05-09,6740.2983096
2020-05-10,6735.896568
2020-05-11,6596.265340800001
2020-05-12,6528.6710064
2020-05-13,6524.3912202
2020-05-14,6385.2575994
2020-05-15,6321.101166
2020-05-16,6283.309311
2020-05-17,8514.238484700001
2020-05-18,25944.9642954
2020-05-19,27715.205654999998
2020-05-20,23521.730819400003
2020-05-21,20364.1260426
2020-05-22,18380.5368948
2020-05-23,16610.4604494
2020-05-24,15308.5236984
2020-05-25,14360.1692661
2020-05-26,16325.265526199999
2020-05-27,21896.569967400002
2020-05-28,23337.0013059
2020-05-29,23372.484511500003
2020-05-30,23011.1388891
2020-05-31,21712.0387896
2020-06-01,20284.2609849
2020-06-02,19046.4370416
2020-06-03,18316.456513200003
2020-06-04,17515.2569067
2020-06-05,16815.1569093
2020-06-06,16076.0559735
2020-06-07,15863.8294305
2020-06-08,15461.164587599998
2020-06-09,23836.8431367
2020-06-10,66514.89228300001
2020-06-11,47186.1065286
2020-06-12,36856.4960583
2020-06-13,30348.2895939
2020-06-14,26195.1898194
2020-06-15,23155.003600199998
2020-06-16,21296.0164572
2020-06-17,19494.4258251
2020-06-18,18055.2687264
2020-06-19,17277.3949374
2020-06-20,16242.7469238
2020-06-21,15508.518407099999
2020-06-22,14132.132865
2020-06-23,13028.118146100001
2020-06-24,12324.445970400002
2020-06-25,11674.140233400001
2020-06-26,11186.845393500002
2020-06-27,10731.5748693
2020-06-28,10248.4317393
2020-06-29,10262.913174000001
2020-06-30,9965.7694044
2020-07-01,9549.5444352
2020-07-02,9350.1801684
2020-07-03,9053.5387779
2020-07-04,8840.297908800001
2020-07-05,8632.570946400001
2020-07-06,8435.201812199999
2020-07-07,8242.855416
2020-07-08,8218.145268
2020-07-09,8294.8315536
2020-07-10,8265.094549200001
2020-07-11,8079.7684392
