datetime,"557091, 4867265",total,error
2018-01-01,378.11449440508443,378.11449440508443,
2018-01-02,378.06715902005647,378.06715902005647,
2018-01-03,378.0232988633424,378.0232988633424,
2018-01-04,377.97763807215796,377.97763807215796,
2018-01-05,377.93159241436075,377.93159241436075,
2018-01-06,377.8854334444131,377.8854334444131,
2018-01-07,377.8379201484276,377.8379201484276,
2018-01-08,377.7985924469765,377.7985924469765,
2018-01-09,377.7636656031194,377.7636656031194,
2018-01-10,377.72150348629333,377.72150348629333,
2018-01-11,377.6674771469391,377.6674771469391,
2018-01-12,383.10517386191583,383.10517386191583,
2018-01-13,378.4160472239255,378.4160472239255,
2018-01-14,377.9855746317861,377.9855746317861,
2018-01-15,377.78341648971644,377.78341648971644,
2018-01-16,377.63649254627205,377.63649254627205,
2018-01-17,377.56135350560237,377.56135350560237,
2018-01-18,377.5017783892689,377.5017783892689,-0.3831656107311119
2018-01-19,378.37821017317344,378.37821017317344,0.5024101731734163
2018-01-20,378.4984629838636,378.4984629838636,0.631806983863612
2018-01-21,377.9584559270705,377.9584559270705,0.09789592707045358
2018-01-22,377.67817175330055,377.67817175330055,-0.27382824669945194
2018-01-23,394.0210274819849,394.0210274819849,15.919675481984882
2018-01-24,383.9591660047794,383.9591660047794,5.958398004779383
2018-01-25,381.9341832006723,381.9341832006723,4.006567200672293
2018-01-26,381.12733628620225,381.12733628620225,3.1905762862022584
2018-01-27,380.8309222674043,380.8309222674043,2.5924102674042615
2018-01-28,379.89927624236395,379.89927624236395,1.5205562423639662
2018-01-29,379.80060780908866,379.80060780908866,1.5224718090886427
2018-01-30,379.53086543457056,379.53086543457056,1.395985434570548
2018-01-31,379.45882626696635,379.45882626696635,1.4336742669663636
2018-02-01,379.21506945749564,379.21506945749564,1.2478294574956408
2018-02-02,378.7371613829123,378.7371613829123,0.8125933829122687
2018-02-03,378.6592341902648,378.6592341902648,0.7742901902647645
2018-02-04,378.4060717774741,378.4060717774741,0.5546557774741245
2018-02-05,378.3428670799081,378.3428670799081,0.5097390799081154
2018-02-06,378.2843825022302,378.2843825022302,0.46649450223020494
2018-02-07,378.2036789858254,378.2036789858254,0.3979829858253652
2018-02-08,378.0766089353833,378.0766089353833,0.28615293538331343
2018-02-09,378.01995652371824,378.01995652371824,0.24169252371825678
2018-02-10,377.8463870541351,377.8463870541351,0.08031505413509876
2018-02-11,377.67611208664295,377.67611208664295,-0.07776791335703592
2018-02-12,377.6095817657049,377.6095817657049,-0.129058234295087
2018-02-13,377.54344906151937,377.54344906151937,-0.18299893848063675
2018-02-14,377.4960017646514,377.4960017646514,-0.2243502353485951
2018-02-15,377.6326828310229,377.6326828310229,-0.10900516897709167
2018-02-16,377.52022815634234,377.52022815634234,-0.34033184365767966
2018-02-17,377.17346552206163,377.17346552206163,-0.7297664779383695
2018-02-18,377.07756348180015,377.07756348180015,-0.7098445181998727
2018-02-19,377.31594023866734,377.31594023866734,-0.5537637613326751
2018-02-20,377.1367154234912,377.1367154234912,-0.7573725765088284
2018-02-21,376.8999862880331,376.8999862880331,-0.8935177119668651
2018-02-22,376.8999955446755,376.8999955446755,-0.8660764553245031
2018-02-23,376.8063663700508,376.8063663700508,-0.9444656299492067
2018-02-24,376.73929191747,376.73929191747,-0.9932520825300344
2018-02-25,379.15418977236766,379.15418977236766,1.4460297723676376
2018-02-26,377.20727928044556,377.20727928044556,-0.4825927195544182
2018-02-27,383.7722753090236,383.7722753090236,5.954387309023616
2018-02-28,381.35553473988637,381.35553473988637,2.754310739886364
2018-03-01,378.63543446159395,378.63543446159395,-1.0264935384060436
2018-03-02,378.1320416282425,378.1320416282425,-2.0297583717575094
2018-03-03,377.46729501795,377.46729501795,-3.0511209820500085
2018-03-04,377.02038337001017,377.02038337001017,-3.815024629989807
2018-03-05,377.48742170461435,377.48742170461435,-3.430282295385666
2018-03-06,376.7539198756354,376.7539198756354,-4.041864124364622
2018-03-07,376.7012711678594,376.7012711678594,-3.963448832140614
