datetime,"557714, 4869606","557689, 4869553",total,error
2018-01-01,1022.7034749342856,63.779942340930575,1086.4834172752162,-421.2993969247839
2018-01-02,1013.9716179332609,54.8495497526892,1068.82116768595,-417.93131591404995
2018-01-03,1005.9956985989847,46.692387071598205,1052.688085670583,-429.5235478294171
2018-01-04,998.2021713159193,38.721882097495836,1036.924053413415,-444.34225698658497
2018-01-05,989.7527672351134,30.080443682309124,1019.8332109174225,-315.93938380598183
2018-01-06,981.5373737932387,21.678456314548384,1003.215830107787,-238.9988018922129
2018-01-07,973.473412053223,13.431747400725726,986.9051594539487,-262.86261904605135
2018-01-08,965.5915289296972,5.370958537081606,970.9624874667788,-264.6722517332212
2018-01-09,959.841393192226,-0.0,959.841393192226,-275.79334600777406
2018-01-10,950.9842045009282,-0.0,950.9842045009282,-289.6456939990719
2018-01-11,940.1979450856888,-0.0,940.1979450856888,-316.9722128143112
2018-01-12,2059.217029179912,1124.2832669493655,3183.5002961292776,1947.0430703292775
2018-01-13,1076.7842499771505,119.09356826815929,1195.8778182453098,-39.75692095469026
2018-01-14,999.5740357535396,40.1248872771539,1039.6989230306935,-196.7583027693065
2018-01-15,963.0169280662085,2.738050335276057,965.7549784014845,-268.3246435985154
2018-01-16,934.1260505552054,-0.0,934.1260505552054,-300.7161540447946
2018-01-17,918.8701732542104,-0.0,918.8701732542104,-316.7945179457897
2018-01-18,906.7870884244476,-0.0,906.7870884244476,-329.70008937555235
2018-01-19,1070.1962287482893,112.35388223564951,1182.5501109839388,-51.52951101606118
2018-01-20,1091.5700894481124,134.22004580986686,1225.7901352579793,-9.84460394202074
2018-01-21,994.5873665439722,35.02486040678923,1029.6122269507614,-177.4912666492387
2018-01-22,942.6678062827705,-0.0,942.6678062827705,-368.0275944172297
2018-01-23,5269.064798986961,4408.052770927054,9677.117569914015,8467.606867914015
2018-01-24,2315.4290174751804,1386.4228992338467,3701.851916709027,2519.316995709027
2018-01-25,1743.0496397766692,800.7913566499046,2543.840996426574,1383.4970442265737
2018-01-26,1576.324944801352,630.1983898115868,2206.523334612939,918.338500812939
2018-01-27,1519.2706735013053,571.8222357748746,2091.09290927618,737.9102239761799
2018-01-28,1345.1817267813312,393.6956022842787,1738.87732906561,427.5738226656099
2018-01-29,1327.3040000709298,375.40274643430894,1702.7067465052387,457.2021681052388
2018-01-30,1278.3202013078699,325.2830396677018,1603.6032409755717,358.8609094755716
2018-01-31,1265.1486907313083,311.80638142031967,1576.955072151628,338.8528731516278
2018-02-01,1220.925400959808,266.5604388288193,1487.4858397886273,248.53120218862728
2018-02-02,1134.880537268662,178.52908669182216,1313.4096239604842,76.12991156048406
2018-02-03,1120.28846139308,163.60034351891954,1283.8888049119996,48.2540657119996
2018-02-04,1074.9994483252813,117.26769547849835,1192.2671438037796,-45.04285629622041
2018-02-05,1063.482792418974,105.48652022836905,1168.969312647343,-69.95537295265694
2018-02-06,1052.893549802524,94.65636896659271,1147.5499187691166,-92.19725343088339
2018-02-07,1038.6634432468272,80.10273481957847,1118.7661780664057,-147.30056533359425
2018-02-08,1016.0579757673695,56.98340277299576,1073.0413785403653,-226.74731545963482
