id,y,x,type
0,4867230.0,558515.0,inlet
1,4867232.055628534,558506.771434441,junction
2,4867239.669838405,558476.7907759983,junction
3,4867252.211847709,558452.6278196516,junction
4,4867279.293546976,558440.4693308747,junction
5,4867296.091889589,558430.3800823898,junction
6,4867300.546719281,558427.4332454278,junction
7,4867327.690974843,558409.40608756,junction
8,4867331.979947193,558405.8471829927,junction
9,4867350.993169783,558392.2417302527,junction
10,4867364.855313718,558375.8225630611,junction
11,4867374.4910633,558364.6315043991,junction
12,4867383.851427951,558353.8954662075,junction
13,4867397.647316171,558331.4773865996,junction
14,4867403.757538645,558327.4264543812,junction
15,4867414.1011771625,558306.2806251412,junction
16,4867425.975988286,558279.027626946,junction
17,4867462.157953028,558274.9405008311,junction
18,4867491.928642279,558266.624597357,junction
19,4867504.060662007,558259.2039637537,junction
20,4867510.562364275,558254.334777278,junction
21,4867523.556141091,558241.0764932244,junction
22,4867542.481053356,558225.0820052188,junction
23,4867555.747062406,558211.604856954,junction
24,4867561.763784185,558206.203623566,junction
25,4867596.427887856,558179.9072378426,junction
26,4867605.027869863,558173.2951621632,junction
27,4867645.780744149,558170.0148694029,junction
28,4867669.931959864,558169.7200110215,junction
29,4867710.949991803,558169.6847948467,junction
30,4867735.926873641,558169.5912443362,junction
31,4867760.8943841895,558169.5125185626,junction
32,4867785.88072272,558169.40655525,junction
33,4867785.88072272,558144.40655525,junction
34,4867810.88072272,558144.40655525,junction
35,4867835.88072272,558144.40655525,junction
36,4867860.88072272,558144.40655525,junction
37,4867885.88072272,558144.40655525,junction
38,4867910.88072272,558144.40655525,junction
39,4867926.460250869,558130.2758474743,junction
40,4867963.389095279,558121.9226687914,junction
41,4867994.561336445,558122.6481935021,junction
42,4868018.507215836,558123.7014534873,junction
43,4868042.2678481145,558124.2971527108,junction
44,4868060.69613053,558119.8870771751,junction
45,4868087.440416923,558107.7871612,junction
46,4868109.487586172,558107.5104262753,junction
47,4868127.171208857,558102.3100011364,junction
48,4868157.032392745,558094.9670154883,junction
49,4868176.475059287,558090.2351066858,junction
50,4868205.567077898,558082.826499607,junction
51,4868221.723060804,558079.6280402433,junction
52,4868232.9563329695,558076.8726965564,junction
53,4868252.764305017,558073.1378700827,junction
54,4868277.073557102,558068.7566585148,junction
55,4868305.8155262545,558057.1942752552,junction
56,4868318.710281515,558056.5324207473,junction
