id,y,x,type
0,4868123.0,560306.0,inlet
1,4868125.152171744,560299.68109219,junction
2,4868135.442906822,560267.8407899834,junction
3,4868136.824841453,560244.7218411076,junction
4,4868147.761948433,560220.1681274336,junction
5,4868151.866749726,560206.167599427,junction
6,4868175.832696875,560183.0799304438,junction
7,4868180.65146005,560181.0139735029,junction
8,4868207.910655831,560162.3791363926,junction
9,4868217.699423693,560156.1083562141,junction
10,4868235.909518736,560142.4574714503,junction
11,4868249.073077351,560128.3974238153,junction
12,4868274.631380972,560121.8992133397,junction
13,4868322.033929499,560105.4962161728,junction
14,4868330.758055168,560098.6592792054,junction
15,4868371.028923955,560095.1197720636,junction
16,4868394.862555502,560094.5795768228,junction
17,4868415.661767918,560090.738919399,junction
18,4868427.662767135,560082.3832875043,junction
19,4868438.793031876,560071.4761911945,junction
20,4868455.33475931,560059.7930921672,junction
21,4868461.621202502,560054.284016577,junction
22,4868478.256149807,560040.7162203357,junction
23,4868493.167897284,560024.8110530813,junction
24,4868503.6651279265,560008.2361261259,junction
25,4868508.800324012,559991.2933484748,junction
26,4868526.915825445,559956.3022707794,junction
27,4868559.865194891,559927.4004159292,junction
28,4868578.921712344,559908.9680396855,junction
29,4868585.88072272,559894.40655525,junction
30,4868610.88072272,559894.40655525,junction
31,4868635.88072272,559894.40655525,junction
32,4868660.88072272,559894.40655525,junction
33,4868681.651679401,559888.4519585993,junction
34,4868696.11351368,559878.8614095558,junction
35,4868702.914964366,559868.4950126659,junction
36,4868714.083044019,559854.5819046733,junction
37,4868724.841436644,559839.9016229151,junction
38,4868750.951837409,559834.3029080848,junction
39,4868769.754872121,559827.2628678574,junction
40,4868776.3900966495,559814.2491357842,junction
41,4868783.152754161,559804.8705827893,junction
42,4868800.087685976,559784.9845600481,junction
43,4868800.869987021,559781.5460404307,junction
44,4868823.766355681,559752.9969772239,junction
45,4868835.88072272,559719.40655525,junction
46,4868835.88072272,559694.40655525,junction
47,4868835.88072272,559669.40655525,junction
48,4868835.88072272,559644.40655525,junction
49,4868835.88072272,559619.40655525,junction
50,4868843.866304997,559599.7302767681,junction
51,4868855.1195992045,559586.2103964102,junction
52,4868858.7734457115,559566.4082253732,junction
53,4868860.112591343,559543.3132525989,junction
54,4868860.602984925,559519.0110286243,junction
55,4868860.781288852,559494.2649612466,junction
56,4868860.850495522,559469.3670613118,junction
57,4868860.88072272,559444.40655525,junction
58,4868860.88072272,559419.40655525,junction
59,4868860.88072272,559394.40655525,junction
60,4868860.88072272,559369.40655525,junction
61,4868860.88072272,559344.40655525,junction
62,4868844.04139123,559332.8031728758,junction
63,4868838.981394993,559315.0306421954,junction
64,4868837.290223749,559292.4468635103,junction
