,date,S_m,R_o_m,R_h_m,R_o (m3/d),R_h (m3/d)
0,2018-05-01,0.0,0.0,0.0014986,0.0,6937.445002400001
1,2018-05-02,0.0,0.0,0.0001016,0.0,470.3352544
2,2018-05-03,0.01811076923755102,0.0020123076930612244,0.0025654000000000002,9315.543806565236,11875.965173600001
3,2018-05-04,0.014683709913795917,0.001631523323755102,0.00025400000000000005,7552.784818286314,1175.8381360000003
4,2018-05-05,0.011295920604048978,0.0012551022893387755,0.0,5810.224946399364,0.0
5,2018-05-06,0.007616651142827753,0.000846294571425306,0.0,3917.737918786026,0.0
6,2018-05-07,0.004739555380381713,0.000526617264486857,0.0,2437.860876612775,0.0
7,2018-05-08,0.006580659982751705,0.0007311844425279672,0.0004064,3384.860440843638,1881.3410176
8,2018-05-09,0.013460570359986736,0.0014956189288874153,0.0010922,6923.644777595649,5056.1039848
9,2018-05-10,0.008826036311743163,0.000980670701304796,2.54e-05,4539.803186819071,117.5838136
10,2018-05-11,0.03991693733036476,0.004435215258929418,0.0040894,20531.871034717813,18930.9939896
11,2018-05-12,0.036956074591614,0.0041062305101793335,0.00030480000000000004,19008.907201085025,1411.0057632000003
12,2018-05-13,0.031793846881024025,0.0035326496534471142,0.0,16353.638518308271,0.0
13,2018-05-14,0.032051918108023665,0.003561324234224852,0.0005588,16486.38129630936,2586.8438992
14,2018-05-15,0.025856162391915176,0.0028729069324350195,0.0,13299.502095810518,0.0
15,2018-05-16,0.02064883125313182,0.0022943145836813133,0.0,10621.033793202565,0.0
16,2018-05-17,0.016549489443737006,0.0018388321604152229,0.0,8512.476298895624,0.0
17,2018-05-18,0.012630569207934733,0.001403396578659415,0.0,6496.721327242772,0.0
18,2018-05-19,0.009936499767957586,0.001104055529773065,0.0,5110.986599089974,0.0
19,2018-05-20,0.007825470329937339,0.000869496703326371,0.0,4025.1471767615158,0.0
20,2018-05-21,0.009589683110821156,0.0010655203456467952,0.000381,4932.596287777179,1763.757204
21,2018-05-22,0.008179881363004347,0.000908875707000483,0.0,4207.443768406024,0.0
22,2018-05-23,0.007302182539356974,0.0008113536154841082,5.08e-05,3755.9863105027343,235.1676272
23,2018-05-24,0.005710437441339644,0.0006344930490377383,0.0,2937.248520021617,0.0
24,2018-05-25,0.00816176091353221,0.0009068623237258012,0.0008128,4198.123245426672,3762.6820352
25,2018-05-26,0.004503796427076949,0.0005004218252307721,0.0,2316.5947487916096,0.0
26,2018-05-27,0.002365136098654968,0.00026279289985055206,0.0,1216.5429665917632,0.0
27,2018-05-28,0.0010677753410343696,0.0001186417045593744,7.620000000000001e-05,549.226144649439,352.75144080000007
28,2018-05-29,0.004502740726114606,0.0005003045251238452,0.0005842,2316.0517332834143,2704.4277128
29,2018-05-30,0.0052229442926868186,0.0005803271436318687,0.000381,2686.499160780712,1763.757204
30,2018-05-31,0.00020726445933650335,2.3029384370722597e-05,0.0,106.60956059723618,0.0
31,2018-06-01,0.0,0.0,0.0,0.0,0.0
32,2018-06-02,0.0,0.0,0.0,0.0,0.0
33,2018-06-03,0.0,0.0,0.0,0.0,0.0
34,2018-06-04,0.0,0.0,0.0,0.0,0.0
35,2018-06-05,0.0,0.0,0.0,0.0,0.0
36,2018-06-06,0.0,0.0,7.620000000000001e-05,0.0,352.75144080000007
37,2018-06-07,0.00015735159183673423,1.7483510204081584e-05,0.0002794,80.93613405159161,1293.4219496
38,2018-06-08,0.013661867446530609,0.0015179852718367345,0.0019049999999999998,7027.184931149445,8818.78602
39,2018-06-09,0.026728237426775506,0.0029698041585306117,0.0019049999999999998,13748.066874219225,8818.78602
40,2018-06-10,0.022141586680016322,0.0024601762977795915,0.0001016,11388.854772490298,470.3352544
41,2018-06-11,0.01881591043813714,0.0020906567153485714,2.54e-05,9678.243681855696,117.5838136
42,2018-06-12,0.014144179508609139,0.0015715755009565711,0.0,7275.26932137024,0.0
43,2018-06-13,0.00932777742713598,0.00103641971412622,0.0,4797.881199889084,0.0
44,2018-06-14,0.006202469202789729,0.0006891632447544143,0.0,3190.332382329694,0.0
45,2018-06-15,0.003309903693123001,0.00036776707701366684,0.0,1702.4982453461357,0.0
46,2018-06-16,0.0012496221727902929,0.0001388469080878103,7.620000000000001e-05,642.7617700603708,352.75144080000007
47,2018-06-17,0.011767429147347994,0.0013074921274831106,0.0019049999999999998,6052.752385883524,8818.78602
48,2018-06-18,0.023165293919143806,0.0025739215465715344,0.0018288,11915.413832798858,8466.0345792
49,2018-06-19,0.019973112605596775,0.002219234733955197,0.00012700000000000002,10273.46784614305,587.9190680000002
50,2018-06-20,0.03916791796544526,0.004351990885049474,0.0030734,20146.60177230537,14227.6414456
51,2018-06-21,0.042074876944410936,0.004674986327156771,0.0012446,21641.839404525606,5761.6068664
52,2018-06-22,0.033819838425480045,0.0037577598250533384,0.0,17395.73743396222,0.0
53,2018-06-23,0.026711509423748368,0.0029679454915275964,2.54e-05,13739.462576800837,117.5838136
54,2018-06-24,0.02122885839974088,0.0023587620444156534,0.0,10919.379392020674,0.0
55,2018-06-25,0.015825176331195363,0.0017583529256883737,2.54e-05,8139.915065242378,117.5838136
56,2018-06-26,0.021490548484198277,0.0023878387204664753,0.001143,11053.983583235926,5291.271612
57,2018-06-27,0.015870953750064164,0.0017634393055626849,0.0,8163.461362212448,0.0
58,2018-06-28,0.009391199175057747,0.0010434665750064162,0.0,4830.503120212003,0.0
59,2018-06-29,0.0018330528412254421,0.000203672537913938,0.0,942.8580210043866,0.0
60,2018-06-30,0.017513272895878406,0.0019459192106531563,0.0024638,9008.212667169286,11405.6299192
