,date,S_m,R_o_m,R_h_m,R_o (m3/d),R_h (m3/d)
0,2017-01-01,0.0,0.0,0.0,0.0,0.0
1,2017-01-02,0.0026320107467755105,0.0002924456385306123,0.0003556,1353.813915319547,1646.1733904
2,2017-01-03,0.0019498768786285717,0.00021665298651428575,0.0,1002.9482040227988,0.0
3,2017-01-04,0.0014763900051330615,0.0001640433339036735,0.0,759.4031809469333,0.0
4,2017-01-05,0.0011714203074768982,0.00013015781194187758,0.0,602.5374762975428,0.0
5,2017-01-06,0.0009462617020353307,0.00010514018911503675,0.0,486.7237952272138,0.0
6,2017-01-07,0.0006788807419542466,7.543119355047185e-05,0.0,349.1924174041025,0.0
7,2017-01-08,0.00044723010775882195,4.969223419542466e-05,0.0,230.03946468513226,0.0
8,2017-01-09,0.0024579112136066134,0.0002731012459562904,0.00025400000000000005,1264.26322828552,1175.8381360000003
9,2017-01-10,0.007844742076899015,0.000871638008544335,0.0007112,4035.0598867461536,3292.3467808
10,2017-01-11,0.007107696126515236,0.0007897440140572485,2.54e-05,3655.9493283709958,117.5838136
11,2017-01-12,0.006180970172312692,0.0006867744635902992,0.0,3179.2740359071545,0.0
12,2017-01-13,0.005397348140877341,0.0005997053489863713,0.0,2776.206376777025,0.0
13,2017-01-14,0.004833225632552872,0.0005370250702836525,0.0,2486.041565462988,0.0
14,2017-01-15,0.004336844404024116,0.0004818716004471239,0.0,2230.7204900042634,0.0
15,2017-01-16,0.013567797488519662,0.0015075330542799626,0.0011938,6978.7986476493625,5526.4392392
16,2017-01-17,0.01276080331550443,0.0014178670350560479,7.620000000000001e-05,6563.7091795124015,352.75144080000007
17,2017-01-18,0.011583405502158068,0.0012870450557953411,0.0,5958.09708407248,0.0
18,2017-01-19,0.011144540621493282,0.0012382822912770314,7.620000000000001e-05,5732.360398492101,352.75144080000007
19,2017-01-20,0.010075928777139871,0.0011195476419044303,0.0,5182.703985905909,0.0
20,2017-01-21,0.014190707364829965,0.001576745262758885,0.000635,7299.201616965503,2939.5953400000003
21,2017-01-22,0.012840635774142886,0.0014267373082380986,0.0,6604.772193229698,0.0
22,2017-01-23,0.011360826472646964,0.0012623140525163295,0.0,5843.610246289004,0.0
23,2017-01-24,0.016630902241708802,0.0018478780268565333,0.0008382000000000001,8554.35218367852,3880.2658488000006
24,2017-01-25,0.02385522855631343,0.0026505809507014924,0.001143,12270.291985787208,5291.271612
25,2017-01-26,0.021027565514559636,0.0023363961682844043,0.0,10815.841399500301,0.0
26,2017-01-27,0.01868890860979755,0.0020765454010886167,0.0,9612.918400533115,0.0
27,2017-01-28,0.01639124910881779,0.0018212499009797548,0.0,8431.083026607163,0.0
28,2017-01-29,0.014205398398752338,0.001578377599861371,0.0,7306.758168996647,0.0
29,2017-01-30,0.013108391734387308,0.0014564879704874788,7.620000000000001e-05,6742.496457970158,352.75144080000007
30,2017-01-31,0.011140477387071027,0.0012378308207856698,0.0,5730.270413369968,0.0
31,2017-02-01,0.00922678045652719,0.0010251978285030212,2.54e-05,4745.93190432378,117.5838136
32,2017-02-02,0.007711961597813247,0.0008568846219792497,0.0,3966.762270374589,0.0
33,2017-02-03,0.006534156811093147,0.000726017423454794,0.0,3360.9408421205026,0.0
34,2017-02-04,0.005324236614065465,0.0005915818460072739,0.0,2738.6003744119366,0.0
35,2017-02-05,0.004269722791026265,0.00047441364344736285,0.0,2196.195488992582,0.0
36,2017-02-06,0.0032526631976379245,0.0003614070219597694,0.0,1673.0557442460092,0.0
37,2017-02-07,0.0023730252076700504,0.0002636694675188945,0.0,1220.600847273738,0.0
38,2017-02-08,0.0011188980142499841,0.0001243220015833316,0.0,575.5218527776916,0.0
39,2017-02-09,0.00021907406751886312,2.434156305765146e-05,0.0,112.68400839777699,0.0
40,2017-02-10,0.0,0.0,0.0,0.0,0.0
41,2017-02-11,0.0,0.0,0.0,0.0,0.0
42,2017-02-12,0.0,0.0,0.0001016,0.0,470.3352544
43,2017-02-13,0.0,0.0,0.0,0.0,0.0
44,2017-02-14,0.0,0.0,0.0,0.0,0.0
45,2017-02-15,0.0,0.0,0.0,0.0,0.0
46,2017-02-16,0.0,0.0,0.0,0.0,0.0
47,2017-02-17,0.0,0.0,0.0,0.0,0.0
48,2017-02-18,0.0,0.0,0.0,0.0,0.0
49,2017-02-19,0.0,0.0,0.0,0.0,0.0
50,2017-02-20,0.01696348095281633,0.001884831216979592,0.0020574000000000005,8725.418995464153,9524.288901600003
51,2017-02-21,0.013706638829779594,0.0015229598699755106,0.0,7050.213758719712,0.0
