DATE,RCH[m3/s],RCH[m/day],m3/d,R_h,Q_l,Q_h,R_conduit
2018-01-01,0.038880504,0.000725545,3359.2755456000004,2351.49288192,0.0,0.0,2351.49288192
2018-01-02,0.038671947,0.000721654,3341.2562208,197557.23987583365,195218.36052127366,55316.02716523343,2338.8793545599997
2018-01-03,0.038463125,0.000717757,3323.214,170353.61483629534,168027.36503629535,87526.55171313077,2326.2497999999996
2018-01-04,0.038254154,0.000713857,3305.1589056,146955.96183916918,144642.35060524917,104166.78654842151,2313.61123392
2018-01-05,0.038045145,0.000709957,3287.1005280000004,126831.4501122903,124530.4797426903,110512.8923463048,2300.9703696
2018-01-06,0.037836476,0.000706063,3269.0715264,109521.86365130245,107233.51358282246,110235.40431170414,2288.3500684799997
2018-01-07,0.03762836,0.000702179,3251.090304,94633.13068679532,92357.36747399533,105866.76769672967,2275.7632127999996
2018-01-08,0.037442296,0.000698707,3235.0143744,81827.71669344077,79563.20663136078,99135.8334158088,2264.51006208
2018-01-09,0.037274162,0.00069557,3220.4875968,70813.95949979588,68559.61818203588,91205.70871932516,2254.34131776
2018-01-10,0.037105294,0.000692418,3205.8974015999997,61340.04750853805,59095.91932741805,82843.32358030477,2244.1281811199997
2018-01-11,0.036887224,0.000688349,3187.0561536000005,53187.28628755073,50956.34698003073,74539.63313833364,2230.93930752
2018-01-12,0.073635524,0.001374106,6362.109273599999,48543.14348383762,44089.66699231762,67260.61603507475,4453.476491519999
2018-01-13,0.040306683,0.000752159,3482.4974112000004,40501.12669250356,38063.37850466356,59767.95901915482,2437.7481878400004
2018-01-14,0.03828539,0.00071444,3307.857696,35188.93592444266,32873.43553724266,52885.83255263541,2315.5003871999998
2018-01-15,0.037363891,0.000697244,3228.2401824000003,30666.50877736949,28406.74064968949,46664.421895560954,2259.76812768
2018-01-16,0.036763116,0.000686033,3176.3332224,26786.636209753764,24563.202954073764,41098.64190353493,2223.43325568
2018-01-17,0.036462767,0.000680428,3150.3830688,23461.938777553034,21256.670629393033,36160.36502826,2205.26814816
2018-01-18,0.036234645,0.000676171,3130.6733280000003,20603.69635065401,18412.225021054008,31804.49779853032,2191.4713296
2018-01-19,0.040111383,0.000748515,3465.6234912,18406.006148576846,15980.069704736847,28052.92013654335,2425.93644384
2018-01-20,0.04069717,0.000759446,3516.235488,16351.906678169687,13890.541836569688,24776.636368198724,2461.3648415999996
2018-01-21,0.038174296,0.000712367,3298.2591744,14393.174286854734,12084.392864774733,21869.266985422404,2308.78142208
2018-01-22,0.036915832,0.000688883,3189.5278848000003,12759.207554227869,10526.53803486787,19318.45034468793,2232.66951936
2018-01-23,0.245869465,0.004588147,21243.121776,24815.219067778366,9945.033824578366,20857.545587153258,14870.1852432
2018-01-24,0.085368584,0.001593055,7375.8456576,14025.606567076597,8862.514606756597,18944.60266153179,5163.09196032
2018-01-25,0.060393331,0.001126994,5217.9837984000005,11493.506540223472,7840.917881343472,16858.29574756546,3652.58865888
2018-01-26,0.05477057,0.001022069,4732.177248,10254.464895971385,6941.940822371386,15009.223109119119,3312.5240735999996
2018-01-27,0.052990773,0.000988856,4578.4027872,9367.243975341793,6162.362024301793,13429.468951661467,3204.8819510399994
2018-01-28,0.047781898,0.000891654,4128.3559872000005,8362.871483401943,5473.022292361942,12010.8216605488,2889.8491910400003
2018-01-29,0.047256968,0.000881858,4083.0020352,7736.386681549669,4878.285256909669,10813.979866429043,2858.10142464
2018-01-30,0.045837224,0.000855364,3960.3361536,7133.8947469135155,4361.659439393516,9783.556032964696,2772.23530752
2018-01-31,0.045469433,0.000848501,3928.5590111999995,6666.017904188823,3916.0265963488237,8910.64535690745,2749.9913078399995
2018-02-01,0.044224218,0.000825264,3820.9724352000003,6202.944419778389,3528.2637151383883,8152.489094511314,2674.68070464
2018-02-02,0.041830691,0.000780599,3614.1717024000004,5716.022198199814,3186.1020065198136,7470.278363544094,2529.9201916800002
2018-02-03,0.041472502,0.000773915,3583.2241728,5398.80006182464,2890.54314086464,6890.2644390626465,2508.2569209599997
2018-02-04,0.040247846,0.000751061,3477.4138943999997,5066.10821078839,2631.91848470839,6379.500695145855,2434.1897260799997
2018-02-05,0.039955057,0.000745598,3452.1169248,4824.920655050815,2408.438807690816,5944.218283919245,2416.48184736
2018-02-06,0.039685535,0.000740568,3428.8302240000003,4615.449400822101,2215.2682440221015,5572.162996652044,2400.1811568
2018-02-07,0.039298129,0.000733339,3395.3583456,4424.4865822942065,2047.735740374207,5250.813600631848,2376.75084192
2018-02-08,0.03870433,0.000722258,3344.0541120000003,4242.340887825818,1901.5030094258182,4968.441241046159,2340.8378784
2018-02-09,0.038453132,0.00071757,3322.3506048,4100.476736867803,1774.8313135078035,4725.41117987622,2325.6454233599998
2018-02-10,0.03765039,0.00070259,3252.993696,3940.076252048711,1662.980664848711,4505.517400084517,2277.0955872
2018-02-11,0.036914819,0.000688864,3189.4403616,3796.7281200770913,1564.1198669570915,4307.056401682438,2232.60825312
2018-02-12,0.036654111,0.000683999,3166.9151904000005,3694.994156859899,1478.1535235798988,4135.678973132127,2216.84063328
2018-02-13,0.036391713,0.000679102,3144.2440032,3604.241080653113,1403.270278413113,3986.8763632380033,2200.97080224
2018-02-14,0.036207579,0.000675666,3128.3348256,3528.0368800304773,1338.2025021104773,3858.4013079398956,2189.83437792
2018-02-15,0.036749103,0.000685772,3175.1224991999998,3506.7950462214103,1284.2092967814106,3759.95155465872,2222.5857494399997
2018-02-16,0.036298679,0.000677366,3136.2058656,3431.484747507213,1236.1406415872132,3667.980848656298,2195.34410592
2018-02-17,0.034930736,0.000651839,3018.0155904,3302.448519841803,1189.837606561803,3565.6317965882395,2112.6109132799997
2018-02-18,0.034575826,0.000645216,2987.3513663999997,3239.8750555119504,1148.7290990319507,3474.4199090868788,2091.1459564799998
2018-02-19,0.035493602,0.000662343,3066.6472128,3263.3592570650776,1116.7062081050776,3415.3229265207747,2146.65304896
2018-02-20,0.034798867,0.000649378,3006.6221087999998,3191.280943699966,1086.6454675399666,3352.5911713309483,2104.6354761599996
2018-02-21,0.033890079,0.00063242,2928.1028255999995,3107.1673986795704,1057.4954207595713,3283.872514988562,2049.6719779199993
2018-02-22,0.033893511,0.000632484,2928.3993504,3082.3183798500313,1032.4388345700315,3227.437357149774,2049.87954528
2018-02-23,0.033516824,0.000625454,2895.8535936,3036.6207641814267,1009.5232486614269,3174.0087111186367,2027.0975155199997
2018-02-24,0.033282854,0.000621088,2875.6385856,3001.9138243640273,988.9668144440271,3125.8221428273464,2012.94700992
2018-02-25,0.043907838,0.00081936,3793.6372032,3665.390265196263,1009.8442229562633,3276.901217090643,2655.5460422399997
2018-02-26,0.035070993,0.000654457,3030.1337952000003,3116.8253077807867,995.7316511407864,3232.0799624838833,2121.09365664
2018-02-27,0.0826929,0.001543125,7144.66656,6157.671807501076,1156.4052155010763,4051.245679088697,5001.266591999999
2018-02-28,0.056196138,0.001048671,4855.3463232,4597.175457145326,1198.4330309053257,4204.106016944553,3398.74242624
2018-03-01,0.04135359,0.000771696,3572.9501760000003,3681.78143717058,1180.7163139705801,4057.8551346078402,2501.0651232
2018-03-02,0.038959048,0.000727011,3366.0617472000004,3513.033846437099,1156.790623397099,3905.3051739200328,2356.24322304
2018-03-03,0.036083294,0.000673347,3117.5966016,3308.096614508705,1125.778993388705,3738.0867772848615,2182.31762112
2018-03-04,0.034339943,0.000640814,2966.9710751999996,3169.6624721126855,1092.782719472686,3578.9279718366524,2076.8797526399994
2018-03-05,0.036158437,0.000674749,3124.0889568000002,3257.86714469211,1071.00487493211,3489.030940236181,2186.86226976
2018-03-06,0.033344266,0.000622234,2880.9445824,3058.725072582414,1042.0638649024147,3368.5452972931257,2016.6612076799997
2018-03-07,0.033138556,0.000618396,2863.1712383999998,3020.6479827088765,1016.4281158288767,3271.134049209536,2004.2198668799997
2018-03-08,0.032717127,0.000610531,2826.7597728,2971.5839310304336,992.8520900704339,3187.260016119387,1978.73184096
2018-03-09,0.032499965,0.000606479,2807.996976,2937.3865536525727,971.7886704525731,3117.295446628679,1965.5978831999998
2018-03-10,0.038860271,0.000725168,3357.5274144,3327.0235980740126,976.7544079940127,3176.0193290333723,2350.26919008
2018-03-11,0.03608596,0.000673397,3117.826944,3153.436383322851,970.9575225228509,3169.6961042344265,2182.4788608
2018-03-12,0.03622089,0.000675915,3129.484896,3157.1012622016515,966.4618350016518,3166.1695484652496,2190.6394272
2018-03-13,0.034075577,0.000635881,2944.1298528,3015.7015288790208,954.8106319190206,3124.0385029811055,2060.89089696
2018-03-14,0.032831699,0.000612669,2836.6587936,2925.9379683015577,940.2768127815576,3068.5703532708317,1985.66115552
2018-03-15,0.032015946,0.000597447,2766.1777344,2861.1419379169397,924.8175238369396,3010.490396971742,1936.32441408
2018-03-16,0.031490052,0.000587633,2720.7404927999996,2814.1325161573677,909.614171197368,2955.5101903437176,1904.5183449599997
2018-03-17,0.031291465,0.000583927,2703.582576,2788.326458621736,895.8186554217365,2908.6987454615623,1892.5078031999997
2018-03-18,0.031092961,0.000580223,2686.4318304,2763.7364618194933,883.2341805394933,2868.109306041783,1880.5022812799998
