id,x,y,z,type
0,557689.4624107945,4869551.1304512685,0.5,outlet
1,557692.7588996082,4869546.593225731,0.5,junction
2,557695.0704545653,4869544.653601621,0.8423997049346781,junction
3,557696.3878858038,4869539.736885117,0.8423997049346781,junction
4,557700.0302786117,4869536.094493853,0.8423997049346781,junction
5,557692.149764375,4869547.431628069,0.5,junction
6,557713.3392279488,4869547.262029006,0.6190874301555027,junction
7,557717.0750733771,4869550.396775716,0.6190874301555027,junction
8,557731.9534421125,4869549.0950887175,0.7381748603110054,junction
9,557736.5080447881,4869548.696613104,0.7381748603110054,junction
10,557735.9336294716,4869532.247440834,0.9614871350901808,junction
11,557726.481824804,4869528.807264834,0.9614871350901808,junction
12,557719.0232740348,4869525.329285184,0.8423997049346781,junction
13,557723.8354813051,4869509.589275609,1.1847994098692993,junction
14,557730.1292228376,4869500.600885324,1.1847994098692993,junction
15,557733.78125595,4869479.88919845,1.4081116846484747,junction
16,557752.3293526524,4869474.919253693,1.5271991148039206,junction
17,557762.5401563982,4869457.233631613,1.750511389583096,junction
18,557766.2451175272,4869436.221775366,1.9738236643622145,inlet
19,557714.0,4869606.0,0.0,outlet
