id,y,x,type
0,4869420.0,557959.0,inlet
1,4869424.971863422,557951.7205306861,junction
2,4869463.21001786,557945.9910917511,junction
3,4869486.212876544,557944.6436898505,junction
4,4869511.051477548,557944.5302139238,junction
5,4869544.272988787,557944.4949543499,junction
6,4869569.24652826,557944.4552635598,junction
7,4869585.88072272,557944.40655525,junction
8,4869610.88072272,557944.40655525,junction
9,4869635.88072272,557944.40655525,junction
10,4869635.88072272,557919.40655525,junction
11,4869635.88072272,557894.40655525,junction
12,4869635.88072272,557869.40655525,junction
13,4869635.88072272,557844.40655525,junction
14,4869635.88072272,557819.40655525,junction
15,4869635.88072272,557794.40655525,junction
16,4869635.88072272,557769.40655525,junction
17,4869635.88072272,557744.40655525,junction
18,4869635.88072272,557719.40655525,junction
19,4869606.0,557714.0,outfall
20,4869122.0,558028.0,inlet
21,4869128.380465092,558026.1661490375,junction
22,4869161.897433191,558017.8985759057,junction
23,4869184.566651198,558011.7657913943,junction
24,4869207.480248742,558004.7589870597,junction
25,4869229.743152819,557997.811900493,junction
26,4869254.360703552,557990.1481908171,junction
27,4869273.677175364,557982.6735647623,junction
28,4869284.556417087,557980.1172263367,junction
29,4869298.69187403,557973.848413983,junction
30,4869331.139128508,557961.9618430481,junction
31,4869350.637819379,557950.2015468808,junction
32,4869395.381474345,557944.941489364,junction
33,4869419.710624548,557944.6211732238,junction
34,4869097.0,558106.0,inlet
35,4869105.191365204,558104.9096707674,junction
36,4869124.703564172,558102.6408174275,junction
37,4869162.315603751,558095.4070227852,junction
38,4869186.3322344525,558094.7264264395,junction
39,4869200.489963856,558083.9592062825,junction
40,4869209.085330645,558077.1104534218,junction
41,4869227.178338186,558060.2095192298,junction
42,4869236.733281536,558052.454873169,junction
43,4869250.445772756,558039.855769393,junction
44,4869263.584168769,558028.7720579149,junction
45,4869277.478329351,558016.184706456,junction
46,4869298.826494194,557998.6359373122,junction
47,4869004.0,557989.0,inlet
48,4869020.556224619,557978.5318075542,junction
49,4869030.896902259,557971.7881481873,junction
50,4869048.841348307,557960.434185276,junction
51,4869059.515106525,557954.4930502318,junction
52,4869078.256254623,557945.4356332321,junction
53,4869104.031172587,557933.6860943378,junction
54,4869111.766121847,557928.715129711,junction
55,4869127.485959265,557922.8363393217,junction
56,4869153.89823151,557910.9936936791,junction
57,4869161.832925636,557906.7818504611,junction
58,4869176.9627071535,557900.8790248075,junction
59,4869204.191952825,557888.1795969881,junction
60,4869224.520738126,557880.6177214255,junction
61,4869251.7250216985,557871.0355623416,junction
62,4869279.734211211,557862.9564559294,junction
63,4869299.331034348,557855.6487549965,junction
64,4869326.990226414,557843.5435613331,junction
65,4869357.906972466,557839.094810319,junction
66,4869373.397299385,557838.7753471237,junction
67,4869412.747170709,557831.6345484458,junction
68,4869433.167191024,557831.0804322773,junction
69,4869438.695175907,557831.964361619,junction
70,4869450.738379728,557834.081778017,junction
71,4869492.718910117,557834.7930749933,junction
72,4869507.404037818,557834.8245152045,junction
73,4869526.754889808,557834.8006317762,junction
74,4869542.252071852,557831.687030733,junction
75,4869557.660467909,557825.4379243188,junction
76,4869576.477771516,557804.6514574157,junction
77,4869593.663408264,557772.6831466492,junction
78,4869601.031449475,557762.6893924176,junction
79,4869608.545205335,557748.8317307739,junction
80,4868964.0,558630.0,inlet
81,4868974.81770645,558626.8739896418,junction
82,4868998.395061725,558610.8326141333,junction
83,4869000.990704219,558604.5829656195,junction
84,4869006.8838548465,558578.6061212725,junction
85,4869008.002666941,558533.8757675729,junction
86,4869008.3772129435,558509.9617163817,junction
87,4869008.608901947,558485.485072941,junction
88,4869008.769541536,558461.1850518032,junction
89,4869006.5330796065,558438.8047243608,junction
90,4869002.084157734,558419.3440797837,junction
91,4868996.555388531,558403.7068761777,junction
92,4868992.549503825,558381.4985989596,junction
93,4868989.547638827,558333.628611179,junction
94,4868995.919250764,558301.0989072794,junction
95,4869001.5713676615,558279.8669852109,junction
96,4869020.995473888,558244.4408655403,junction
97,4869024.589954236,558242.6128952001,junction
98,4869042.152558527,558218.832709679,junction
99,4869053.595987165,558205.560808153,junction
100,4869078.876400267,558169.7851003272,junction
101,4869102.44961559,558144.580408393,junction
102,4869122.7240149705,558126.9052846513,junction
103,4869135.904835241,558118.1808580445,junction
104,4868964.0,558630.0,inlet
105,4868941.0,558157.0,inlet
106,4868952.53647359,558157.9637260098,junction
107,4868964.855565588,558156.6561361221,junction
108,4868983.94250192,558154.299293084,junction
109,4869007.846096827,558151.5687984618,junction
110,4869031.731533922,558148.758073218,junction
111,4869055.603045958,558145.7767808873,junction
112,4869079.489070393,558142.0162427475,junction
113,4868904.0,558070.0,inlet
114,4868932.495575192,558059.6411287645,junction
115,4868951.018198447,558054.7735957716,junction
116,4868982.685292893,558044.4974022815,junction
117,4869003.495277858,558037.6899549814,junction
118,4869026.698669644,558030.5054157947,junction
119,4869048.554106508,558023.960687071,junction
120,4869075.6775789745,558014.706080794,junction
121,4869105.218543795,558005.1624206107,junction
122,4869128.006143439,557998.2832770719,junction
123,4869151.4406602895,557990.690343257,junction
124,4869174.537172726,557982.8477440529,junction
125,4869180.312221348,557980.0431163949,junction
126,4869202.636823869,557972.052440616,junction
127,4869225.1923038885,557964.1368272235,junction
128,4869248.7722242335,557955.5488555933,junction
129,4869276.60448574,557944.2616788865,junction
130,4869303.311194509,557933.8844153022,junction
131,4869314.308279052,557929.4471399322,junction
132,4869325.912160952,557925.0557891661,junction
133,4869358.046784553,557912.8962775335,junction
134,4869379.697601687,557910.8471850923,junction
135,4869401.8839518735,557910.2935710882,junction
136,4869424.623811922,557909.4701236137,junction
137,4869471.883469164,557907.9835044894,junction
138,4869493.468800831,557908.3566548895,junction
139,4869516.549389211,557909.3210730074,junction
140,4869538.400373691,557909.548354396,junction
141,4869563.082777392,557909.6961953258,junction
142,4869587.165446104,557909.8432510729,junction
143,4869606.35709165,557903.1652666214,junction
144,4869616.191083268,557863.0658545259,junction
145,4869619.18386922,557841.097472819,junction
146,4869620.840691837,557820.5883151742,junction
147,4869622.605020329,557799.009466283,junction
148,4868120.0,560037.0,inlet
149,4868126.122167697,560028.2281988506,junction
150,4868144.319743575,559998.6872922814,junction
151,4868151.195526742,559987.2610065652,junction
152,4868153.849270439,559979.6344853448,junction
153,4868166.751677252,559947.8777166338,junction
154,4868172.468848823,559925.2486723985,junction
155,4868173.995655641,559905.7865802757,junction
156,4868176.186850766,559868.3757818313,junction
157,4868168.099294959,559842.0111446789,junction
158,4868166.730053523,559830.8144923125,junction
159,4868166.653039403,559788.3432699133,junction
160,4868170.817631889,559772.5591832006,junction
161,4868174.510906025,559753.2381073976,junction
162,4868187.197780304,559726.2470286161,junction
163,4868198.251725822,559702.3340671702,junction
164,4868202.345626969,559692.0640847647,junction
165,4868208.130928166,559681.7830888887,junction
166,4868225.148995969,559651.9613269067,junction
167,4868245.325195475,559625.2320864114,junction
168,4868251.209753813,559613.7874348678,junction
169,4868259.915167817,559599.0570843706,junction
170,4868270.850332016,559580.6649780419,junction
171,4868275.141045694,559571.8981021916,junction
172,4868285.73964242,559551.593250324,junction
173,4868296.780154371,559529.3909578774,junction
174,4868301.508615794,559523.4588673996,junction
175,4868309.486871814,559504.8701947234,junction
176,4868317.88604186,559477.0598597284,junction
177,4868328.065883157,559463.2003807307,junction
178,4868343.205862236,559451.3126521547,junction
179,4868350.473562936,559442.7981864517,junction
180,4868365.047361427,559426.9508052047,junction
181,4868375.305985549,559416.287132756,junction
182,4868391.364961983,559403.6097150953,junction
183,4868403.4751673555,559390.6332533105,junction
184,4868414.669575552,559377.355312733,junction
185,4868423.619006144,559366.4622639924,junction
186,4868441.071214551,559353.646055588,junction
187,4868452.74152067,559341.382421833,junction
188,4868472.545306783,559325.332845061,junction
189,4868479.027372623,559317.8655432401,junction
190,4868489.173449023,559305.3336232248,junction
191,4868498.626208485,559295.1539580015,junction
192,4868512.318363828,559280.1762331113,junction
193,4868526.378192749,559265.0297920684,junction
194,4868536.599120409,559254.1812610526,junction
195,4868551.213558805,559238.5193564907,junction
196,4868560.691515774,559228.213969681,junction
197,4868577.2524377955,559210.4438373218,junction
198,4868587.433966698,559198.789459884,junction
199,4868597.38353966,559179.9230906294,junction
200,4868601.435737269,559168.3475655327,junction
201,4868609.128721906,559150.1464797364,junction
202,4868624.5861005355,559130.9047186573,junction
203,4868647.922663703,559100.670232087,junction
204,4868655.1734943455,559092.6864791957,junction
205,4868664.341650459,559078.9324553738,junction
206,4868675.846591199,559066.662343799,junction
207,4868679.390285684,559050.5271088276,junction
208,4868682.551636038,559029.9388751874,junction
209,4868684.761685478,558984.3517328983,junction
210,4868688.264856479,558962.8777924756,junction
211,4868699.465963692,558944.8901953702,junction
212,4868727.629522305,558932.604700084,junction
213,4868732.432297127,558926.695734276,junction
214,4868763.614517831,558919.2755508659,junction
215,4868776.068989741,558903.7106187503,junction
216,4868784.696310292,558867.6299366081,junction
217,4868796.086928433,558851.7423570416,junction
218,4868822.40404395,558849.191537095,junction
219,4868846.263581545,558846.3223617283,junction
220,4868877.415160647,558836.7432931853,junction
221,4868892.0810258975,558824.7519383071,junction
222,4868908.946880841,558820.8113751414,junction
223,4868931.586141185,558812.2188285985,junction
224,4868938.918186153,558806.7969688469,junction
225,4868953.566623381,558797.394522027,junction
226,4868959.524583419,558779.2765169289,junction
