Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
3.1,3.1,6.1,1.1,350,200,250,350,150,5.0,True,382.96160568802,37.22185057281257,1072.0722685853325,-4659.181234428362,73925
9.1,1.1,3.1,3.1,300,100,200,300,450,9.0,True,380.8234093091979,35.083654193990526,1130.592656136374,-4600.66084687732,37601
1.1,0.1,9.1,0.1,150,300,400,350,150,2.0,True,389.4768642924093,43.73710917720189,2637.941540798369,-3093.3119622153254,624701
2.1,3.1,1.1,4.1,300,150,400,400,150,4.0,True,383.74439948243344,38.004644367226035,1305.1127844088405,-4426.140718604854,95385
1.1,1.1,6.1,4.1,150,250,500,350,250,1.0,True,391.41820552222424,45.67845040701684,4321.409464790806,-1409.8440382228882,581935
3.1,4.1,2.1,2.1,500,400,450,400,100,6.0,False,,,,,
8.1,1.1,2.1,1.1,400,150,450,450,150,4.0,True,382.47708822537226,36.737333110164855,974.4871337933364,-4756.766369220358,65981
8.1,1.1,6.1,2.1,500,200,450,450,300,1.0,True,386.8161508465559,41.0763957313485,3490.98328449532,-2240.2702185183743,215049
9.1,3.1,0.1,4.1,500,300,150,100,500,9.0,True,379.58407051558555,33.84431540037815,1056.7966464419733,-4674.456856571721,37526
1.1,0.1,8.1,2.1,350,500,250,250,200,7.0,True,385.02134026033264,39.281585145125234,1899.5120763783489,-3831.7414266353453,404398
4.1,2.1,6.1,3.1,500,200,350,100,300,3.0,True,383.68723547360264,37.94748035839524,2392.123751994761,-3339.1297510189333,89789
8.1,3.1,3.1,2.1,450,200,350,450,100,8.0,True,380.4588976305688,34.7191425153614,348.2267511854661,-5383.026751828228,40656
8.1,0.1,2.1,2.1,450,150,100,450,100,3.0,False,,,,,
3.1,4.1,8.1,0.1,450,150,200,400,500,8.0,True,382.10485228079403,36.36509716558663,2339.1665617824474,-3392.086941231247,55648
1.1,0.1,3.1,2.1,350,400,400,150,400,10.0,True,384.3220322880055,38.582277172798115,2852.7680662331695,-2878.4854367805247,371247
3.1,1.1,5.1,0.1,250,150,450,350,100,10.0,True,382.75196826690205,37.01221315169465,652.266193227013,-5078.987309786681,67427
5.1,4.1,2.1,4.1,350,500,350,400,350,3.0,True,382.5506429622348,36.8108878470274,2197.7550434237637,-3533.4984595899305,71906
3.1,1.1,0.1,0.1,300,400,150,450,450,3.0,True,384.5440610956317,38.80430598042432,3558.8772820484883,-2172.376220965206,135342
2.1,3.1,1.1,3.1,150,200,400,500,100,8.0,True,382.6786985519556,36.93894343674822,654.7005380229384,-5076.552964990756,64444
2.1,0.1,9.1,1.1,350,300,400,450,250,10.0,True,383.44402380284265,37.70426868763525,1733.492630599285,-3997.7608724144093,190446
