Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
3.1,4.1,3.1,3.1,350,150,300,350,200,2.0,False,,,,,
8.1,2.1,1.1,1.1,150,150,350,350,500,5.0,True,381.4986182841996,35.75886316899221,1878.3589125577419,-3852.8945904559523,50408
8.1,0.1,7.1,3.1,500,350,400,500,100,9.0,True,381.73999395874824,36.00023884354084,445.5905149466198,-5285.662988067074,42790
9.1,3.1,2.1,2.1,100,200,400,350,400,1.0,True,385.45219764098596,39.712442525778556,3578.380408095778,-2152.873094917916,163841
9.1,0.1,3.1,3.1,150,150,250,150,200,5.0,True,382.2260873848828,36.486332269675415,1008.3465476351557,-4722.906955378538,56864
2.1,1.1,2.1,3.1,250,450,100,400,150,1.0,True,391.33693903715914,45.59718392195174,2775.3976064203307,-2955.8558965933635,570260
0.1,0.1,8.1,2.1,250,400,300,200,350,5.0,True,393.7422808622236,48.00252574701619,4084.2725523441622,-1646.980950669532,605703
8.1,4.1,3.1,3.1,200,150,400,450,300,4.0,True,381.1694080693454,35.42965295413802,1310.856973583941,-4420.396529429753,55123
8.1,1.1,7.1,0.1,200,500,400,500,250,6.0,True,381.82559454208655,36.08583942687915,1154.1660054005624,-4577.087497613132,50248
7.1,4.1,9.1,1.1,100,400,350,400,500,5.0,True,381.0214717624222,35.28171664721481,1693.1370935479354,-4038.116409465759,49797
0.1,2.1,2.1,2.1,150,350,250,350,150,7.0,True,386.6405133741568,40.900758258949395,1502.6788893402918,-4228.574613673402,299303
3.1,0.1,2.1,1.1,200,100,450,450,300,10.0,True,382.9592971731983,37.21954205799091,1761.3104849818046,-3969.9430180318896,86236
7.1,3.1,3.1,4.1,500,450,250,350,500,4.0,True,381.56555537372486,35.82580025851746,2221.778385991958,-3509.475117021736,55052
6.1,3.1,4.1,0.1,350,150,250,150,150,3.0,True,383.2368017053416,37.497046590134175,1160.4426037616358,-4570.810899252058,87377
6.1,3.1,8.1,0.1,400,250,350,500,450,2.0,True,383.60706973949226,37.86731462428486,3311.8542683189153,-2419.399234694779,99188
5.1,2.1,9.1,4.1,300,450,450,250,350,4.0,True,382.7114094350637,36.97165431985627,2162.0588904565666,-3569.1946125571276,66422
7.1,0.1,8.1,2.1,450,400,350,400,100,7.0,True,382.28786501464145,36.54810989943405,568.2781798629221,-5162.975323150772,53039
1.1,1.1,9.1,4.1,150,300,100,450,400,1.0,True,390.7523298082619,45.01257469305449,5264.794421482569,-466.45908153112487,531034
5.1,2.1,9.1,1.1,200,250,300,150,250,6.0,True,382.3061534901992,36.56639837499182,1315.3968965299282,-4415.856606483766,55735
3.1,0.1,3.1,3.1,150,100,300,150,450,2.0,True,386.24742188737287,40.507666772165464,4286.452380804374,-1444.80112220932,262668
3.1,0.1,1.1,2.1,450,300,200,400,150,4.0,True,384.60221943664214,38.86246432143474,1496.35748571749,-4234.896017296204,192921
5.1,0.1,0.1,4.1,200,300,300,250,150,1.0,False,,,,,
5.1,2.1,0.1,3.1,200,350,250,400,250,7.0,True,382.2258794849866,36.48612436977919,1253.8308570063236,-4477.4226460073705,53805
4.1,4.1,9.1,2.1,500,200,150,450,500,9.0,True,381.26542684900966,35.525671733802255,1660.5349187260144,-4070.7185842876797,41603
6.1,1.1,5.1,2.1,150,250,150,300,100,10.0,True,381.94475911226493,36.20500399705753,389.420032919792,-5341.833470093902,43550
1.1,3.1,0.1,4.1,350,150,500,500,400,4.0,True,384.3317600398449,38.59200492463748,3495.755246761226,-2235.4982562524683,146298
0.1,0.1,9.1,2.1,200,500,100,200,100,6.0,True,393.31190781188815,47.572152696680746,1420.7853009677783,-4310.468202045916,639416
