Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
8.1,2.1,0.1,2.1,400,300,350,450,300,3.0,True,382.53807362679396,36.79831851158656,1902.7976955204213,-3828.455807493273,72201
3.1,0.1,1.1,4.1,150,150,200,100,200,4.0,True,384.58653237613726,38.846777260929855,1803.843316919345,-3927.4101860943492,188343
3.1,2.1,6.1,4.1,300,400,300,250,400,7.0,True,382.5392433808475,36.79948826564009,2091.7043573615956,-3639.5491456520986,56098
3.1,1.1,2.1,2.1,250,100,200,300,350,5.0,True,383.46773737677944,37.72798226157204,2349.671098284598,-3381.582404729096,84353
3.1,0.1,6.1,3.1,450,150,100,300,100,10.0,True,383.04072233714356,37.30096722193616,671.3037658009707,-5059.949737212723,95986
0.1,4.1,7.1,1.1,100,200,200,200,500,6.0,True,385.4619076481446,39.72215253293717,3498.612350505602,-2232.641152508092,157104
2.1,1.1,2.1,0.1,400,450,400,150,500,2.0,True,386.1393456572689,40.3995905420615,4869.228890155966,-862.0246128577282,254609
1.1,3.1,7.1,0.1,450,300,100,300,500,9.0,True,383.1584699995892,37.418714884381814,3112.369550281641,-2618.8839527320533,105553
7.1,4.1,4.1,1.1,500,150,500,250,200,2.0,True,383.3835162093163,37.643761094108925,1642.6145523117739,-4088.6389507019203,98231
4.1,1.1,5.1,1.1,150,450,100,300,500,9.0,True,382.4438891532887,36.70413403808129,1830.41156322803,-3900.841939785664,51823
7.1,2.1,9.1,2.1,450,200,500,300,350,1.0,True,386.47437627108246,40.73462115587506,3849.4752141217177,-1881.7782888919764,197018
9.1,4.1,1.1,2.1,400,450,200,400,300,5.0,True,380.2911414333594,34.551386318152026,1034.3024570886191,-4696.951045925075,48157
4.1,4.1,6.1,0.1,400,500,500,250,400,10.0,False,,,,,
8.1,0.1,0.1,4.1,100,350,450,450,100,3.0,True,383.61567636771156,37.875921252504156,834.4466863705456,-4896.8068166431485,92283
9.1,2.1,2.1,2.1,250,300,200,100,100,5.0,True,381.6067479790602,35.86699286385277,467.9344314686532,-5263.319071545041,52868
0.1,1.1,7.1,1.1,500,150,100,250,150,10.0,False,,,,,
2.1,2.1,4.1,4.1,450,300,200,250,300,10.0,True,382.55503852515966,36.81528340995226,1611.1766638567497,-4120.0768391569445,55489
5.1,2.1,8.1,2.1,150,500,150,150,250,3.0,True,383.6099231396121,37.87016802440468,1763.9039177579398,-3967.3495852557544,89184
7.1,3.1,4.1,4.1,350,100,400,300,150,8.0,True,380.8807383309272,35.140983215719814,547.9088536141426,-5183.344649399552,41331
0.1,4.1,7.1,0.1,400,450,100,100,200,7.0,True,387.8295744691134,42.08981935390602,2355.0441398924595,-3376.2093631212347,501806
4.1,2.1,7.1,4.1,200,450,450,200,450,1.0,True,387.25080876937426,41.51105365416686,4876.632284328924,-854.6212186847706,234748
2.1,3.1,6.1,4.1,300,400,400,200,250,8.0,True,382.46658308373384,36.726827968526436,1417.182635529578,-4314.070867484116,56075
