Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
3.1,0.1,1.1,4.1,400,200,300,200,250,2.0,True,386.61993378470873,40.88017866950133,3044.3933599690645,-2686.8601430446297,308490.0
3.1,0.1,1.1,4.1,400,200,300,200,250,2.0,True,386.61993378470873,40.88017866950133,3044.3933599690645,-2686.8601430446297,308490.0
2.1,3.1,9.1,4.1,150,200,500,200,100,6.0,True,382.9595409239329,37.219785808725476,721.3932170319531,-5009.860285981741,70938.0
2.1,2.1,3.1,0.1,300,100,150,400,200,7.0,False,,,,,
5.1,2.1,6.1,4.1,300,500,450,200,150,4.0,True,382.97530380480816,37.23554868960076,1093.963226618398,-4637.290276395296,74323.0
7.1,3.1,6.1,0.1,400,100,400,300,400,6.0,True,381.3894308038007,35.64967568859328,1621.529380060645,-4109.724122953049,48953.0
5.1,0.1,9.1,4.1,300,350,150,450,450,3.0,True,384.0770303036845,38.33727518847712,3235.289807200432,-2495.9636958132623,101781.0
5.1,2.1,8.1,1.1,450,250,150,300,200,7.0,True,382.13470535243425,36.39495023722685,1024.9892119356664,-4706.264291078028,51734.0
0.1,3.1,7.1,2.1,250,250,500,500,150,5.0,True,386.31062358542005,40.570868470212645,1611.3172883339648,-4119.936214679729,226054.0
7.1,3.1,3.1,1.1,450,250,500,300,300,7.0,False,,,,,
6.1,4.1,0.1,4.1,200,500,150,300,150,1.0,True,387.77836298887013,42.03860787366273,1938.9548361442503,-3792.298666869444,299924.0
9.1,0.1,8.1,1.1,350,250,150,350,400,6.0,True,381.7900060763236,36.050250961116205,1577.29480723507,-4153.958695778624,48010.0
2.1,4.1,1.1,0.1,250,500,250,200,250,8.0,True,382.6876725884397,36.94791747323228,1572.27711024147,-4158.976392772224,74615.0
8.1,2.1,4.1,2.1,150,400,200,400,450,4.0,False,,,,,
1.1,0.1,6.1,0.1,350,150,150,350,150,9.0,True,384.6372096002333,38.89745448502589,1335.10475497265,-4396.148748041044,395524.0
3.1,2.1,2.1,2.1,300,100,500,200,150,1.0,True,389.7714160391764,44.031660923969014,2494.671995351411,-3236.581507662283,441492.0
7.1,3.1,2.1,0.1,350,100,350,500,400,6.0,True,381.41828055103645,35.678525435829044,1601.5258989914146,-4129.72760402228,49074.0
9.1,0.1,0.1,2.1,300,200,500,500,100,3.0,True,383.2833737923526,37.54361867714522,805.3830877980872,-4925.870415215607,85619.0
2.1,0.1,4.1,1.1,400,250,100,100,100,4.0,True,385.3436545641674,39.60389944896002,1154.4664474970486,-4576.7870555166455,314390.0
9.1,0.1,3.1,4.1,100,350,450,250,400,5.0,True,382.00890585877653,36.26915074356913,1788.5693616803328,-3942.6841413333614,53249.0
4.1,4.1,2.1,1.1,450,350,100,450,450,3.0,True,382.83864894137815,37.09889382617075,2755.767012800876,-2975.4864902128184,75586.0
6.1,2.1,1.1,0.1,450,300,250,100,100,10.0,True,381.672821600937,35.933066485729626,435.8147632171531,-5295.438739796541,43392.0
3.1,3.1,6.1,1.1,300,200,450,250,200,1.0,True,388.80561146815796,43.06585635295056,2944.2651905630482,-2786.988312450646,374707.0
4.1,4.1,5.1,0.1,350,200,100,300,200,4.0,False,,,,,
7.1,4.1,6.1,2.1,400,300,100,400,400,8.0,True,380.1405008471494,34.40074573194198,1004.200228357513,-4727.053274656181,39624.0
5.1,3.1,1.1,3.1,350,100,300,300,200,2.0,True,384.4178101615225,38.67805504631508,1870.3821842780599,-3860.8713187356343,117209.0
6.1,2.1,0.1,1.1,450,200,400,350,150,5.0,True,382.4150840825792,36.6753289673718,951.4004043545283,-4779.853098659166,62628.0
4.1,2.1,9.1,3.1,300,200,500,300,100,10.0,True,382.0306019765332,36.290846861325804,502.26580268087855,-5228.987700332816,46007.0
9.1,1.1,4.1,0.1,450,400,400,150,300,1.0,False,,,,,
4.1,2.1,5.1,3.1,150,100,250,200,150,2.0,True,385.3788195885734,39.63906447336598,1588.5119610576367,-4142.7415419560575,156555.0
9.1,0.1,4.1,2.1,400,150,500,400,200,9.0,True,381.41038217153863,35.67062705633123,750.8317336040636,-4980.4217694096305,40048.0
3.1,4.1,4.1,2.1,250,350,250,350,100,6.0,True,382.3945798468579,36.65482473165048,611.9722186287108,-5119.281284384983,61280.0
6.1,1.1,9.1,3.1,200,100,200,450,150,3.0,True,383.77440650881886,38.034651393611455,1215.355294371344,-4515.89820864235,94358.0
2.1,2.1,0.1,3.1,100,200,400,250,500,2.0,True,385.6924982091143,39.95274309390692,4477.631653520075,-1253.6218494936193,193824.0
3.1,0.1,2.1,2.1,450,200,400,100,500,3.0,True,384.86100082076194,39.12124570555454,4137.595903952781,-1593.6575990609135,177664.0
0.1,2.1,3.1,0.1,300,250,100,250,150,6.0,True,389.5747682574629,43.83501314225549,2020.3632984664146,-3710.8902045472796,594706.0
9.1,2.1,1.1,3.1,450,100,300,300,450,5.0,True,381.04360899254056,35.303853877333154,1696.7566222051682,-4034.496880808526,48628.0
1.1,4.1,3.1,3.1,100,250,350,150,450,7.0,True,382.7017301996416,36.96197508443419,2372.0863012633636,-3359.1672017503306,64405.0
9.1,3.1,6.1,3.1,300,400,300,500,500,10.0,False,,,,,
3.1,3.1,9.1,4.1,100,100,300,400,450,1.0,True,387.39911182957496,41.65935671436756,4671.052446084475,-1060.2010569292188,244148.0
7.1,3.1,9.1,2.1,450,350,450,400,400,10.0,True,380.1439618680947,34.40420675288732,1063.277977168531,-4667.975525845163,36311.0
6.1,1.1,4.1,3.1,450,200,300,500,350,1.0,True,387.3499635247212,41.6102084095138,4129.2259102758835,-1602.0275927378107,244742.0
3.1,0.1,1.1,2.1,250,400,450,150,350,8.0,True,383.1992579001234,37.459502784916026,2201.4839857706975,-3529.7695172429967,96963.0
3.1,3.1,5.1,0.1,200,300,350,200,150,4.0,True,383.6690237141792,37.92926859897182,1275.7713030417144,-4455.48219997198,101119.0
3.1,3.1,0.1,2.1,350,300,300,150,100,2.0,True,385.8438177740355,40.10406265882807,1227.397553072915,-4503.855949940779,207143.0
4.1,3.1,6.1,1.1,200,400,400,200,350,5.0,True,382.4171396985991,36.6773845833917,1943.5510567220626,-3787.7024462916315,60820.0
9.1,0.1,5.1,3.1,100,300,300,350,350,7.0,True,381.695633680225,35.9558785650176,1243.4452994925086,-4487.8082035211855,45009.0
8.1,1.1,7.1,1.1,250,400,200,400,200,2.0,True,384.24328136574763,38.50352625054023,1737.888700563417,-3993.3648024502772,111113.0
