Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
7.1,2.1,9.1,1.1,150,100,300,150,200,4.0,True,382.4260124328018,36.686257317594425,1159.0839951909293,-4572.169507822765,65172
8.1,2.1,8.1,1.1,500,150,150,500,350,7.0,True,381.0892563618601,35.34950124665272,1215.4601322505914,-4515.793370763103,43210
6.1,0.1,1.1,4.1,500,300,300,200,250,10.0,True,382.0885077273016,36.34875261209419,1134.3646702253027,-4596.8888327883915,44852
3.1,2.1,2.1,0.1,350,500,300,350,100,7.0,True,382.9699252978563,37.23017018264892,732.7827028890388,-4998.470800124655,76415
4.1,2.1,4.1,2.1,300,100,500,350,400,9.0,True,381.9936270509353,36.25387193572789,1741.1869879208098,-3990.0665150928844,45598
1.1,1.1,2.1,2.1,150,400,450,450,200,5.0,True,384.71904868141337,38.97929356620597,1923.961725252273,-3807.291777761421,243412
2.1,4.1,3.1,0.1,300,250,100,500,500,9.0,True,382.44403610606514,36.70428099085774,2414.588032698317,-3316.665470315377,65070
9.1,1.1,9.1,0.1,300,350,500,300,500,6.0,True,381.2724997863664,35.53274467115898,1819.6923012559419,-3911.5612017577523,45911
3.1,2.1,0.1,1.1,450,300,400,150,400,7.0,True,382.6892135582737,36.949458443066305,2362.6334194640513,-3368.620083549643,63510
5.1,3.1,1.1,3.1,450,300,150,450,150,8.0,True,381.706774647024,35.96701953181662,677.6579717126806,-5053.595531301014,46290
1.1,1.1,1.1,3.1,500,300,200,150,500,4.0,True,384.8956243100321,39.155869194824675,4082.522970842081,-1648.730532171613,232018
0.1,4.1,3.1,2.1,200,200,100,300,300,8.0,False,,,,,
6.1,0.1,9.1,4.1,400,200,350,200,250,1.0,True,388.55412787882165,42.814372763614244,3492.3815311753133,-2238.871971838381,352390
2.1,4.1,7.1,0.1,450,100,200,250,400,1.0,True,388.0780879294157,42.338332814208286,4888.517760678107,-842.735742335587,349686
8.1,3.1,4.1,0.1,300,400,100,350,450,3.0,True,382.22595998580346,36.486204870596055,2221.4631449964363,-3509.790358017258,68030
6.1,0.1,5.1,4.1,400,300,500,500,400,9.0,True,382.11093396410473,36.37117884889733,1762.877833154198,-3968.375669859496,45553
7.1,3.1,2.1,4.1,350,100,500,350,350,8.0,True,380.6121393230127,34.87238420780528,1125.7375880834006,-4605.515914930294,40238
8.1,2.1,4.1,4.1,450,250,200,500,100,5.0,True,381.81882226677226,36.07906715156486,529.1996857595223,-5202.053817254172,54344
5.1,1.1,3.1,3.1,150,350,500,250,300,2.0,True,384.9354030109162,39.19564789570882,2817.9155761635484,-2913.337926850146,132002
3.1,1.1,9.1,0.1,400,250,200,350,250,10.0,True,382.6902679491855,36.95051283397811,1443.1522932274675,-4288.101209786227,63546
1.1,0.1,4.1,1.1,200,500,150,250,450,7.0,True,384.9463593850704,39.20660426986302,3309.9003233747208,-2421.3531796389734,391881
5.1,2.1,8.1,3.1,400,450,100,200,250,6.0,True,382.2753685075848,36.5356133923774,1288.3663395860203,-4442.887163427674,54445
6.1,3.1,2.1,3.1,350,300,350,150,450,8.0,False,,,,,
4.1,4.1,0.1,1.1,200,300,100,150,250,9.0,True,381.88698388989184,36.147228774684436,1001.9035287186271,-4729.349974295067,49636
9.1,3.1,6.1,4.1,250,300,100,250,450,8.0,True,379.8731162025211,34.13336108731369,823.8434475824179,-4907.410055431276,38186
5.1,0.1,7.1,4.1,350,450,350,350,400,6.0,False,,,,,
6.1,2.1,6.1,2.1,200,250,350,250,500,8.0,True,381.53219672258854,35.792441607381136,1689.5402075058955,-4041.7132955077986,42385
4.1,2.1,2.1,2.1,350,400,500,250,200,1.0,True,388.7548479022239,43.0150927870165,2954.7602598091617,-2776.4932432045325,369627
1.1,1.1,6.1,2.1,100,450,450,100,500,9.0,True,383.56833019497475,37.82857507976735,2958.2429624586657,-2773.0105405550285,157703
2.1,3.1,1.1,3.1,450,450,150,500,400,4.0,False,,,,,
7.1,0.1,8.1,2.1,300,300,350,100,150,8.0,True,382.11917168039963,36.37941656519223,739.8060716966575,-4991.447431317037,48377
