Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
2.1,2.1,4.1,4.1,200,250,400,250,450,10.0,True,382.4998280199573,36.760072904749904,2161.095451351546,-3570.158051662148,53447
2.1,0.1,3.1,3.1,300,400,300,450,250,10.0,True,383.44782977273064,37.70807465752324,1706.726460790116,-4024.527042223578,190959
9.1,2.1,3.1,3.1,200,250,100,100,500,5.0,True,381.3519873000295,35.61223218482212,1500.495202640508,-4230.758300373186,49023
5.1,3.1,3.1,2.1,400,400,200,100,350,4.0,True,382.4206132481075,36.680858132900084,1994.6061282783921,-3736.647374735302,63899
5.1,2.1,1.1,3.1,150,100,400,500,200,9.0,True,381.8691471749754,36.12939205976801,872.2654955005855,-4858.988007513109,45052
0.1,2.1,3.1,2.1,150,200,500,100,500,8.0,True,385.8023379309445,40.06258281573707,3660.3266379343404,-2070.926865079354,240270
4.1,2.1,0.1,3.1,400,100,300,150,500,7.0,True,382.31219287647247,36.572437761265064,2431.629163854319,-3299.6243391593753,54047
2.1,0.1,4.1,0.1,450,400,100,300,400,9.0,True,383.5541884003012,37.8144332850938,2547.1837289311807,-3184.0697740825135,193419
0.1,2.1,5.1,0.1,500,250,500,200,300,4.0,True,390.11273874696735,44.37298363175995,4155.650751484558,-1575.6027515291362,599087
0.1,2.1,5.1,1.1,150,250,100,200,350,1.0,True,394.0117367286313,48.27198161342392,5401.656120671192,-329.597382342502,642601
8.1,0.1,8.1,0.1,300,200,150,500,450,2.0,True,384.06899971066855,38.32924459546115,3275.8101659064705,-2455.4433371072237,102409
5.1,2.1,9.1,1.1,500,250,100,400,500,6.0,True,382.1056765748008,36.36592145959338,2231.1815867769474,-3500.071916236747,51724
9.1,2.1,9.1,1.1,500,350,500,250,250,3.0,True,382.2303646722402,36.490609557032826,1560.0810194368387,-4171.1724835768555,68604
4.1,2.1,1.1,2.1,100,350,400,300,200,7.0,True,382.4374324310577,36.697677315850285,1108.8414612223714,-4622.412041791323,56768
6.1,2.1,2.1,2.1,150,200,300,100,150,7.0,True,381.92535444440745,36.185599329200045,696.8875122129175,-5034.365990800777,49183
6.1,2.1,1.1,3.1,350,150,150,400,300,4.0,True,382.5733803827637,36.83362526755627,1749.8078450589092,-3981.445657954785,65625
2.1,0.1,8.1,3.1,350,450,150,100,400,9.0,True,383.5417476500902,37.8019925348828,2509.0394848558353,-3222.214018157859,191282
5.1,1.1,6.1,4.1,400,450,300,100,150,2.0,True,385.3525885199985,39.612833404791104,1655.2897289400426,-4075.9637740736516,156594
9.1,2.1,3.1,1.1,450,500,500,350,500,10.0,True,379.6439746710541,33.90421955584668,1105.3091813130595,-4625.944321700635,35182
1.1,2.1,9.1,2.1,450,150,400,100,150,3.0,True,385.4976967020246,39.757941586817196,1736.5659536872845,-3994.6875493264097,223403
5.1,2.1,1.1,0.1,150,500,500,150,500,4.0,True,382.7737455903301,37.03399047512272,2848.3203506609425,-2882.9331523527517,68943
4.1,3.1,3.1,2.1,150,350,450,450,200,4.0,True,382.9272885369732,37.18753342176581,1392.5748933811847,-4338.6786096325095,74169
