Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
6.1,4.1,4.1,0.1,200,300,350,500,450,6.0,True,381.49349406105387,35.753738945846465,1756.2944789066678,-3974.9590241070264,50636
1.1,4.1,5.1,2.1,300,150,100,100,350,10.0,True,382.4496732567814,36.70991814157401,1723.25658897197,-4007.9969140417243,58092
6.1,2.1,6.1,4.1,250,500,100,150,350,9.0,True,381.5894784220699,35.84972330686247,1082.2924006734102,-4648.961102340284,40903
3.1,2.1,1.1,0.1,400,450,400,200,100,3.0,False,,,,,
4.1,2.1,0.1,1.1,250,200,400,300,400,3.0,True,383.7289550092799,37.9891998940725,2996.312687749916,-2734.940815263778,93614
2.1,2.1,3.1,4.1,150,200,200,350,400,10.0,True,382.581955815906,36.842200700698584,1846.743568453734,-3884.50993455996,55593
9.1,3.1,5.1,1.1,400,100,250,400,300,7.0,False,,,,,
1.1,0.1,9.1,1.1,450,400,100,100,150,2.0,True,389.40925494589817,43.66949983069077,2629.3459861852098,-3101.9075168284844,620038
8.1,3.1,5.1,3.1,500,150,150,350,250,5.0,True,381.236340781581,35.49658566637362,1065.0964005602,-4666.157102453494,50422
0.1,1.1,9.1,3.1,100,200,500,150,250,10.0,True,386.2849159361962,40.545160820988826,2084.4748649357352,-3646.778638077959,384016
2.1,1.1,4.1,4.1,400,300,300,300,150,1.0,True,391.1782104538256,45.43845533861821,2838.7714299368745,-2892.4820730768197,556213
4.1,0.1,2.1,0.1,200,150,450,450,200,8.0,True,382.91713569216654,37.17738057695914,1267.6401942523953,-4463.613308761299,69242
0.1,4.1,0.1,0.1,200,150,350,200,250,9.0,True,387.42124001432677,41.68148489911937,2671.759732604536,-3059.493770409158,527884
3.1,1.1,5.1,2.1,350,350,500,400,400,4.0,True,383.75223615340946,38.012481038202054,2988.620876709436,-2742.6326263042583,93065
4.1,1.1,4.1,1.1,450,200,350,350,400,6.0,True,382.77151758074154,37.03176246553414,2329.1921891647216,-3402.0613138489725,61828
9.1,4.1,4.1,3.1,200,500,300,250,150,3.0,True,381.7920391462019,36.052284030994485,834.9440912444261,-4896.309411769268,66331
7.1,0.1,4.1,4.1,150,350,150,450,500,10.0,True,381.8823304056299,36.142575290422485,1427.3709572691296,-4303.882545744565,40977
4.1,0.1,1.1,3.1,100,250,150,300,500,3.0,True,384.56361423088447,38.82385911567707,3387.1035607855883,-2344.149942228106,133323
3.1,1.1,7.1,3.1,400,250,400,300,500,9.0,False,,,,,
3.1,0.1,1.1,1.1,450,450,350,250,450,10.0,True,382.8968658710802,37.15711075587279,2445.463226907421,-3285.7902761062733,79503
0.1,3.1,0.1,4.1,250,150,450,350,150,7.0,True,387.7943496386535,42.0545945234461,1804.4833357152893,-3926.770167298405,454727
9.1,1.1,1.1,0.1,450,450,450,350,400,1.0,True,386.0219115280502,40.282156412842824,4075.336997535749,-1655.916505477945,179376
1.1,3.1,4.1,0.1,450,100,250,450,250,3.0,True,385.5187628248602,39.779007709652774,2796.01264509825,-2935.2408579154444,257807
8.1,1.1,0.1,4.1,450,400,400,100,300,1.0,True,386.9064541928226,41.16669907761519,3498.413185074198,-2232.8403179394963,221905
4.1,3.1,7.1,1.1,300,300,400,150,450,2.0,True,384.1192233416163,38.3794682264089,3546.45947860647,-2184.7940244072242,105313
9.1,4.1,3.1,0.1,250,450,200,100,300,5.0,True,380.8373225167325,35.09756740152511,1049.0901314840303,-4682.163371529664,50467
5.1,2.1,3.1,3.1,150,100,100,400,250,3.0,True,383.6552261731459,37.915471057938475,1705.5513718242,-4025.702131189494,89922
5.1,4.1,6.1,4.1,200,150,450,400,100,4.0,True,382.3719073267198,36.63215221151239,652.8320810251171,-5078.421421988577,66754
3.1,1.1,3.1,2.1,100,100,500,150,500,5.0,True,383.3522527831235,37.6124976679161,3016.5506115339813,-2714.702891479713,78438
2.1,2.1,0.1,2.1,150,100,350,250,150,2.0,True,386.69008169174896,40.950326576541556,1962.4842476386984,-3768.7692553749957,305623
4.1,0.1,4.1,3.1,300,100,400,300,200,1.0,True,390.089430368784,44.349675253576606,3307.2766285316757,-2423.9768744820185,471591
1.1,4.1,3.1,2.1,300,400,200,350,250,5.0,True,383.374441731738,37.63468661653059,1835.6310128519835,-3895.6224901617106,84471
8.1,3.1,1.1,4.1,500,300,300,500,500,4.0,True,381.2428178586565,35.50306274344911,2098.2314434716827,-3633.0220595420114,53964
1.1,3.1,2.1,3.1,400,250,100,300,250,5.0,True,383.71441417740857,37.97465906220117,1942.0036069272173,-3789.249896086477,93819
1.1,0.1,8.1,3.1,400,350,400,150,150,3.0,True,387.4934910703359,41.75373595512849,2200.7767343873784,-3530.476768626316,526527
9.1,0.1,7.1,0.1,500,450,500,200,350,8.0,True,381.4199267758779,35.68017166067051,1297.918708301091,-4433.334794712603,41454
7.1,4.1,4.1,3.1,400,350,400,100,450,8.0,True,379.8378622793352,34.09810716412778,1186.7815055804385,-4544.471997433256,39047
8.1,2.1,0.1,3.1,350,200,150,100,150,10.0,True,380.9710786738157,35.231323558608324,461.3593742754965,-5269.894128738198,38501
5.1,2.1,7.1,4.1,450,450,300,200,300,6.0,True,382.17542818417786,36.43567306897046,1560.7267306644062,-4170.526772349288,52923
9.1,0.1,3.1,2.1,400,150,400,450,500,7.0,True,381.4894834399626,35.74972832475521,1787.604589561408,-3943.6489134522863,43340
4.1,0.1,8.1,2.1,200,100,300,100,500,2.0,True,385.5370403444909,39.79728522928349,4297.354083733808,-1433.8994192798864,176885
7.1,0.1,1.1,1.1,250,300,450,250,250,5.0,False,,,,,
8.1,2.1,0.1,2.1,300,100,500,300,100,7.0,True,381.4121769934857,35.67242187827827,445.68426587434806,-5285.569237139346,46545
1.1,1.1,8.1,4.1,250,300,300,150,200,1.0,True,391.82172057577003,46.08196546056263,3737.116658266663,-1994.1368447470313,617380
1.1,0.1,5.1,1.1,250,100,350,500,100,3.0,True,387.6434062790517,41.9036511638443,1565.7136883365893,-4165.539814677105,550548
7.1,4.1,5.1,4.1,500,200,350,250,500,2.0,True,382.5290473608093,36.78929224560187,3078.9522359048715,-2652.3012671088227,80926
5.1,0.1,5.1,1.1,100,200,150,250,450,10.0,True,382.406004121978,36.66624900677061,1613.3536512156716,-4117.899851798023,50030
6.1,1.1,9.1,3.1,350,200,150,250,150,8.0,True,382.0667371494192,36.326982034211824,707.2352252087003,-5024.018277804994,47752
2.1,4.1,9.1,3.1,200,150,500,500,350,5.0,True,382.6525961605244,36.91284104531701,2123.6292444073188,-3607.6242586063754,65190
6.1,1.1,9.1,2.1,500,250,350,150,150,8.0,True,382.01849347928083,36.27873836407343,752.3480007078324,-4978.905502305862,47442
1.1,0.1,6.1,2.1,150,200,500,500,100,2.0,True,389.60198409812597,43.862228982918566,1916.2643403387847,-3814.9891626749095,652396
8.1,3.1,8.1,4.1,300,500,100,300,100,1.0,True,387.5668249900178,41.82706987481038,1305.7386841099797,-4425.5148189037145,275168
1.1,0.1,5.1,3.1,350,350,500,450,150,6.0,True,385.3730602879498,39.63330517274238,1613.0952852920382,-4118.158217721656,421666
1.1,4.1,0.1,3.1,150,450,200,500,350,1.0,True,389.39249569470394,43.65274057949654,4665.062978649366,-1066.1905243643278,452644
7.1,1.1,6.1,3.1,450,300,500,500,350,5.0,True,382.1391275321419,36.39937241693451,1840.2136356888223,-3891.039867324872,54749
0.1,0.1,7.1,1.1,450,300,500,200,350,1.0,True,405.02853885335077,59.288783738143366,6869.7516887464735,1138.4981857327793,741081
3.1,0.1,5.1,4.1,300,200,350,200,100,10.0,True,383.0304919162715,37.2907368010641,680.7796954210498,-5050.473807592644,95148
3.1,4.1,2.1,0.1,450,500,100,100,100,8.0,False,,,,,
