Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
1.1,2.1,7.1,1.1,200,200,100,300,250,4.0,True,384.7381360494749,38.998380934267516,2200.8188419179933,-3530.434661095701,169988
5.1,1.1,5.1,3.1,350,150,300,100,150,4.0,True,383.36379310338083,37.62403798817343,1168.9945472123582,-4562.258955801336,82030
9.1,1.1,6.1,2.1,300,250,350,300,500,3.0,True,382.25821165041145,36.51845653520405,2620.7545456172084,-3110.498957396486,65227
9.1,2.1,2.1,4.1,200,150,400,300,450,4.0,True,381.47565143493256,35.73589631972516,1896.560043982783,-3834.693459030911,54692
9.1,0.1,3.1,2.1,350,350,150,200,200,5.0,True,382.1840694158131,36.4443143006057,1038.9062902608566,-4692.347212752838,56301
9.1,4.1,8.1,0.1,500,400,100,100,500,7.0,True,379.76206488875,34.02230977354259,1191.2599251845968,-4539.993577829097,42099
0.1,2.1,1.1,4.1,400,200,400,100,100,6.0,True,387.002396942093,41.26264182688561,1155.896194035784,-4575.35730897791,322306
6.1,2.1,3.1,2.1,350,100,250,300,300,10.0,False,,,,,
4.1,4.1,6.1,2.1,250,350,500,500,100,10.0,False,,,,,
5.1,1.1,1.1,1.1,400,250,500,150,150,3.0,True,384.05290108883173,38.31314597362433,1382.2590362894553,-4348.994466724239,104520
4.1,0.1,3.1,3.1,500,100,400,300,450,5.0,True,383.3963620813115,37.65660696610411,2977.5043818155536,-2753.7491211981405,82731
7.1,3.1,9.1,3.1,500,150,350,450,200,2.0,True,383.69410547031964,37.95435035511224,1702.4668226251233,-4028.786680388571,101144
7.1,0.1,9.1,3.1,450,250,150,200,150,2.0,True,385.10139488856873,39.36163977336133,1571.2225133698812,-4160.030989643813,145147
3.1,2.1,5.1,4.1,350,250,400,500,200,4.0,True,383.56460800870684,37.82485289349944,1617.724844832701,-4113.528658180993,86847
5.1,3.1,7.1,4.1,500,250,400,350,450,1.0,False,,,,,
8.1,3.1,3.1,4.1,200,300,450,100,400,3.0,True,381.9538845343538,36.21412941914639,2082.907435205125,-3648.3460678085694,64570
2.1,2.1,7.1,3.1,100,250,500,150,450,7.0,True,382.8826933653107,37.14293825010327,2481.3602026221633,-3249.893300391531,63864
