Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
0.1,0.1,6.1,4.1,300,400,150,250,500,8.0,True,391.7612001679454,46.02144505273799,4243.950684778218,-1487.3028182354765,575635
2.1,3.1,9.1,3.1,200,300,300,250,400,9.0,True,382.3123370361749,36.57258192096748,1869.0302825570689,-3862.2232204566253,51566
4.1,0.1,1.1,4.1,250,250,200,400,350,1.0,True,389.15815867983804,43.41840356463064,4618.694599153387,-1112.5589038603075,404163
9.1,3.1,0.1,0.1,500,300,100,300,450,4.0,True,381.37554870181776,35.63579358661036,1850.1822656895965,-3881.0712373240976,55705
1.1,1.1,9.1,2.1,300,400,500,400,200,8.0,True,383.83120445520484,38.09144933999744,1607.0994675118272,-4124.154035501867,185598
9.1,4.1,2.1,1.1,100,400,400,350,350,10.0,True,378.8224145834348,33.082659468227405,564.7059205576079,-5166.547582456086,34988
8.1,2.1,5.1,4.1,150,150,500,150,250,3.0,True,382.5573025289896,36.81754741378222,1579.9861524854932,-4151.267350528201,72038
8.1,3.1,6.1,4.1,350,250,150,350,300,7.0,True,380.5754645791786,34.83570946397117,903.2105332260107,-4828.042969787683,41867
5.1,1.1,2.1,4.1,500,350,100,200,400,1.0,True,387.5872568889578,41.84750177375042,4594.732827538712,-1136.5206754749825,260404
8.1,3.1,8.1,0.1,350,300,100,150,400,6.0,False,,,,,
7.1,1.1,1.1,1.1,450,150,250,250,100,7.0,True,381.9737700446744,36.23401492946698,511.53914117215754,-5219.714361841537,49534
2.1,3.1,1.1,3.1,150,100,450,400,350,8.0,True,382.50506652364135,36.765311408433945,1894.6571944407478,-3836.5963085729463,58201
5.1,2.1,0.1,2.1,250,500,150,350,400,8.0,True,382.0246343953441,36.28487928013669,1624.1014113018755,-4107.152091711819,48594
2.1,1.1,6.1,3.1,450,200,350,450,500,5.0,True,383.7123686168946,37.97261350168719,3424.556078136724,-2306.69742487697,103136
0.1,0.1,0.1,3.1,200,350,450,500,400,8.0,True,394.9085483970794,49.16879328187201,3850.974619014625,-1880.278883999069,586998
1.1,4.1,1.1,1.1,200,150,200,450,350,3.0,True,384.4804845999397,38.7407294847323,2929.870806102146,-2801.382696911548,122546
3.1,4.1,5.1,3.1,400,450,200,350,250,5.0,True,382.4394339914859,36.69967887627848,1488.6455623642541,-4242.60794064944,62430
5.1,1.1,4.1,3.1,250,250,200,500,250,6.0,False,,,,,
1.1,4.1,8.1,0.1,200,200,350,150,250,6.0,True,383.6925325001548,37.95277738494741,2076.1145897540555,-3655.1389132596387,132586
9.1,0.1,7.1,1.1,100,250,400,250,150,10.0,True,381.4213818891881,35.681626773980724,501.10087884323,-5230.152624170464,38534
0.1,0.1,0.1,1.1,250,450,200,350,150,1.0,True,407.9217166071413,62.18196149193392,4823.271660259881,-907.981842753813,752032
9.1,4.1,1.1,1.1,500,200,500,350,400,10.0,True,378.54540760945775,32.80565249425035,732.5998359333025,-4998.653667080392,34801
1.1,1.1,7.1,4.1,500,150,350,100,250,1.0,False,,,,,
8.1,1.1,0.1,4.1,350,400,400,350,100,10.0,True,381.3344770802838,35.59472196507642,374.95810757191066,-5356.2953954417835,39343
8.1,0.1,3.1,2.1,450,350,100,400,400,6.0,True,382.0462219500209,36.30646683481348,1741.2431981475966,-3990.0103048660976,50212
4.1,4.1,2.1,4.1,350,500,150,100,200,4.0,True,382.60123654923257,36.861481434025166,1269.627816528373,-4461.625686485321,68883
0.1,2.1,5.1,3.1,150,150,350,500,500,1.0,False,,,,,
0.1,4.1,3.1,2.1,350,300,450,250,300,7.0,True,384.9214913836221,39.18173626841468,2477.546078397674,-3253.70742461602,131673
4.1,2.1,4.1,4.1,200,100,200,200,300,9.0,True,382.10615408931665,36.366398974109245,1261.3812191647448,-4469.872283848949,46776
5.1,4.1,1.1,3.1,300,150,150,300,350,7.0,True,381.4224866232174,35.68273150801002,1294.234605063015,-4437.018897950679,46318
7.1,2.1,6.1,0.1,100,300,100,200,150,2.0,True,384.6367604449307,38.8970053297233,1256.5521295213548,-4474.701373492339,128184
1.1,3.1,5.1,3.1,450,350,450,300,200,7.0,True,383.13765683327216,37.39790171806476,1449.546513396548,-4281.706989617146,75143
4.1,4.1,4.1,2.1,150,500,500,350,450,4.0,True,382.25039334294434,36.51063822773693,2395.418843293475,-3335.834659720219,62040
1.1,3.1,6.1,3.1,250,500,100,200,200,2.0,False,,,,,
