Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
7.1,2.1,6.1,1.1,150,300,250,150,200,1.0,True,387.62214903460074,41.88239391939334,2494.8142264281487,-3236.4392765855455,273306
4.1,0.1,9.1,1.1,500,450,450,450,100,1.0,True,391.02736883481884,45.28761371961144,1961.5392661974838,-3769.7142368162104,549484
9.1,3.1,3.1,2.1,400,300,450,350,150,1.0,False,,,,,
0.1,4.1,3.1,0.1,250,150,250,450,500,4.0,False,,,,,
8.1,1.1,3.1,4.1,100,400,200,450,150,10.0,True,381.4249445723847,35.68518945717727,436.67958556079975,-5294.573917452894,38464
2.1,0.1,7.1,4.1,150,450,150,450,150,5.0,True,384.73638336362086,38.99662824841346,1425.268574128495,-4305.984928885199,275502
4.1,4.1,8.1,1.1,450,100,400,200,250,1.0,True,387.46404277667233,41.72428766146493,3177.9716307546623,-2553.281872259032,262175
2.1,3.1,3.1,2.1,200,350,150,100,250,7.0,True,382.76575554692596,37.02600043171856,1432.9876877794013,-4298.265815234293,64941
0.1,0.1,2.1,4.1,150,200,100,400,100,5.0,True,393.8651581834883,48.12540306828089,1559.6550552889894,-4171.598447724705,665007
9.1,4.1,7.1,1.1,350,350,150,450,150,8.0,True,379.47728003113644,33.73752491592904,362.6329186925577,-5368.620584321136,39116
2.1,3.1,4.1,3.1,500,100,100,500,100,5.0,True,383.3236595242398,37.583904409032414,794.076037015293,-4937.177465998401,81872
0.1,4.1,0.1,4.1,100,350,500,250,300,3.0,False,,,,,
6.1,1.1,9.1,4.1,400,250,300,450,450,5.0,True,382.3732030542621,36.63344793905469,2307.903004875465,-3423.3504981382293,56265
6.1,0.1,7.1,0.1,400,350,300,100,150,10.0,True,382.1447344524767,36.40497933726931,721.9036883307272,-5009.349814682967,46387
4.1,0.1,5.1,1.1,300,150,150,400,450,7.0,True,382.98909571222504,37.249340597017635,2422.026732317696,-3309.2267706959983,68493
1.1,0.1,0.1,4.1,300,500,450,300,150,2.0,True,389.43326944181246,43.693514326605055,2660.32967492655,-3070.923828087144,617911
1.1,1.1,5.1,3.1,250,300,150,300,450,6.0,True,384.1564628449875,38.416707729780114,3121.3148795157613,-2609.938623497933,192964
7.1,3.1,2.1,1.1,400,350,450,250,450,6.0,True,381.05579140302854,35.316036287821134,1688.9182431428344,-4042.3352598708598,46339
0.1,3.1,7.1,4.1,300,300,250,250,150,3.0,True,387.2638227570466,41.524067641839224,1843.6131334996535,-3887.6403695140407,289511
4.1,2.1,4.1,1.1,350,250,250,400,500,4.0,False,,,,,
6.1,0.1,4.1,3.1,150,350,500,400,500,4.0,True,383.0758650280405,37.33610991283308,2957.86369663832,-2773.389806375374,70831
7.1,0.1,9.1,0.1,100,450,500,200,450,5.0,True,382.518566394842,36.778811279634624,2280.453183666483,-3450.8003193472114,58813
5.1,1.1,2.1,4.1,200,450,450,450,250,2.0,True,385.0629196586042,39.323164543396786,2482.319022558222,-3248.934480455472,138759
8.1,1.1,8.1,0.1,500,100,350,100,300,2.0,True,383.9330450585906,38.193289943383206,2497.9330589721067,-3233.3204440415875,103645
0.1,2.1,3.1,1.1,100,500,250,250,500,6.0,True,386.84924511175876,41.10948999655136,3949.2568626875,-1781.9966403261942,306878
9.1,0.1,0.1,2.1,200,150,200,400,400,4.0,False,,,,,
9.1,1.1,4.1,4.1,150,250,100,500,350,6.0,True,381.6413318549963,35.90157673978888,1078.6003609883192,-4652.653142025375,47098
9.1,3.1,3.1,4.1,450,500,400,400,450,2.0,True,382.420705790063,36.68095067485558,2764.051670136687,-2967.2018328770073,80446
0.1,0.1,4.1,2.1,400,500,100,500,300,10.0,True,392.0195965784697,46.2798414632623,2791.1873503189854,-2940.0661526947088,579285
5.1,0.1,1.1,2.1,300,200,350,200,100,5.0,False,,,,,
3.1,2.1,2.1,3.1,500,200,350,150,400,8.0,False,,,,,
5.1,0.1,6.1,4.1,250,500,150,450,450,9.0,True,382.43140679423846,36.691651679031054,1904.8346128129633,-3826.418890200731,51062
5.1,0.1,9.1,0.1,250,400,350,450,400,10.0,True,382.3133205509946,36.5735654357872,1771.7173264246376,-3959.5361765890566,48603
3.1,3.1,1.1,4.1,300,400,300,300,100,4.0,True,383.4323550116445,37.692599896437116,827.9202350758424,-4903.333267937852,86618
4.1,3.1,8.1,3.1,150,250,300,100,500,5.0,True,382.2847112834843,36.54495616827688,2308.9109052925196,-3422.3425977211746,56683
7.1,0.1,4.1,3.1,400,450,500,350,200,3.0,True,383.68585243848213,37.94609732327473,1667.9038521357288,-4063.3496508779654,91870
5.1,4.1,0.1,2.1,150,250,300,300,350,1.0,True,386.8022499179606,41.06249480275318,3743.254247023695,-1987.9992559899993,226042
7.1,3.1,6.1,3.1,150,100,350,100,500,2.0,True,383.08162815482154,37.34187303961414,3068.407087263564,-2662.8464157501303,86793
1.1,0.1,5.1,0.1,350,250,350,300,250,5.0,True,385.79947345269716,40.059718337489755,2636.895933417647,-3094.357569596047,434149
8.1,1.1,5.1,4.1,300,450,450,450,100,7.0,True,381.6681779888497,35.92842287364232,466.4068240238921,-5264.846678989802,46425
5.1,2.1,3.1,1.1,450,150,400,500,250,6.0,True,382.2500848370397,36.510329721832306,1392.6708349502878,-4338.582668063406,55161
4.1,2.1,8.1,0.1,150,300,450,250,500,5.0,True,382.77934897258257,37.039593857375166,2790.98268924703,-2940.270813766664,67058
6.1,1.1,7.1,4.1,350,100,400,350,100,8.0,True,382.05231184952015,36.31255673431275,512.5286071035589,-5218.724895910135,47995
4.1,2.1,1.1,2.1,100,450,500,500,250,3.0,True,383.8674245377924,38.12766942258497,2047.515837879866,-3683.737665133828,96492
0.1,4.1,4.1,4.1,350,300,500,100,350,9.0,True,383.99242998306033,38.25267486785293,2416.3291906421073,-3314.924312371587,95387
2.1,2.1,7.1,4.1,200,150,400,300,250,2.0,True,385.8964465609999,40.15669144579249,2756.3809585772105,-2974.8725444364836,198538
6.1,3.1,1.1,4.1,200,150,250,400,300,8.0,True,381.33344744195847,35.59369232675107,1032.5420142521907,-4698.7114887615035,42782
0.1,2.1,8.1,0.1,150,150,150,400,250,3.0,False,,,,,
5.1,4.1,1.1,1.1,100,350,450,150,150,3.0,True,383.0671376072274,37.32738249201998,1114.6211771383096,-4616.632325875385,83857
9.1,1.1,9.1,1.1,150,500,200,450,350,5.0,True,381.7667759447405,36.027020829533114,1384.1588996195642,-4347.09460339413,51781
9.1,4.1,7.1,1.1,250,100,450,300,150,4.0,True,381.0854358010297,35.34568068582229,707.6003182145505,-5023.653184799144,56142
5.1,3.1,5.1,1.1,300,450,250,500,400,3.0,True,382.9213305326489,37.18157541744148,2535.7204997523804,-3195.5330032613138,76006
7.1,0.1,7.1,0.1,100,250,100,100,100,5.0,True,382.9578510574775,37.21809594227011,571.0581402728058,-5160.195362740888,70695
0.1,1.1,1.1,2.1,350,400,450,150,300,6.0,True,388.1057056366815,42.365950521474076,3129.648228757098,-2601.605274256596,451615
1.1,3.1,7.1,0.1,250,100,500,500,300,6.0,True,383.84725007847754,38.10749496327014,2520.758190460314,-3210.4953125533802,146750
2.1,2.1,7.1,1.1,500,500,150,350,500,6.0,True,383.08564178805597,37.345886672848565,2987.085005791625,-2744.168497222069,71332
7.1,3.1,3.1,3.1,350,350,250,450,250,9.0,True,380.63827511471766,34.898519999510256,755.5901081759075,-4975.663394837787,38592
9.1,3.1,5.1,1.1,250,100,300,100,150,10.0,True,379.54748867222656,33.80773355701916,335.6737010882789,-5395.579801925415,35727
