Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
1.1,3.1,5.1,3.1,400,250,400,300,100,1.0,True,391.14891475896627,45.40915964375887,1916.476344221177,-3814.777158792517,531689
2.1,2.1,8.1,0.1,100,350,150,150,100,1.0,True,391.7554684797929,46.01571336458551,1934.1016037867448,-3797.1518992269494,592239
1.1,0.1,7.1,0.1,400,250,450,200,150,10.0,True,384.45048184243984,38.71072672723244,1305.2844677294124,-4425.969035284282,387708
0.1,2.1,3.1,4.1,350,150,500,100,250,5.0,True,386.5059960486386,40.76624093343122,2565.9538167931314,-3165.2996862205628,284218
8.1,3.1,1.1,1.1,350,450,500,300,200,10.0,True,379.9259425182189,34.1861874030115,553.8492834780627,-5177.4042195356315,36645
1.1,1.1,9.1,0.1,300,450,450,450,250,10.0,True,383.7659635269933,38.02620841178589,1935.0524977091409,-3796.2010053045533,228485
0.1,4.1,9.1,0.1,350,100,450,200,250,6.0,False,,,,,
1.1,0.1,0.1,4.1,100,250,350,450,150,9.0,True,384.62783139204157,38.88807627683417,1320.3080957431011,-4410.945407270593,393454
3.1,2.1,3.1,3.1,500,500,150,350,150,4.0,True,383.6708479623989,37.93109284719151,1260.565545441481,-4470.687957572213,91445
5.1,1.1,1.1,0.1,100,450,300,400,150,10.0,True,382.1939088546188,36.454153739411424,706.6588552430621,-5024.594647770632,48872
9.1,3.1,8.1,3.1,500,250,200,350,400,2.0,True,382.58408932366297,36.844334208455564,2529.322232904582,-3201.931270109112,82876
8.1,4.1,6.1,3.1,400,100,150,200,250,1.0,True,386.0752062789398,40.33545116373239,2655.013744602984,-3076.2397584107102,187717
7.1,0.1,5.1,3.1,500,400,350,500,400,1.0,True,387.1804892657797,41.440734150572325,4530.43540447444,-1200.8180985392546,232847
5.1,1.1,0.1,3.1,500,350,150,150,350,7.0,True,382.39313635765427,36.65338124244687,1806.239842874551,-3925.013660139143,54266
9.1,2.1,8.1,1.1,450,250,350,400,200,3.0,True,382.3592932493072,36.6195381340998,1287.7220545730524,-4443.531448440642,70896
4.1,3.1,3.1,1.1,250,150,400,100,150,7.0,True,382.15639806082874,36.416642945621334,826.7856318770064,-4904.467871136688,54102
0.1,2.1,6.1,4.1,450,300,200,100,250,10.0,True,385.09818009978454,39.35842498457714,1951.931551355694,-3779.321951658,201500
5.1,2.1,6.1,4.1,150,200,350,350,400,8.0,True,381.85584922280844,36.11609410760104,1556.5294397826947,-4174.7240632309995,44793
8.1,3.1,4.1,1.1,100,450,100,300,300,9.0,True,380.82832883973987,35.088573724532466,524.3614831690211,-5206.892019844673,38889
8.1,2.1,5.1,3.1,350,500,350,300,400,2.0,True,383.25024528211054,37.51049016690314,2815.8474418180995,-2915.4060611955947,89794
9.1,4.1,8.1,2.1,100,400,200,350,250,1.0,True,385.9877279943015,40.24797287909411,2431.4455081246124,-3299.807994889082,185808
3.1,1.1,7.1,4.1,100,300,300,200,400,1.0,True,388.84099735172026,43.10124223651286,4845.582596029912,-885.6709069837825,373080
1.1,4.1,5.1,0.1,300,300,200,400,250,9.0,True,383.1171858030941,37.377430687886715,1786.6137505034567,-3944.6397525102375,105770
2.1,2.1,5.1,2.1,300,300,500,150,300,6.0,True,383.17113573811906,37.43138062291166,2066.324924045097,-3664.9285789685973,74943
5.1,4.1,6.1,2.1,450,500,150,150,250,8.0,True,381.2354555174632,35.49570040225581,937.9036685144383,-4793.349834499256,43477
2.1,1.1,6.1,1.1,500,150,200,300,500,10.0,True,382.86848795259397,37.128732837386565,2648.381908112555,-3082.8715949011394,70865
9.1,1.1,5.1,2.1,400,500,350,200,400,5.0,True,381.5486012883296,35.80884617312222,1704.0960485663381,-4027.157454447356,50276
7.1,4.1,2.1,3.1,200,300,400,350,400,8.0,True,380.0401530707637,34.30039795555632,1065.789572891139,-4665.463930122555,39604
0.1,2.1,6.1,2.1,250,300,200,450,400,10.0,True,385.5001907253014,39.76043561009402,2841.417580249108,-2889.835922764586,223229
1.1,2.1,8.1,1.1,100,350,200,300,500,6.0,True,383.7495748063569,38.00981969114952,3033.191205899202,-2698.062297114492,106986
2.1,4.1,9.1,1.1,150,250,150,400,100,3.0,True,384.3637350142973,38.623979899089875,921.0530495116691,-4810.200453502025,119917
5.1,3.1,5.1,0.1,350,350,200,100,350,1.0,True,387.14970636917883,41.40995125397143,3965.4551764745265,-1765.7983265391676,246595
2.1,4.1,3.1,0.1,150,500,250,350,400,9.0,True,382.4900513931933,36.75029627798591,2083.188899016124,-3648.06460399757,67023
2.1,1.1,1.1,4.1,150,300,100,350,200,1.0,True,390.9914835718499,45.251728456642525,3323.7571514531446,-2407.4963515605496,548524
1.1,3.1,1.1,4.1,200,200,450,350,200,2.0,False,,,,,
3.1,0.1,0.1,2.1,500,200,200,250,350,10.0,True,382.9416000972401,37.201844982032696,2013.756775218586,-3717.496727795108,84284
9.1,2.1,5.1,0.1,350,250,350,200,400,5.0,True,381.291508285304,35.55175317009662,1608.1455023067829,-4123.108000706911,50521
9.1,4.1,1.1,4.1,250,450,150,100,250,9.0,True,379.18129935070954,33.441544235502136,439.9656182418548,-5291.287884771839,36500
8.1,2.1,5.1,3.1,300,350,100,450,500,3.0,True,382.30067987616815,36.560924760960745,2428.730757973477,-3302.522745040217,66027
0.1,0.1,8.1,2.1,200,400,300,500,250,8.0,False,,,,,
9.1,1.1,9.1,2.1,300,250,300,250,150,4.0,True,382.2269456402262,36.487190525018775,882.405955311915,-4848.847547701779,62483
2.1,0.1,6.1,2.1,100,450,400,350,350,5.0,True,384.54864991110236,38.80889479589496,2860.0460620828962,-2871.207440930798,249585
2.1,3.1,0.1,0.1,500,100,450,200,200,6.0,True,383.33568853880604,37.59593342359864,1619.1857844276237,-4112.06771858607,99584
2.1,3.1,8.1,0.1,400,200,450,500,300,3.0,False,,,,,
2.1,0.1,1.1,1.1,200,250,350,150,150,7.0,True,384.0377327181847,38.29797760297731,1283.5261745947137,-4447.7273284189805,233403
5.1,1.1,9.1,4.1,300,250,400,300,500,1.0,True,387.0848025036484,41.345047388441,5201.04563381488,-530.2078691988145,224111
9.1,2.1,2.1,4.1,500,350,300,350,250,8.0,True,380.3567830294756,34.61702791426819,771.7732167337381,-4959.480286279956,39362
7.1,2.1,7.1,4.1,450,150,450,350,400,10.0,True,380.8239017191838,35.08414660397642,1179.5035201937717,-4551.7499828199225,36699
2.1,2.1,9.1,1.1,350,450,350,400,100,10.0,True,382.71241386904035,36.972658753832945,647.7762083206981,-5083.477294692996,63537
5.1,3.1,4.1,0.1,150,400,250,250,150,7.0,True,382.1328167318185,36.39306161661108,766.4448939128706,-4964.808609100824,55136
2.1,1.1,8.1,1.1,150,350,250,150,350,6.0,True,383.6263973029706,37.88664218776319,2372.1875650626316,-3359.0659379510626,108658
1.1,3.1,5.1,2.1,300,250,400,100,400,6.0,True,383.2392911191325,37.49953600392507,2643.0000483774056,-3088.2534546362886,77462
0.1,4.1,0.1,3.1,450,100,250,500,400,6.0,False,,,,,
1.1,0.1,8.1,4.1,300,250,200,100,150,4.0,True,386.48885960073125,40.749104485523844,1897.6049219324996,-3833.6485810811946,476100
4.1,1.1,3.1,2.1,100,350,200,300,150,3.0,True,384.4994404366177,38.7596853214103,1354.3161969659704,-4376.937306047724,125521
2.1,2.1,8.1,2.1,250,350,450,100,500,4.0,True,383.6633808887065,37.92362577349911,3425.155323135521,-2306.098179878173,87549
5.1,2.1,0.1,4.1,150,400,250,400,100,10.0,True,381.9592115521501,36.21945643694272,453.7431471535747,-5277.5103558601195,46552
0.1,4.1,4.1,1.1,350,400,400,100,150,9.0,True,385.24970225166305,39.50994713645565,1334.81766826917,-4396.435834744524,154345
8.1,3.1,3.1,1.1,400,350,500,450,100,6.0,True,381.10420111980983,35.36444600460243,447.0955021919581,-5284.158000821736,47968
0.1,3.1,4.1,3.1,400,200,100,400,300,10.0,True,384.69456036992545,38.95480525471805,2143.7957720388804,-3587.457730974814,126195
3.1,0.1,4.1,2.1,400,350,150,150,150,10.0,True,383.0199807468465,37.2802256316391,970.034335351178,-4761.219167662516,93319
7.1,4.1,7.1,4.1,150,500,500,400,150,7.0,True,380.5421077809931,34.80235266578569,536.7062451019592,-5194.547257911735,42900
0.1,1.1,7.1,3.1,400,350,350,100,350,2.0,True,390.4909500302863,44.751194915078884,4739.112615928345,-992.1408870853493,530268
2.1,2.1,5.1,3.1,300,450,400,250,500,5.0,True,383.273216924778,37.53346180957061,3151.6633149170666,-2579.5901880966276,74888
5.1,3.1,3.1,0.1,500,500,250,150,300,2.0,True,384.33516371076485,38.595408595557444,2664.995483713137,-3066.258019300557,118310
2.1,4.1,0.1,4.1,250,100,300,300,100,5.0,True,383.42662228283325,37.68686716762585,849.1841103877596,-4882.069392625935,96589
4.1,0.1,5.1,2.1,200,400,450,450,250,5.0,True,383.57754241207823,37.83778729687083,1892.5715745898196,-3838.6819284238745,95793
0.1,4.1,6.1,3.1,450,350,350,400,300,9.0,True,384.1426013220548,38.402846206847414,2161.9798601696384,-3569.2736428440558,100586
4.1,4.1,7.1,0.1,100,450,300,200,200,1.0,False,,,,,
3.1,2.1,8.1,3.1,400,500,100,100,250,10.0,True,382.2860830449189,36.54632792971148,1195.6939435295208,-4535.559559484173,49420
2.1,0.1,8.1,2.1,100,500,150,150,150,1.0,True,392.57145441282296,46.83169929761556,3034.9204113610904,-2696.333091652604,660473
3.1,1.1,1.1,4.1,450,300,350,350,200,9.0,True,382.7133644105383,36.9736092953309,1221.0500371418748,-4510.203465871819,60842
2.1,4.1,5.1,0.1,450,200,100,150,300,6.0,True,383.00038449737735,37.26062938216995,2043.2171009291924,-3688.036402084502,84432
