Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
5.1,2.1,9.1,4.1,250,500,300,300,450,3.0,True,383.17181475864646,37.43205964343906,2876.469425253221,-2854.7840777604733,77608
4.1,3.1,6.1,1.1,100,100,300,500,350,8.0,True,381.9405237169444,36.200768601737025,1424.7879314898164,-4306.465571523878,48261
6.1,2.1,1.1,4.1,350,500,150,250,150,8.0,True,381.7622751736107,36.0225200584033,649.0323675020336,-5082.221135511661,45503
3.1,0.1,5.1,1.1,450,250,200,200,200,7.0,True,383.46297670695634,37.72322159174894,1486.373091779984,-4244.88041123371,117174
1.1,1.1,6.1,0.1,400,500,200,200,100,5.0,True,385.1893673490996,39.449612233892196,1148.4223897978227,-4582.8311132158715,324690
5.1,1.1,5.1,0.1,200,500,150,250,300,8.0,True,382.3662377533425,36.62648263813509,1380.2553574914782,-4350.998145522216,53305
7.1,4.1,3.1,2.1,450,350,500,150,350,10.0,True,379.5348962418862,33.7951411266788,859.7624403405352,-4871.491062673159,36120
9.1,0.1,9.1,0.1,500,300,100,250,100,6.0,True,382.0011417031053,36.2613865878979,512.0797526297101,-5219.173750383984,51921
7.1,4.1,8.1,2.1,200,350,500,450,250,3.0,True,382.1274651485818,36.38771003337439,1495.934506513251,-4235.318996500443,68462
5.1,3.1,8.1,0.1,200,150,250,450,150,2.0,False,,,,,
0.1,4.1,2.1,4.1,200,250,250,450,100,6.0,True,385.4103910809349,39.67063596572751,963.6723257072445,-4767.58117730645,152413
7.1,4.1,7.1,0.1,400,500,250,200,250,4.0,True,381.9112270011762,36.1714718859688,1337.116718317906,-4394.136784695788,61660
2.1,1.1,3.1,4.1,450,300,300,400,500,9.0,True,382.93660340251927,37.196848287311866,2731.0098708132864,-3000.243632200408,71070
1.1,0.1,1.1,3.1,250,100,150,500,200,1.0,True,393.9494082235881,48.20965310838068,4247.253421365167,-1484.0000816485272,717824
5.1,0.1,2.1,3.1,200,400,150,350,500,4.0,True,383.494471624233,37.75471650902557,2950.391323731863,-2780.8621792818312,81999
0.1,0.1,9.1,1.1,250,100,250,150,100,4.0,True,395.5848188003401,49.845063685132686,1805.8978686870687,-3925.3556343266255,702483
5.1,2.1,5.1,0.1,250,250,350,150,200,7.0,True,382.2640055818625,36.524250466655076,1086.872966342591,-4644.380536671103,55174
8.1,1.1,8.1,1.1,250,500,500,450,250,2.0,True,384.0203953274256,38.2806402122182,2145.595452215115,-3585.658050798579,105210
5.1,2.1,2.1,0.1,200,500,400,250,200,2.0,True,384.97971713847755,39.23996202327015,2019.234992345344,-3712.0185106683502,142322
9.1,3.1,6.1,4.1,200,450,250,300,200,2.0,False,,,,,
5.1,0.1,3.1,0.1,350,100,350,500,300,2.0,True,385.42825051361854,39.688495398411135,3035.85675088696,-2695.396752126734,164086
2.1,1.1,3.1,1.1,500,250,350,500,450,7.0,True,383.2869151051888,37.547159989981424,2880.4240161632188,-2850.8294868504754,87957
8.1,3.1,8.1,4.1,100,500,450,150,200,7.0,True,380.66037757932213,34.92062246411473,666.1696861654054,-5065.083816848289,42491
7.1,0.1,6.1,0.1,450,250,300,450,200,4.0,True,383.0611921445499,37.32143702934252,1422.592468337636,-4308.661034676058,74778
9.1,4.1,4.1,3.1,250,450,300,250,350,8.0,True,379.07849742209703,33.33874230688963,704.1088602181117,-5027.1446427955825,37735
5.1,3.1,6.1,1.1,150,400,250,400,450,3.0,True,382.9311130108229,37.19135789561551,2631.6321466678637,-3099.6213563458305,75633
8.1,3.1,8.1,1.1,200,150,150,400,250,5.0,True,381.45512856873165,35.71537345352425,979.8200889601285,-4751.433414053566,51690
5.1,1.1,1.1,0.1,350,200,300,300,500,1.0,True,387.19973452079967,41.459979405592264,5234.998962467362,-496.25454054633246,236843
5.1,3.1,1.1,4.1,200,300,350,300,200,6.0,True,382.0010794606455,36.261324345438084,1021.8957812555454,-4709.357721758149,53179
3.1,0.1,5.1,4.1,150,100,500,100,300,6.0,True,383.6489864860096,37.90923137080222,2167.1680753498804,-3564.085427663814,124270
0.1,2.1,4.1,2.1,300,400,450,150,400,1.0,True,392.60355575749725,46.863800642289846,5942.610844008013,211.3573409943192,562365
3.1,1.1,5.1,0.1,300,300,500,250,150,5.0,True,383.72990324966196,37.99014813445456,1294.7770960140042,-4436.47640699969,107681
5.1,0.1,0.1,2.1,300,500,100,350,400,2.0,True,385.2850553228736,39.54530020766617,3514.686134302203,-2216.5673687114913,151287
6.1,1.1,1.1,2.1,200,150,350,100,100,9.0,True,381.9739757943499,36.23422067914248,466.02272329143307,-5265.230779722261,45856
0.1,0.1,7.1,1.1,500,450,150,300,200,4.0,False,,,,,
2.1,4.1,8.1,0.1,450,250,450,350,150,4.0,True,383.88451676848763,38.14476165328023,1402.9404802247882,-4328.313022788906,118816
3.1,1.1,7.1,1.1,350,500,250,400,500,6.0,True,383.0730926853196,37.33333757011218,2885.713380308618,-2845.540122705076,69618
1.1,2.1,9.1,2.1,400,250,500,300,250,4.0,True,384.5272117914442,38.787456676236786,2345.1791252625553,-3386.074377751139,148113
5.1,1.1,4.1,0.1,300,200,300,500,150,5.0,True,383.03484094972396,37.295085834516556,1068.9993853861015,-4662.254117627593,73871
4.1,3.1,3.1,4.1,250,100,300,400,150,5.0,True,382.57682990539337,36.837074790185966,950.7608194622226,-4780.492683551472,64218
3.1,0.1,9.1,1.1,100,250,450,200,450,8.0,True,383.1835141211805,37.44375900597311,2556.650499310461,-3174.6030037032333,94891
0.1,4.1,1.1,2.1,350,350,400,450,400,10.0,False,,,,,
5.1,1.1,0.1,2.1,100,200,250,250,200,8.0,True,382.39777088518235,36.65801576997495,992.2039687457145,-4739.04953426798,54424
1.1,2.1,6.1,1.1,100,300,400,100,250,9.0,True,383.29443285203837,37.55467773683097,1676.781999847939,-4054.471503165755,91793
0.1,1.1,0.1,2.1,500,300,200,250,200,4.0,False,,,,,
8.1,1.1,3.1,4.1,200,150,150,350,100,7.0,True,381.786221885351,36.04646677014358,416.188232368826,-5315.065270644868,47000
0.1,4.1,3.1,0.1,350,200,100,200,150,9.0,False,,,,,
9.1,3.1,4.1,2.1,350,300,500,450,450,2.0,True,382.44322126639895,36.70346615119155,2771.132762801455,-2960.120740212239,81069
7.1,3.1,2.1,4.1,150,250,350,400,500,9.0,True,380.45418597360026,34.71443085839286,1213.5043222629465,-4517.749180750748,37836
7.1,1.1,2.1,0.1,150,150,250,300,300,6.0,True,382.13382959967475,36.39407448446735,1366.0278480055422,-4365.225655008152,53121
9.1,0.1,2.1,2.1,200,150,150,500,300,7.0,True,381.75566501638605,36.015909901178645,1072.0531868325052,-4659.200316181189,45558
6.1,2.1,2.1,0.1,350,300,100,450,300,2.0,True,384.3778407087484,38.63808559354101,2527.6299048011424,-3203.6235982125518,115903
7.1,2.1,7.1,3.1,200,200,500,250,250,3.0,True,382.83952353818336,37.099768422975956,1702.632336079274,-4028.62116693442,75740
0.1,2.1,2.1,4.1,500,100,300,200,350,2.0,True,389.1763475289357,43.436592413728306,4446.37568906066,-1284.877813953034,417342
1.1,4.1,5.1,4.1,500,450,200,300,100,6.0,False,,,,,
3.1,1.1,3.1,3.1,200,200,150,200,300,10.0,True,382.6183429282151,36.8785878130077,1458.1590239316138,-4273.09447908208,56459
