datetime,"557714, 4869606","557689, 4869553",total,error
2018-01-01,2880.1910714502737,933.2572201003495,3813.4482915506233,2305.6654773506234
2018-01-02,2862.9970170517336,915.9248668742366,3778.92188392597,2292.16940032597
2018-01-03,2846.0762998400023,898.8682825298747,3744.944582369877,2262.732948869877
2018-01-04,2828.2671104421897,880.9161347416812,3709.183245183871,2227.9169347838706
2018-01-05,2811.899050453183,864.4166964933393,3676.3157469465223,2340.543152223118
2018-01-06,2795.772211896663,848.1605794894858,3643.932791386149,2401.7181593861487
2018-01-07,2779.042346079834,831.2965272855072,3610.338873365341,2360.571094865341
2018-01-08,2762.6098759695888,814.7325028709602,3577.342378840549,2341.707639640549
2018-01-09,2749.789136480802,801.8089605284913,3551.5980970092933,2315.9633578092935
2018-01-10,2735.3726467716333,787.2773712802737,3522.650018051907,2282.0201195519066
2018-01-11,2716.174887790141,767.9262387576746,3484.1011265478155,2226.9309686478155
2018-01-12,5028.487674750184,3098.6592453785706,8127.146920128755,6890.689694328755
2018-01-13,2994.1777269919985,1048.1495821433782,4042.3273091353767,2806.692569935377
2018-01-14,2831.122909630969,883.7948019794421,3714.917711610411,2478.4604858104112
2018-01-15,2755.439018619305,807.5042340481596,3562.9432526674645,2328.8636306674643
2018-01-16,2706.1203816181805,757.7914509041293,3463.91183252231,2229.06962792231
2018-01-17,2682.9372844846803,734.423450614966,3417.3607350996463,2181.696043899646
2018-01-18,2662.812139563379,714.1378511052171,3376.949990668596,2140.4628128685963
2018-01-19,2980.941811317345,1034.808689084719,4015.750500402064,2781.670878402064
2018-01-20,3026.8597919841995,1081.0906078671978,4107.950399851397,2872.3156606513976
2018-01-21,2823.2995108506875,875.9086340043286,3699.208144855016,2492.104651255016
2018-01-22,2718.9288877930085,770.7022567072709,3489.6311445002793,2178.935743800279
2018-01-23,14207.609538784367,12350.531660337001,26558.141199121368,25348.63049712137
2018-01-24,5668.259465421754,3743.516273515648,9411.775738937402,8229.240817937402
2018-01-25,4294.547270960233,2358.8775757935655,6653.424846753798,5493.080894553798
2018-01-26,3977.553193458327,2039.3553897257661,6016.908583184093,4728.723749384093
2018-01-27,3880.4459692621895,1941.4730418973195,5821.919011159509,4468.736325859509
2018-01-28,3586.47214538377,1645.1568559625593,5231.6290013463295,3920.3254949463294
2018-01-29,3545.2552475164703,1603.6121376375377,5148.867385154008,3903.362806754008
2018-01-30,3433.378001920093,1490.8405218778644,4924.2185237979575,3679.4761922979574
2018-01-31,3406.196514982934,1463.4421745206346,4869.6386895035685,3631.5364905035685
2018-02-01,3306.392877102364,1362.8438443652121,4669.236721467576,3430.282083867576
2018-02-02,3116.784063537867,1171.728138794977,4288.512202332844,3051.232489932844
2018-02-03,3089.400273692736,1144.1271022258152,4233.527375918551,2997.8926367185513
2018-02-04,2989.301301792235,1043.2345048543066,4032.5358066465415,2795.225806546541
2018-02-05,2965.484779240709,1019.2292371384974,3984.7140163792064,2745.7893307792065
2018-02-06,2945.2773599917127,998.8617989484919,3944.1391589402047,2704.3919867402046
2018-02-07,2912.5553348361573,965.8815687065653,3878.4369035427226,2612.370160142723
2018-02-08,2865.0826845490665,918.0273976014869,3783.1100821505534,2483.3213881505535
2018-02-09,2843.360199542425,896.1303946305416,3739.4905941729667,2425.719627972967
2018-02-10,2779.1971234164375,831.4525978620804,3610.649721278518,2296.056268478518
2018-02-11,2718.6929932849016,770.464475725923,3489.1574690108246,2139.600269910825
2018-02-12,2697.7388276055863,749.3430457157374,3447.0818733213237,2092.4080284213233
2018-02-13,2678.6820270582684,730.1341986060434,3408.816225664312,2020.8538953643117
2018-02-14,2663.2918794742727,714.6213895778346,3377.9132690521074,1983.0368633521073
2018-02-15,2706.8496002790635,758.5265082301339,3465.3761085091974,2052.1316982091976
2018-02-16,2672.083117669041,723.4827105046134,3395.565828173654,1992.9222334736542
2018-02-17,2555.0911688341876,605.5610387698398,3160.6522076040274,1746.4005524040274
2018-02-18,2527.6203331720026,577.873371842521,3105.4937050145236,1676.2868173145234
2018-02-19,2604.7640291465796,655.627776166104,3260.3918053126836,1780.0088962126836
2018-02-20,2544.9246761013346,595.3143168952083,3140.238992996543,1711.093359296543
2018-02-21,2469.475560317107,519.2703993804171,2988.745959697524,1616.9519502975243
2018-02-22,2469.484269486682,519.2791964224889,2988.763465909171,1674.932260009171
2018-02-23,2439.615439848654,489.1753738388652,2928.7908136875194,1613.3445865875194
2018-02-24,2421.2245090392244,470.6396278736356,2891.86413691286,1575.56513551286
2018-02-25,3281.999631799903,1338.2564478224958,4620.256079622399,3312.2425196223985
2018-02-26,2567.1542464065424,617.7193551890668,3184.873601595609,1868.5443124956091
2018-02-27,5524.035992035264,3598.147154968814,9122.183147004078,7577.739347604078
2018-02-28,4059.3465408655757,2121.8015511538542,6181.14809201943,3968.8574809194297
2018-03-01,3078.8574434020265,1133.5005526086898,4212.357996010716,1294.1781159107163
2018-03-02,2885.7064219380263,938.8169902092777,3824.523412147304,952.6689827473037
2018-03-03,2653.7351037082553,704.9884476531006,3358.723551361356,-401.0145218386442
2018-03-04,2504.704584950232,554.7770074237778,3059.48159237401,-1175.35463952599
2018-03-05,2660.13476207279,711.4392026685236,3371.573964741314,31.024809141313654
2018-03-06,2427.6014549251704,477.0667571336089,2904.6682120587793,276.21877095877926
2018-03-07,2408.3672402929515,457.68139572042855,2866.04863601338,433.39524341337983
2018-03-08,2372.2551374653995,421.28568879925297,2793.5408262646524,447.96810726465264
2018-03-09,2356.042414576659,404.94572147517465,2760.988136051834,489.34348525183395
