datetime,"557091, 4867265",total,error
2018-01-01,380.6820328358786,380.6820328358786,
2018-01-02,380.6338256570841,380.6338256570841,
2018-01-03,380.5862360853118,380.5862360853118,
2018-01-04,380.53687000692923,380.53687000692923,
2018-01-05,380.4902449964891,380.4902449964891,
2018-01-06,380.4445786428704,380.4445786428704,
2018-01-07,380.39624940495804,380.39624940495804,
2018-01-08,380.35100499630505,380.35100499630505,
2018-01-09,380.30954958783127,380.30954958783127,
2018-01-10,380.2734256899214,380.2734256899214,
2018-01-11,380.21971622497165,380.21971622497165,
2018-01-12,386.5812590186204,386.5812590186204,
2018-01-13,381.0004398512812,381.0004398512812,
2018-01-14,380.54464291078597,380.54464291078597,
2018-01-15,380.33152790114195,380.33152790114195,
2018-01-16,380.1912492490873,380.1912492490873,
2018-01-17,380.1236035835718,380.1236035835718,
2018-01-18,380.0675048790047,380.0675048790047,2.1825608790046545
2018-01-19,380.9615114001272,380.9615114001272,3.0857114001271952
2018-01-20,381.0906425767156,381.0906425767156,3.2239865767156175
2018-01-21,380.5216490749105,380.5216490749105,2.6610890749104783
2018-01-22,380.22748886594366,380.22748886594366,2.2754888659436574
2018-01-23,412.32101839630735,412.32101839630735,34.21966639630733
2018-01-24,388.3437336811481,388.3437336811481,10.342965681148087
2018-01-25,384.5535743586097,384.5535743586097,6.625958358609694
2018-01-26,383.67900205251783,383.67900205251783,5.742242052517838
2018-01-27,383.4062450846659,383.4062450846659,5.167733084665883
2018-01-28,382.5826628728823,382.5826628728823,4.203942872882294
2018-01-29,382.47874537736294,382.47874537736294,4.200609377362923
2018-01-30,382.1944809483479,382.1944809483479,4.0596009483479065
2018-01-31,382.122079059562,382.122079059562,4.096927059562006
2018-02-01,381.8595403640511,381.8595403640511,3.8923003640510956
2018-02-02,381.3424722355881,381.3424722355881,3.4179042355880824
2018-02-03,381.2627790269263,381.2627790269263,3.3778350269262774
2018-02-04,380.987981455835,380.987981455835,3.1365654558350116
2018-02-05,380.9216313278316,380.9216313278316,3.0885033278316314
2018-02-06,380.86422433531067,380.86422433531067,3.0463363353106843
2018-02-07,380.774200179091,380.774200179091,2.968504179090985
2018-02-08,380.64038589467947,380.64038589467947,2.8499298946794624
2018-02-09,380.58016800853727,380.58016800853727,2.801904008537292
2018-02-10,380.398438879215,380.398438879215,2.632366879214999
2018-02-11,380.22728296338875,380.22728296338875,2.4734029633887644
2018-02-12,380.16697411489014,380.16697411489014,2.4283341148901627
2018-02-13,380.1095644776656,380.1095644776656,2.383116477665567
2018-02-14,380.0659818159571,380.0659818159571,2.3456298159571247
2018-02-15,380.1907091267535,380.1907091267535,2.4490211267535074
2018-02-16,380.08963605961094,380.08963605961094,2.229076059610918
2018-02-17,379.7597502943975,379.7597502943975,1.8565182943975174
2018-02-18,379.67831548777775,379.67831548777775,1.8909074877777243
2018-02-19,379.8985467952452,379.8985467952452,2.0288427952451684
2018-02-20,379.7301509852265,379.7301509852265,1.8360629852264765
2018-02-21,379.51291027597614,379.51291027597614,1.719406275976155
2018-02-22,379.5130014242664,379.5130014242664,1.7469294242663977
2018-02-23,379.4258556578474,379.4258556578474,1.6750236578474187
2018-02-24,379.3692544309708,379.3692544309708,1.6367104309707656
2018-02-25,381.79225672821366,381.79225672821366,4.084096728213638
2018-02-26,379.79364196796416,379.79364196796416,2.1037699679641833
2018-02-27,387.9459148401415,387.9459148401415,10.128026840141501
2018-02-28,383.9033290418205,383.9033290418205,5.302105041820482
2018-03-01,381.23503794071,381.23503794071,1.573109940710026
2018-03-02,380.7000178729222,380.7000178729222,0.5382178729221891
2018-03-03,380.0380304698874,380.0380304698874,-0.480385530112585
2018-03-04,379.61496649786284,379.61496649786284,-1.2204415021371346
2018-03-05,380.0554936364285,380.0554936364285,-0.8622103635715348
2018-03-06,379.387898871424,379.387898871424,-1.4078851285760265
2018-03-07,379.33513003177967,379.33513003177967,-1.3295899682203185
2018-03-08,379.23131744401724,379.23131744401724,-1.2992905559827364
2018-03-09,379.1819543815681,379.1819543815681,-1.2114936184318594
2018-03-10,380.6755776782767,380.6755776782767,0.4314816782766684
2018-03-11,380.0333699864948,380.0333699864948,-0.06442201350523646
2018-03-12,380.0645423010067,380.0645423010067,0.11000630100670605
2018-03-13,379.5577973818827,379.5577973818827,-0.26262661811728094
2018-03-14,379.26230119913106,379.26230119913106,-0.41486680086893557
2018-03-15,379.0613181409889,379.0613181409889,-0.5305058590111003
2018-03-16,378.93430207921494,378.93430207921494,-0.7062899207850819
2018-03-17,378.8850248708669,378.8850248708669,-0.7921431291330805
2018-03-18,378.8359301050377,378.8359301050377,-1.3106298949623465
2018-03-19,378.7819881872017,378.7819881872017,-1.6968038127982936
2018-03-20,378.7258839488207,378.7258839488207,-1.832156051179311
2018-03-21,378.67341754439326,378.67341754439326,-1.8236624556067227
2018-03-22,378.62555602191617,378.62555602191617,-1.8379959780838249
2018-03-23,378.5758591923714,378.5758591923714,-1.8785488076285901
2018-03-24,378.5251264864213,378.5251264864213,-1.8469855135787157
2018-03-25,378.4734008124393,378.4734008124393,-1.8042231875606944
2018-03-26,378.4275900877981,378.4275900877981,-1.7860259122019215
2018-03-27,388.6618288201476,388.6618288201476,8.44211682014759
2018-03-28,382.6030600707111,382.6030600707111,2.4229720707110687
2018-03-29,380.0074986477063,380.0074986477063,-0.14210935229368715
2018-03-30,379.6114149484442,379.6114149484442,-0.4467530515558451
2018-03-31,379.3010966671655,379.3010966671655,-0.65953533283448
2018-04-01,380.0199635212726,380.0199635212726,0.16296352127255886
2018-04-02,379.07749539899856,379.07749539899856,-0.6728246010014232
2018-04-03,378.8948699534291,378.8948699534291,-0.7457220465709042
2018-04-04,378.7373428353409,378.7373428353409,-0.7874251646591119
2018-04-05,378.71008139672307,378.71008139672307,-0.7293426032769048
2018-04-06,388.00547167328045,388.00547167328045,8.614815673280475
2018-04-07,381.21206928526107,381.21206928526107,1.906757285261051
2018-04-08,380.2285448754564,380.2285448754564,0.9994328754564208
2018-04-09,379.7557211591802,379.7557211591802,0.5936651591802047
2018-04-10,379.72036932347584,379.72036932347584,0.582697323475827
2018-04-11,379.2550630068034,379.2550630068034,0.14787100680342746
2018-04-12,380.51390379795015,380.51390379795015,1.248215797950138
2018-04-13,379.1047169312523,379.1047169312523,-0.490155068747697
2018-04-14,402.69581565230305,402.69581565230305,22.281031652303056
2018-04-15,410.43325242868104,410.43325242868104,29.81730042868105
2018-04-16,386.7010233507167,386.7010233507167,6.085071350716703
2018-04-17,388.6809951163706,388.6809951163706,8.061995116370554
2018-04-18,388.6432346881482,388.6432346881482,7.948034688148198
2018-04-19,387.75858577078725,387.75858577078725,7.072529770787241
2018-04-20,391.7873572033928,391.7873572033928,10.921469203392803
2018-04-21,385.3478055203512,385.3478055203512,4.18321352035116
2018-04-22,383.79130923913885,383.79130923913885,2.321917239138827
2018-04-23,383.20164680947767,383.20164680947767,1.6194788094776413
2018-04-24,382.78589865588106,382.78589865588106,1.2220186558810724
2018-04-25,382.6360257274888,382.6360257274888,1.11176972748882
2018-04-26,382.4645481226305,382.4645481226305,0.9616281226304864
2018-04-27,382.04776519437314,382.04776519437314,0.5661811943731436
2018-04-28,381.8638919147942,381.8638919147942,0.41583591479417237
2018-04-29,381.67580001813036,381.67580001813036,0.23993601813037913
2018-04-30,381.0003907959923,381.0003907959923,-0.42328120400770786
2018-05-01,380.5900334327307,380.5900334327307,-0.8123025672692847
2018-05-02,380.59006565978444,380.59006565978444,-1.0225823402155356
2018-05-03,382.3344886098789,382.3344886098789,0.7797526098789263
2018-05-04,393.29093373334507,393.29093373334507,11.519789733345078
2018-05-05,410.92062817214446,410.92062817214446,29.237876172144468
2018-05-06,386.9829851245206,386.9829851245206,5.361193124520582
2018-05-07,384.43150984307175,384.43150984307175,2.8462938430717486
2018-05-08,383.0555685397246,383.0555685397246,1.494736539724613
2018-05-09,382.65421479033614,382.65421479033614,1.0598547903361464
2018-05-10,392.53282675459263,392.53282675459263,10.971994754592629
2018-05-11,384.0982897326259,384.0982897326259,2.3088577326259383
2018-05-12,423.2189744271352,423.2189744271352,41.40820642713521
2018-05-13,411.74587084339015,411.74587084339015,29.993014843390142
2018-05-14,393.0021686681675,393.0021686681675,11.304176668167486
2018-05-15,393.52935253898085,393.52935253898085,11.861840538980857
2018-05-16,388.6015804124953,388.6015804124953,6.979788412495282
2018-05-17,387.13323357348565,387.13323357348565,5.53887357348566
2018-05-18,386.2953862394305,386.2953862394305,4.716266239430524
2018-05-19,385.65724751732836,385.65724751732836,4.093367517328375
2018-05-20,385.35207073707045,385.35207073707045,3.803430737070471
2018-05-21,384.9835662901097,384.9835662901097,3.441022290109686
2018-05-22,384.907091780507,384.907091780507,3.3736917805070448
2018-05-23,384.3388253600625,384.3388253600625,2.820665360062492
2018-05-24,384.0087943549578,384.0087943549578,2.5058743549577684
2018-05-25,383.7509668922973,383.7509668922973,2.257190892297274
2018-05-26,383.5707825484475,383.5707825484475,2.077006548447457
2018-05-27,383.75219918555706,383.75219918555706,2.2889031855570465
2018-05-28,383.26187705304784,383.26187705304784,1.8229650530478239
2018-05-29,382.78558947984874,382.78558947984874,1.37106147984872
2018-05-30,382.5694314741171,382.5694314741171,1.1640474741170692
2018-05-31,382.87702358859923,382.87702358859923,1.4990715885992358
2018-06-01,382.81439712425924,382.81439712425924,1.473021124259219
2018-06-02,381.96249481650494,381.96249481650494,0.6515988165049293
2018-06-03,381.6782257999025,381.6782257999025,0.4008577999024965
2018-06-04,381.41086965642717,381.41086965642717,0.17007765642716777
2018-06-05,381.0082914336692,381.0082914336692,-0.19592456633074562
2018-06-06,380.53851429866165,380.53851429866165,-0.6291257013383529
2018-06-07,380.04633588765694,380.04633588765694,-1.0847281123430434
2018-06-08,379.8154706408826,379.8154706408826,-1.30644935911738
2018-06-09,382.1955912238992,382.1955912238992,1.0858632238991959
2018-06-10,401.3126459166984,401.3126459166984,20.181581916698406
2018-06-11,393.7654732215252,393.7654732215252,12.664889221525186
2018-06-12,385.1447263731967,385.1447263731967,4.086814373196717
2018-06-13,384.09793572183247,384.09793572183247,3.0857437218324435
2018-06-14,383.3993814291661,383.3993814291661,2.429861429166124
2018-06-15,382.7813898577988,382.7813898577988,1.854541857798779
2018-06-16,381.99414170803914,381.99414170803914,1.1191097080391614
