from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1,is_conduit
261.0,521.0,558438.350473112,4868247.079644086,0.0,558421.6838064453,4868263.746310753,0.0,True
521.0,522.0,558421.6838064453,4868263.746310753,0.0,558405.0171397786,4868280.412977419,0.0,True
522.0,523.0,558405.0171397786,4868280.412977419,0.0,558388.350473112,4868297.079644086,0.0,True
523.0,524.0,558388.350473112,4868297.079644086,0.0,558371.6838064453,4868313.746310753,0.0,True
524.0,525.0,558371.6838064453,4868313.746310753,0.0,558355.0171397786,4868330.412977419,0.0,True
525.0,287.0,558355.0171397786,4868330.412977419,0.0,558338.350473112,4868347.079644086,0.0,True
409.0,545.0,558038.350473112,4868947.079644086,0.0,558038.350473112,4868972.079644086,0.0,True
545.0,546.0,558038.350473112,4868972.079644086,0.0,558038.350473112,4868997.079644086,0.0,True
546.0,547.0,558038.350473112,4868997.079644086,0.0,558038.350473112,4869022.079644086,0.0,True
547.0,423.0,558038.350473112,4869022.079644086,0.0,558038.350473112,4869047.079644086,0.0,True
335.0,551.0,558238.350473112,4868547.079644086,0.0,558238.350473112,4868572.079644086,0.0,True
551.0,552.0,558238.350473112,4868572.079644086,0.0,558238.350473112,4868597.079644086,0.0,True
552.0,553.0,558238.350473112,4868597.079644086,0.0,558238.350473112,4868622.079644086,0.0,True
553.0,357.0,558238.350473112,4868622.079644086,0.0,558238.350473112,4868647.079644086,0.0,True
273.0,571.0,559638.350473112,4868247.079644086,0.0,559663.350473112,4868247.079644086,0.0,True
571.0,572.0,559663.350473112,4868247.079644086,0.0,559688.350473112,4868247.079644086,0.0,True
572.0,573.0,559688.350473112,4868247.079644086,0.0,559713.350473112,4868247.079644086,0.0,True
573.0,274.0,559713.350473112,4868247.079644086,0.0,559738.350473112,4868247.079644086,0.0,True
345.0,728.0,559238.350473112,4868547.079644086,0.0,559263.350473112,4868547.079644086,0.0,True
728.0,729.0,559263.350473112,4868547.079644086,0.0,559288.350473112,4868547.079644086,0.0,True
729.0,730.0,559288.350473112,4868547.079644086,0.0,559313.350473112,4868547.079644086,0.0,True
730.0,346.0,559313.350473112,4868547.079644086,0.0,559338.350473112,4868547.079644086,0.0,True
19.0,852.0,558438.350473112,4867347.079644086,0.0,558438.350473112,4867372.079644086,0.0,True
852.0,853.0,558438.350473112,4867372.079644086,0.0,558438.350473112,4867397.079644086,0.0,True
853.0,854.0,558438.350473112,4867397.079644086,0.0,558438.350473112,4867422.079644086,0.0,True
854.0,40.0,558438.350473112,4867422.079644086,0.0,558438.350473112,4867447.079644086,0.0,True
299.0,863.0,559538.350473112,4868347.079644086,0.0,559521.6838064453,4868363.746310753,0.0,True
863.0,864.0,559521.6838064453,4868363.746310753,0.0,559505.0171397786,4868380.412977419,0.0,True
864.0,865.0,559505.0171397786,4868380.412977419,0.0,559488.350473112,4868397.079644086,0.0,True
865.0,866.0,559488.350473112,4868397.079644086,0.0,559471.6838064453,4868413.746310753,0.0,True
866.0,867.0,559471.6838064453,4868413.746310753,0.0,559455.0171397786,4868430.412977419,0.0,True
867.0,323.0,559455.0171397786,4868430.412977419,0.0,559438.350473112,4868447.079644086,0.0,True
