id,y,x,type
0,4868553.0,557821.0,inlet
1,4868590.964098463,557812.5931836221,junction
2,4868609.629521607,557808.1548108739,junction
3,4868614.558832623,557806.2348707021,junction
4,4868633.787497052,557802.0427373365,junction
5,4868657.7204226535,557796.3106648558,junction
6,4868682.171451173,557793.1739780507,junction
7,4868705.4001006475,557790.5895909673,junction
8,4868728.148817089,557787.2085778562,junction
9,4868754.423358667,557784.5463733078,junction
10,4868778.805180105,557782.338832425,junction
11,4868790.611466974,557781.7855135046,junction
12,4868809.568890412,557781.5291104672,junction
13,4868835.103181055,557781.6383968054,junction
14,4868838.739642581,557782.17884031,junction
15,4868860.179964359,557783.3168889511,junction
16,4868885.120616181,557782.0847952013,junction
17,4868891.759244168,557781.8445675592,junction
18,4868910.950835152,557781.086529689,junction
19,4868935.950835152,557780.1350375634,junction
20,4868960.92548873,557779.2564569245,junction
21,4868977.257537022,557778.5214988625,junction
22,4869011.0006834455,557777.8109910877,junction
23,4869026.469581935,557777.8826648474,junction
24,4869060.890124778,557777.0647986846,junction
25,4869085.88072272,557776.2640071491,junction
26,4869110.901663562,557775.5423621056,junction
27,4869135.892381018,557774.7147319787,junction
28,4869171.036517662,557770.5981812202,junction
29,4869194.9226627415,557769.7561677665,junction
30,4869219.498447083,557769.512539835,junction
31,4869244.334918148,557769.4567609549,junction
32,4869269.263970064,557769.4365036562,junction
33,4869310.88072272,557769.40655525,junction
34,4869331.298182229,557762.739689885,junction
35,4869358.410357668,557754.4199779398,junction
36,4869381.293345452,557747.1117514654,junction
37,4869403.800339442,557739.9508021259,junction
38,4869426.073485944,557732.9684653077,junction
39,4869435.459124879,557730.0615650136,junction
40,4869457.725242027,557723.4741470517,junction
41,4869480.076053233,557717.0777995451,junction
42,4869503.831870949,557709.6437920942,junction
43,4869525.983238553,557703.9284263008,junction
44,4869553.0,557689.0,outfall
45,4867843.0,558333.0,inlet
46,4867851.99895748,558328.5642732423,junction
47,4867875.257375639,558317.4428941356,junction
48,4867906.348094117,558305.9346630864,junction
49,4867927.261876398,558299.4338295069,junction
50,4867949.155878579,558290.6347407176,junction
51,4867968.22232819,558279.5424746495,junction
52,4867976.630992632,558278.4560473681,junction
53,4867996.2348431805,558255.2532370951,junction
54,4868001.16147595,558246.6943031701,junction
55,4868019.988315805,558229.5218425478,junction
56,4868023.582522605,558220.3574815041,junction
57,4868029.078351449,558206.675722482,junction
58,4868047.11630763,558181.190942942,junction
59,4868056.680786454,558178.6100107398,junction
60,4868081.897708483,558175.3822046503,junction
61,4868102.983423371,558173.6583916347,junction
62,4868124.004282829,558172.514798177,junction
63,4868153.624963105,558168.439687616,junction
64,4868179.847554962,558158.6882211051,junction
65,4868187.948475461,558155.9319063893,junction
66,4868198.401368977,558154.1238319381,junction
67,4868223.738793124,558146.4913907744,junction
68,4868252.429692205,558141.1175346182,junction
69,4868275.038460948,558139.5498456454,junction
70,4868300.989624404,558138.7668390028,junction
71,4868325.211092056,558138.0631715955,junction
72,4868349.958366424,558123.6013664221,junction
73,4868377.179164844,558111.9166830005,junction
74,4868399.658787481,558106.7285426036,junction
