datetime,"557091, 4867265",total,error
2018-01-01,377.0973504206875,377.0973504206875,
2018-01-02,377.05293917499995,377.05293917499995,
2018-01-03,377.00662625825623,377.00662625825623,
2018-01-04,376.95796487200323,376.95796487200323,
2018-01-05,376.91642797629174,376.91642797629174,
2018-01-06,376.8708910464784,376.8708910464784,
2018-01-07,376.8253588495713,376.8253588495713,
2018-01-08,376.7884039966225,376.7884039966225,
2018-01-09,376.7485932470618,376.7485932470618,
2018-01-10,376.71308460006514,376.71308460006514,
2018-01-11,376.6663400160832,376.6663400160832,
2018-01-12,382.2754207728252,382.2754207728252,
2018-01-13,377.3991462902678,377.3991462902678,
2018-01-14,376.9718904405217,376.9718904405217,
2018-01-15,376.7689033225356,376.7689033225356,
2018-01-16,376.6383393507617,376.6383393507617,
2018-01-17,376.5712538390849,376.5712538390849,
2018-01-18,376.5202306514049,376.5202306514049,-1.364713348595103
2018-01-19,377.3616415697706,377.3616415697706,-0.5141584302294291
2018-01-20,377.48151555171546,377.48151555171546,-0.3851404482845169
2018-01-21,376.9481395645936,376.9481395645936,-0.9124204354064318
2018-01-22,376.67461703641277,376.67461703641277,-1.277382963587229
2018-01-23,390.4353864485763,390.4353864485763,12.33403444857629
2018-01-24,383.0085454735259,383.0085454735259,5.007777473525891
2018-01-25,380.79427064979444,380.79427064979444,2.866654649794441
2018-01-26,379.95689560758217,379.95689560758217,2.0201356075821764
2018-01-27,379.67598372565124,379.67598372565124,1.4374717256512213
2018-01-28,378.8090978003381,378.8090978003381,0.43037780033813533
2018-01-29,378.719600139633,378.719600139633,0.4414641396329557
2018-01-30,378.47145128581354,378.47145128581354,0.3365712858135339
2018-01-31,378.4054971916959,378.4054971916959,0.38034519169588066
2018-02-01,378.18293724977343,378.18293724977343,0.2156972497734273
2018-02-02,377.721850307163,377.721850307163,-0.20271769283704089
2018-02-03,377.64814757511806,377.64814757511806,-0.23679642488195896
2018-02-04,377.39100485677614,377.39100485677614,-0.4604111432238369
2018-02-05,377.32669135691253,377.32669135691253,-0.5064366430874543
2018-02-06,377.26476539369213,377.26476539369213,-0.553122606307852
2018-02-07,377.187910086869,377.187910086869,-0.6177859131310015
2018-02-08,377.06008839129777,377.06008839129777,-0.7303676087022382
2018-02-09,377.0051039337692,377.0051039337692,-0.7731600662307869
2018-02-10,376.8317749429082,376.8317749429082,-0.9342970570917828
2018-02-11,376.6725518630029,376.6725518630029,-1.0813281369970582
2018-02-12,376.61411688990904,376.61411688990904,-1.1245231100909336
2018-02-13,376.55680714565017,376.55680714565017,-1.1696408543498364
2018-02-14,376.51676738913915,376.51676738913915,-1.203584610860844
2018-02-15,376.6321976899126,376.6321976899126,-1.1094903100874376
2018-02-16,376.535351508314,376.535351508314,-1.3252084916859985
2018-02-17,376.2322816773031,376.2322816773031,-1.6709503226969105
2018-02-18,376.1515539179887,376.1515539179887,-1.635854082011349
2018-02-19,376.3576311923734,376.3576311923734,-1.5120728076266232
2018-02-20,376.2030241323085,376.2030241323085,-1.6910638676915255
2018-02-21,375.9970632613841,375.9970632613841,-1.7964407386158996
2018-02-22,375.99707277781187,375.99707277781187,-1.7689992221881425
2018-02-23,375.9109658087331,375.9109658087331,-1.8398661912668786
2018-02-24,375.8575833324851,375.8575833324851,-1.8749606675149266
2018-02-25,378.1243380685571,378.1243380685571,0.4161780685570875
2018-02-26,376.26179511458145,376.26179511458145,-1.428076885418534
2018-02-27,382.84840790545326,382.84840790545326,5.030519905453275
2018-02-28,380.17470433132615,380.17470433132615,1.5734803313261523
2018-03-01,377.62543256966944,377.62543256966944,-2.0364954303305467
2018-03-02,377.11431178366655,377.11431178366655,-3.047488216333477
2018-03-03,376.49332517031166,376.49332517031166,-4.025090829688338
2018-03-04,376.09835136918963,376.09835136918963,-4.7370566308103434
2018-03-05,376.5045301004824,376.5045301004824,-4.413173899517631
2018-03-06,375.8708163302098,375.8708163302098,-4.924967669790249
2018-03-07,375.82057789219516,375.82057789219516,-4.844142107804828
2018-03-08,375.72712919109534,375.72712919109534,-4.803478808904629
2018-03-09,375.6764693997116,375.6764693997116,-4.716978600288371
2018-03-10,377.0933964861757,377.0933964861757,-3.150699513824293
2018-03-11,376.4927910544076,376.4927910544076,-3.605000945592451
2018-03-12,376.51444408377927,376.51444408377927,-3.4400919162207515
2018-03-13,376.0377627966621,376.0377627966621,-3.7826612033379092
2018-03-14,375.7537249480668,375.7537249480668,-3.923443051933191
2018-03-15,375.56874786759823,375.56874786759823,-4.023076132401741
2018-03-16,375.4405077801666,375.4405077801666,-4.2000842198334
2018-03-17,375.3908365640399,375.3908365640399,-4.286331435960108
2018-03-18,375.34494375972463,375.34494375972463,-4.8016162402753935
2018-03-19,375.28957536391437,375.28957536391437,-5.189216636085632
2018-03-20,375.2409646093744,375.2409646093744,-5.317075390625632
2018-03-21,375.18160890894796,375.18160890894796,-5.315471091052018
2018-03-22,375.14292502301316,375.14292502301316,-5.32062697698683
2018-03-23,375.0980089811261,375.0980089811261,-5.356399018873901
2018-03-24,375.0488113672068,375.0488113672068,-5.323300632793234
2018-03-25,374.9951237447997,374.9951237447997,-5.282500255200318
2018-03-26,374.94975567071776,374.94975567071776,-5.263860329282238
2018-03-27,383.1313186443431,383.1313186443431,2.911606644343067
2018-03-28,378.83517334665623,378.83517334665623,-1.3449146533437784
2018-03-29,376.4613286309596,376.4613286309596,-3.6882793690404014
2018-03-30,376.0929777857675,376.0929777857675,-3.965190214232507
2018-03-31,375.7915110096538,375.7915110096538,-4.169120990346187
2018-04-01,376.4755517983865,376.4755517983865,-3.381448201613523
2018-04-02,375.57744534494594,375.57744534494594,-4.172874655054045
2018-04-03,375.40685144254167,375.40685144254167,-4.233740557458361
2018-04-04,375.25157180285584,375.25157180285584,-4.273196197144159
2018-04-05,375.2239265320253,375.2239265320253,-4.2154974679746715
2018-04-06,382.8753427366714,382.8753427366714,3.484686736671449
2018-04-07,377.6012747220395,377.6012747220395,-1.7040372779605377
2018-04-08,376.6698050300634,376.6698050300634,-2.5593069699365856
2018-04-09,376.22843369430734,376.22843369430734,-2.9336223056926656
2018-04-10,376.18910159723805,376.18910159723805,-2.948570402761959
2018-04-11,375.75335949570075,375.75335949570075,-3.3538325042992483
2018-04-12,376.9365567332659,376.9365567332659,-2.329131266734123
2018-04-13,375.60413311297873,375.60413311297873,-3.99073888702128
2018-04-14,387.5618141392294,387.5618141392294,7.1470301392294004
2018-04-15,389.86936507755144,389.86936507755144,9.253413077551443
