datetime,"557714, 4869606","557689, 4869553",total,error
2018-01-01,933.7473110373539,-0.0,933.7473110373539,-574.0355031626461
2018-01-02,923.3251463099441,-0.0,923.3251463099441,-563.4273372900559
2018-01-03,912.9549801875546,-0.0,912.9549801875546,-569.2566533124455
2018-01-04,901.3666486975562,-0.0,901.3666486975562,-579.8996617024438
2018-01-05,892.2759064669954,-0.0,892.2759064669954,-443.496688256409
2018-01-06,882.021991963571,-0.0,882.021991963571,-360.1926400364289
2018-01-07,871.5187247191934,-0.0,871.5187247191934,-378.24905378080666
2018-01-08,863.7996206354146,-0.0,863.7996206354146,-371.8351185645854
2018-01-09,854.1134169315046,-0.0,854.1134169315046,-381.5213222684954
2018-01-10,845.843629870782,-0.0,845.843629870782,-394.78626862921806
2018-01-11,835.2561858064,-0.0,835.2561858064,-421.9139720936
2018-01-12,2088.832450747097,974.0648468218424,3062.8972975689394,1826.4400717689393
2018-01-13,1001.7122592094529,-0.0,1001.7122592094529,-233.92247999054712
2018-01-14,905.4416834258009,-0.0,905.4416834258009,-331.0155423741992
2018-01-15,858.7647041863238,-0.0,858.7647041863238,-375.3149178136762
2018-01-16,829.1114416982891,-0.0,829.1114416982891,-405.73076290171093
2018-01-17,813.7613143735653,-0.0,813.7613143735653,-421.90337682643485
2018-01-18,802.2336865507095,-0.0,802.2336865507095,-434.2534912492904
2018-01-19,993.7289884560014,-0.0,993.7289884560014,-240.35063354399858
2018-01-20,1020.4180839489418,-0.0,1020.4180839489418,-215.21665525105823
2018-01-21,900.1009199448017,-0.0,900.1009199448017,-307.0025736551984
2018-01-22,837.9349899544613,-0.0,837.9349899544613,-472.7604107455388
2018-01-23,5128.52351132888,4049.2823886871192,9177.805900016,7968.295198016
2018-01-24,2348.3205479314493,1236.6051997639006,3584.92574769535,2402.39082669535
2018-01-25,1713.0726749843016,593.8973360073142,2306.9700109916157,1146.6260587916156
2018-01-26,1536.1197971607617,414.86782736233727,1950.987624523099,662.802790723099
2018-01-27,1478.341213997919,356.4141671024845,1834.7553811004036,481.5726958004036
2018-01-28,1300.2829472856101,176.2942879118782,1476.5772351974883,165.27372879748827
