id,y,x,type
0,4869122.0,558028.0,inlet
1,4869127.392792055,558025.013042198,junction
2,4869150.044038552,558012.5129635134,junction
3,4869161.874143596,558006.00729728,junction
4,4869181.063307168,557995.5461850854,junction
5,4869202.660931227,557983.6581492716,junction
6,4869210.952573037,557979.1025863612,junction
7,4869227.018625076,557970.3960043245,junction
8,4869249.2304118695,557958.3193008543,junction
9,4869256.702109893,557954.1102112543,junction
10,4869274.6583682485,557943.9973878218,junction
11,4869298.021934469,557930.4568337008,junction
12,4869304.910529599,557926.4510290307,junction
13,4869323.473179392,557915.2926781775,junction
14,4869338.492021666,557906.244156411,junction
15,4869353.856464523,557896.9956862831,junction
16,4869375.517430963,557883.5712164528,junction
17,4869383.595149645,557878.4166943171,junction
18,4869401.203461545,557865.8350449646,junction
19,4869411.999280854,557854.2412709031,junction
20,4869429.480391855,557824.7313851515,junction
21,4869450.747068344,557806.8041314482,junction
22,4869467.904979959,557772.025666164,junction
23,4869477.901212097,557763.1091290709,junction
24,4869493.030950257,557751.0356902973,junction
25,4869498.708442328,557747.1417302594,junction
26,4869524.448203383,557724.6513567078,junction
27,4869553.0,557689.0,outfall
28,4868871.0,558115.0,inlet
29,4868879.691253221,558108.858914296,junction
30,4868892.5197015,558100.005115085,junction
31,4868901.4907252565,558093.7363744566,junction
32,4868922.059096916,558080.2577091344,junction
33,4868926.397569022,558077.6990077586,junction
34,4868950.947597825,558061.9357916799,junction
35,4868962.548168829,558055.1453432747,junction
36,4868974.741731848,558047.5329650522,junction
37,4869002.692665802,558031.1265711329,junction
38,4869026.769328223,558013.992114702,junction
39,4869038.299931384,558002.9322871509,junction
40,4869049.053875972,557990.929161971,junction
41,4869057.204805512,557980.4524139914,junction
42,4869076.651704641,557965.9749074398,junction
43,4869096.4153436795,557956.0150592313,junction
44,4869103.495538538,557953.5223465242,junction
45,4869124.441112898,557943.3557046782,junction
46,4869153.267768356,557929.5563868298,junction
47,4869173.84913138,557919.5510671653,junction
48,4869202.347361399,557905.7316556379,junction
49,4869229.635770451,557891.7959203146,junction
50,4869249.298577309,557881.4282684103,junction
51,4869273.752521789,557868.9973326526,junction
52,4869301.777017157,557854.4806892966,junction
53,4869328.333520296,557840.772071319,junction
54,4869350.86159474,557829.264493943,junction
55,4869378.9181289505,557814.387312365,junction
56,4869391.7050593505,557806.8528214918,junction
57,4869400.439170403,557797.8213795822,junction
58,4869420.853019375,557777.9077275117,junction
59,4869432.86170229,557776.5766885518,junction
60,4869449.569252086,557755.2925628592,junction
61,4869499.84155164,557729.1013567325,junction
62,4869540.895747984,557706.6643423091,junction
63,4867282.0,558721.0,inlet
64,4867294.563508071,558701.9357796428,junction
65,4867299.2139619235,558695.3161589412,junction
66,4867310.954279567,558677.3244940755,junction
67,4867327.200164582,558655.8469272095,junction
68,4867362.089862348,558630.7244986972,junction
