datetime,"557714, 4869606","557689, 4869553",total,error
2018-01-01,828.5682722097554,-0.0,828.5682722097554,-679.2145419902447
2018-01-02,817.9856935660791,-0.0,817.9856935660791,-668.7667900339209
2018-01-03,809.4945713994384,-0.0,809.4945713994384,-672.7170621005616
2018-01-04,799.319086893418,-0.0,799.319086893418,-681.9472235065821
2018-01-05,791.1847415777447,-0.0,791.1847415777447,-544.5878531456597
2018-01-06,780.8984533131443,-0.0,780.8984533131443,-461.31617868685566
2018-01-07,771.4565360487031,-0.0,771.4565360487031,-478.31124245129695
2018-01-08,762.7125950946938,-0.0,762.7125950946938,-472.9221441053062
2018-01-09,753.4984071393555,-0.0,753.4984071393555,-482.13633206064446
2018-01-10,746.0979817733023,-0.0,746.0979817733023,-494.5319167266978
2018-01-11,736.7237772983499,-0.0,736.7237772983499,-520.4463806016502
2018-01-12,1956.63531872959,872.2831202718662,2828.918439001456,1592.461213201456
2018-01-13,892.9319145491027,-0.0,892.9319145491027,-342.70282465089736
2018-01-14,802.6138791123958,-0.0,802.6138791123958,-433.84334668760425
2018-01-15,759.5247634167608,-0.0,759.5247634167608,-474.55485858323914
2018-01-16,731.2960483506176,-0.0,731.2960483506176,-503.5461562493824
2018-01-17,717.1827438723267,-0.0,717.1827438723267,-518.4819473276734
2018-01-18,705.940621685033,-0.0,705.940621685033,-530.546556114967
2018-01-19,884.0178769453487,-0.0,884.0178769453487,-350.0617450546513
2018-01-20,910.0652826146834,-0.0,910.0652826146834,-325.56945658531663
2018-01-21,798.3918064859172,-0.0,798.3918064859172,-408.7116871140829
2018-01-22,738.8134490767698,-0.0,738.8134490767698,-571.8819516232304
2018-01-23,4833.656528913736,3789.4203206751117,8623.076849588848,7413.566147588848
2018-01-24,2231.559047531584,1151.0498248827207,3382.6088724143046,2200.0739514143047
2018-01-25,1589.3805673898023,499.9052593966626,2089.285826786465,928.9418745864648
2018-01-26,1418.9500827484735,327.10064321952814,1746.0507259680016,457.86589216800166
2018-01-27,1363.3493819429132,270.7283122606168,1634.07769420353,280.89500890352997
2018-01-28,1192.3596334197937,97.36765816694242,1289.727291586736,-21.57621481326396
2018-01-29,1174.2268166572467,78.98501022536948,1253.2118268826162,7.707248482616251
2018-01-30,1126.0437888165325,30.138332047892618,1156.182120864425,-88.560210635575
2018-01-31,1113.3244381745317,17.244344231206924,1130.5687824057386,-107.53341659426155
2018-02-01,1070.5625483837357,-0.0,1070.5625483837357,-168.39208921626437
2018-02-02,961.5031086005474,-0.0,961.5031086005474,-275.7766037994527
2018-02-03,942.4682521170762,-0.0,942.4682521170762,-293.1664870829238
2018-02-04,890.1562002002756,-0.0,890.1562002002756,-347.1537998997244
2018-02-05,876.1278582158411,-0.0,876.1278582158411,-362.79682738415886
2018-02-06,864.8813380120991,-0.0,864.8813380120991,-374.8658341879009
2018-02-07,847.4338980071043,-0.0,847.4338980071043,-418.63284539289566
2018-02-08,820.9476024905453,-0.0,820.9476024905453,-478.8410915094548
2018-02-09,809.3379501683521,-0.0,809.3379501683521,-504.43301603164787
2018-02-10,772.9430542561167,-0.0,772.9430542561167,-541.6503985438833
2018-02-11,738.8835336992342,-0.0,738.8835336992342,-610.6736654007657
2018-02-12,725.863665068202,-0.0,725.863665068202,-628.8101798317982
2018-02-13,714.2589376883989,-0.0,714.2589376883989,-673.7033926116012
2018-02-14,705.2894819124049,-0.0,705.2894819124049,-689.5869237875952
2018-02-15,730.4499225926993,-0.0,730.4499225926993,-682.7944877073007
2018-02-16,710.057312222707,-0.0,710.057312222707,-692.586282477293
2018-02-17,646.2675198848447,-0.0,646.2675198848447,-767.9841353151553
2018-02-18,628.4183625488658,-0.0,628.4183625488658,-800.7885251511343
2018-02-19,671.9917691444425,-0.0,671.9917691444425,-808.3911399555575
2018-02-20,640.1752312481403,-0.0,640.1752312481403,-788.9704024518596
2018-02-21,595.7047900115576,-0.0,595.7047900115576,-776.0892193884422
2018-02-22,595.7047967975959,-0.0,595.7047967975959,-718.1264091024041
2018-02-23,577.057497173766,-0.0,577.057497173766,-738.388729926234
2018-02-24,565.3893500356644,-0.0,565.3893500356644,-750.9096513643356
2018-02-25,1050.9995366555813,-0.0,1050.9995366555813,-257.0140233444188
2018-02-26,651.7309573537059,-0.0,651.7309573537059,-664.5983317462942
2018-02-27,2175.7814553754724,1094.4925851507724,3270.274040526245,1725.8302411262448
2018-02-28,1462.773783605604,371.53303055772267,1834.3068141633266,-377.98379693667357
2018-03-01,939.4835430572275,-0.0,939.4835430572275,-1978.6963370427725
2018-03-02,833.0725348742999,-0.0,833.0725348742999,-2038.7818945257004
2018-03-03,702.0879975672578,-0.0,702.0879975672578,-3057.6500756327423
2018-03-04,618.2571923872747,-0.0,618.2571923872747,-3616.579039512725
2018-03-05,705.8103482513106,-0.0,705.8103482513106,-2634.7388073486895
2018-03-06,569.2308331768581,-0.0,569.2308331768581,-2059.218607923142
2018-03-07,557.7748899044236,-0.0,557.7748899044236,-1874.8785026955766
2018-03-08,537.4004433551163,-0.0,537.4004433551163,-1808.1722756448835
2018-03-09,526.3660846702551,-0.0,526.3660846702551,-1745.2785661297448
2018-03-10,827.7130963953532,-0.0,827.7130963953532,-1534.3218439046468
2018-03-11,702.2279052036465,-0.0,702.2279052036465,-1672.7151104963536
2018-03-12,705.9308136232867,-0.0,705.9308136232867,-1663.6847861767133
2018-03-13,604.3517272975732,-0.0,604.3517272975732,-1782.528472602427
2018-03-14,543.6443636274489,-0.0,543.6443636274489,-2142.492532272551
2018-03-15,502.5930992481881,-0.0,502.5930992481881,-2435.936703351812
2018-03-16,476.34980781035847,-0.0,476.34980781035847,-2402.7735102896413
2018-03-17,466.4154328684526,-0.0,466.4154328684526,-2933.8107643315475
2018-03-18,456.6535526898224,-0.0,456.6535526898224,-4594.686563410178
2018-03-19,445.33087797963526,-0.0,445.33087797963526,-4436.623652720365
2018-03-20,434.3886358323798,-0.0,434.3886358323798,-3892.9400038676204
2018-03-21,422.8478353092505,-0.0,422.8478353092505,-3242.0470642907494
2018-03-22,413.7556096378539,-0.0,413.7556096378539,-3152.0379247621463
2018-03-23,402.9837139884039,-0.0,402.9837139884039,-3069.556259211596
2018-03-24,392.12934881600086,-0.0,392.12934881600086,-2810.1746110839995
2018-03-25,381.53118151232775,-0.0,381.53118151232775,-2644.6072265876724
2018-03-26,371.22020094328036,-0.0,371.22020094328036,-2676.01425125672
2018-03-27,2275.42746234723,1195.5314459682704,3470.9589083155006,252.0213284155002
2018-03-28,1195.4242868508736,100.47435163315095,1295.8986384840246,-2006.4634658159757
2018-03-29,695.5847480986704,-0.0,695.5847480986704,-2583.64188330133
2018-03-30,616.6329019364639,-0.0,616.6329019364639,-2513.247128263536
2018-03-31,551.6714803937939,-0.0,551.6714803937939,-2482.2170158062063
2018-04-01,700.6860722815763,-0.0,700.6860722815763,-2280.251710518424
2018-04-02,505.33792851128965,-0.0,505.33792851128965,-2393.5437888887104
2018-04-03,469.09762536724156,-0.0,469.09762536724156,-2388.2929886327584
2018-04-04,436.48306763415167,-0.0,436.48306763415167,-2372.4278745658485
2018-04-05,430.6766060213995,-0.0,430.6766060213995,-2341.547016978601
2018-04-06,2185.231421048069,1104.074704543571,3289.30612559164,526.0781528916395
2018-04-07,934.4490364158264,-0.0,934.4490364158264,-1911.2190649841737
2018-04-08,738.524513590397,-0.0,738.524513590397,-2090.0403496096033
2018-04-09,644.7224131201801,-0.0,644.7224131201801,-2106.53702747982
2018-04-10,636.2237835030683,-0.0,636.2237835030683,-2115.035657096932
2018-04-11,543.7848665347701,-0.0,543.7848665347701,-2287.9371345652303
2018-04-12,795.2832161457918,-0.0,795.2832161457918,-2716.764882354208
2018-04-13,511.7639961487439,-0.0,511.7639961487439,-3693.1163549512557
2018-04-14,3879.2221992617997,2821.7032619244565,6700.925461186256,2182.104654886256
2018-04-15,4649.545889079178,3602.748105887018,8252.293994966196,3953.539395866196
2018-04-16,1977.658425479065,893.6002769261395,2871.2587024052045,-1186.4633182947964
2018-04-17,2277.9012840747164,1198.0397732215497,3475.941057296266,-296.50761510373377
2018-04-18,2273.08360663896,1193.1548133316974,3466.2384199706576,23.199305570657543
2018-04-19,2149.52728405541,1067.871524884671,3217.398808940081,-58.49526105991936
2018-04-20,2687.2491221682867,1613.1101294179534,4300.35925158624,222.98084118624
2018-04-21,1738.9482337742666,651.5576532648847,2390.5058870391513,-6969.163533221901
2018-04-22,1440.2041373938991,348.6495355820807,1788.8536729759799,-11915.58903372402
2018-04-23,1320.8404812533408,227.62923739204416,1548.469718645385,-9777.100440054615
2018-04-24,1234.9205537429516,140.51623539115826,1375.4367891341099,-7205.653334665889
2018-04-25,1203.6911042740685,108.85514822366531,1312.5462524977338,-5959.316816102266
2018-04-26,1173.013787311589,77.75531679591222,1250.7691041075013,-5046.263042392499
2018-04-27,1101.6209798543423,5.380267374261166,1107.0012472286035,-4577.281748271397
2018-04-28,1070.9832501208148,-0.0,1070.9832501208148,-3981.8221658791854
2018-04-29,1027.2048296775756,-0.0,1027.2048296775756,-3624.6116424224247
2018-04-30,893.9510004231561,-0.0,893.9510004231561,-3478.764308076844
2018-05-01,811.14822251031,-0.0,811.14822251031,-3278.40989328969
2018-05-02,811.1484313554538,-0.0,811.1484313554538,-3197.658260844546
2018-05-03,1149.3305366324057,53.74570538826811,1203.0762420206738,-3065.363773179327
2018-05-04,2868.367542493608,1796.7590733115358,4665.126615805144,-5853.7481934948555
2018-05-05,4696.613218634608,3650.47020508851,8347.083423723117,-3774.8779033768824
