t, Q
10.0,0.018990384273475085
20.0,0.00418915271378443
30.0,0.0028831823837770975
40.0,0.0025173048406711535
50.0,0.002352363082399115
60.0,0.002266026025296709
70.0,0.0022170041546660728
80.0,0.0021867931381349616
90.0,0.0021661414069992146
100.0,0.0021541156041217304
110.0,0.0021516268520706486
120.0,0.002154994872314422
130.0,0.002099432216415152
140.0,0.0024808617447721767
150.0,0.01157728191169466
160.0,0.0243111367242162
170.0,0.03854191153599552
180.0,0.051092295853427935
190.0,0.05969485893665968
200.0,0.06838376438533976
210.0,0.0794040809989539
220.0,0.09022716681603472
230.0,0.09740022605657064
240.0,0.10114046120460976
250.0,0.10393558841007876
260.0,0.10704142757257824
270.0,0.11043623729417747
280.0,0.11361293651525076
290.0,0.11470221193881357
300.0,0.114232852412484
310.0,0.1141532803890365
320.0,0.1151092585596884
330.0,0.11600025582924006
340.0,0.11628112206491673
350.0,0.116495444102978
360.0,0.11697705957276965
370.0,0.11743859074599972
380.0,0.11763114118906905
390.0,0.11771156313651418
400.0,0.11785538663187275
410.0,0.11802397141974312
420.0,0.11812812764512434
430.0,0.11818774917687268
440.0,0.11825801070693134
450.0,0.11833764618227652
460.0,0.11839730379245943
470.0,0.11843381856105456
480.0,0.1184647668048784
490.0,0.1184961999378714
500.0,0.11852232809677314
510.0,0.11854086614353472
520.0,0.11855643209383082
530.0,0.11857203581330672
540.0,0.11858588837073308
550.0,0.11859615051806811
560.0,0.1186032109646398
570.0,0.11860908501237084
580.0,0.11861447841319844
590.0,0.11861920394450372
600.0,0.11862334605888816
610.0,0.11862714315075068
620.0,0.11863060562373556
630.0,0.1186333266836981
640.0,0.11863494244395437
650.0,0.118635836853177
660.0,0.11863653982379514
670.0,0.11863745640128784
680.0,0.11863857524566256
690.0,0.11863982453273408
700.0,0.11864090187621829
710.0,0.1186419235546063
720.0,0.11864238034692833
730.0,0.1186423037491816
740.0,0.11864209298025082
750.0,0.11864193635071088
760.0,0.11864207757956352
770.0,0.1186425248703602
780.0,0.1186430941872558
790.0,0.11864365939179436
800.0,0.11864407221242304
810.0,0.11864404558360088
820.0,0.1186437019774406
830.0,0.1186433718216596
840.0,0.11864307517597213
850.0,0.11864309149969916
860.0,0.1186434127593666
870.0,0.11864380563739656
880.0,0.118644213802012
890.0,0.11864444298141094
900.0,0.1186443201137104
910.0,0.11864396741011574
920.0,0.1186436452649718
930.0,0.11864335706352956
940.0,0.118643358008558
950.0,0.1186436343607746
960.0,0.11864395200325147
970.0,0.1186442923621953
980.0,0.11864447004195228
990.0,0.11864435389791946
1000.0,0.11864403273746683
1010.0,0.11864374561858892
1020.0,0.11864346868917292
1030.0,0.1186434371510426
1040.0,0.11864366377602392
1050.0,0.11864395793559644
1060.0,0.11864425441614539
1070.0,0.11864443523859396
1080.0,0.11864435597734244
1090.0,0.11864407754999384
1100.0,0.11864382273814177
1110.0,0.11864354883283516
1120.0,0.11864347765727976
1130.0,0.11864365037513434
1140.0,0.11864392055571583
1150.0,0.11864417800136262
1160.0,0.11864438267532766
1170.0,0.11864435625622378
1180.0,0.11864412648108538
1190.0,0.1186438959466696
1200.0,0.11864363961505428
1210.0,0.11864351391478278
1220.0,0.1186436160846166
1230.0,0.11864387110849446
1240.0,0.11864408659590898
1250.0,0.11864431318561452
1260.0,0.11864435301095128
1270.0,0.11864418285111124
1280.0,0.1186439547238396
1290.0,0.11864373410446576
1300.0,0.11864356236578942
1310.0,0.11864359486097052
1320.0,0.11864380073385213
1330.0,0.11864400521423989
1340.0,0.11864422663878305
1350.0,0.11864433203364916
1360.0,0.11864423632718309
1370.0,0.11864402213529716
1380.0,0.11864383873002043
1390.0,0.11864363531001729
1400.0,0.11864358653858914
1410.0,0.1186437264311826
1420.0,0.11864392266553336
1430.0,0.11864410949995716
1440.0,0.11864427904619917
1450.0,0.11864427962596748
1460.0,0.118644116830164
1470.0,0.11864393263313584
1480.0,0.1186437424329875
1490.0,0.1186436124227386
1500.0,0.11864365967246825
1510.0,0.11864383997202968
1520.0,0.11864400346366004
1530.0,0.1186441899338007
1540.0,0.11864427794870648
1550.0,0.11864419332239536
1560.0,0.11864401326125153
1570.0,0.11864386116050404
1580.0,0.11864368508398349
1590.0,0.11864363439198172
1600.0,0.11864374563997292
1610.0,0.11864391799230314
1620.0,0.11864407483927804
1630.0,0.11864422726055077
1640.0,0.11864424130008838
1650.0,0.11864411231273424
1660.0,0.11864395554537421
1670.0,0.11864380140243556
1680.0,0.11864366806635052
1690.0,0.1186436761321332
1700.0,0.1186438143772748
1710.0,0.1186439644466668
1720.0,0.118644119477443
1730.0,0.11864422981094176
1740.0,0.11864419642964204
1750.0,0.11864405313523514
1760.0,0.11864391633873632
1770.0,0.1186437657877548
1780.0,0.1186436723171208
1790.0,0.11864372145505314
1800.0,0.11864386800970673
1810.0,0.11864399674117287
1820.0,0.11864414231098593
1830.0,0.11864421865448509
1840.0,0.11864415725722856
1850.0,0.11864401517273065
1860.0,0.11864389001703037
1870.0,0.1186437490875604
1880.0,0.11864368639304008
1890.0,0.11864375684401152
1900.0,0.1186438955609457
1910.0,0.11864401742331535
1920.0,0.1186441505139211
