id,y,x,type
0,4869420.0,557959.0,inlet
1,4869427.377288907,557953.5430635298,junction
2,4869449.669126339,557936.8991125457,junction
3,4869460.845460739,557929.2856641524,junction
4,4869480.689589124,557914.2376496742,junction
5,4869493.008356906,557899.63987561,junction
6,4869505.270835365,557887.7578191387,junction
7,4869515.621058605,557874.0228552185,junction
8,4869524.374298188,557857.729920875,junction
9,4869527.987760264,557849.5851741497,junction
10,4869531.542900053,557829.4033034622,junction
11,4869542.966561304,557792.4677496733,junction
12,4869561.941530437,557786.0934929082,junction
13,4869568.275012822,557773.7247106135,junction
14,4869578.345649645,557761.1131075845,junction
15,4869580.558053786,557756.7949884272,junction
16,4869606.0,557714.0,outfall
17,4869122.0,558028.0,inlet
18,4869130.236099421,558025.5362626687,junction
19,4869154.377272958,558020.5512735755,junction
20,4869184.212168337,558010.5361259793,junction
21,4869205.321252421,558007.2704202852,junction
22,4869215.981973064,558004.1617441736,junction
23,4869226.868844455,558001.8716676584,junction
24,4869253.505628353,557992.1951837343,junction
25,4869272.434501702,557981.2137955015,junction
26,4869278.607882111,557976.8382564397,junction
27,4869303.771939261,557962.3586186897,junction
28,4869317.035491246,557954.4690794237,junction
29,4869328.439491298,557947.4929784499,junction
30,4869351.059236983,557935.5037488448,junction
31,4869362.816746758,557929.7545534134,junction
32,4869377.197821101,557921.1485583937,junction
33,4869403.720348356,557905.3511424236,junction
34,4869425.441033943,557892.2227228305,junction
35,4869444.112002132,557881.3067311911,junction
36,4869450.7837184,557877.2376882095,junction
37,4869479.786613418,557856.8773261296,junction
38,4869502.91263199,557836.2721605065,junction
39,4869507.604634354,557830.8248362106,junction
40,4869097.0,558106.0,inlet
41,4869102.373147062,558101.4832931209,junction
42,4869128.799331824,558082.0745360494,junction
43,4869139.141093673,558074.3881822189,junction
44,4869153.280798575,558066.885382328,junction
45,4869179.5328111015,558058.1503126004,junction
46,4869191.523031352,558055.4138470871,junction
47,4869200.612300408,558052.3979519496,junction
48,4869237.510956739,558045.9820582788,junction
49,4869266.771062088,558041.5860534232,junction
50,4869285.022247491,558028.900915799,junction
51,4869304.494956187,558012.7035708377,junction
52,4869317.103526398,558003.003246827,junction
53,4869330.012872066,557994.3038531877,junction
54,4869351.914950749,557978.1488794427,junction
55,4869373.58670479,557963.5535463591,junction
56,4869387.644029947,557956.3305726608,junction
57,4869402.78960561,557946.4055384439,junction
58,4869428.1172191845,557929.2253177175,junction
59,4869463.0086107375,557905.1290750976,junction
60,4869495.282701195,557874.6450117823,junction
61,4869004.0,557989.0,inlet
62,4869034.658152737,557981.9313026853,junction
63,4869039.347345722,557980.4520474666,junction
64,4869050.106369811,557977.399933118,junction
65,4869085.96503623,557968.7129955923,junction
66,4869104.169760487,557963.5029731748,junction
67,4869126.518185145,557957.5429101662,junction
68,4869137.122104504,557951.5387773569,junction
69,4869156.87489207,557937.2136566491,junction
70,4869175.49049388,557927.8174833748,junction
71,4869204.658524799,557916.0595141912,junction
72,4869224.508813721,557906.4139648614,junction
73,4869254.288187356,557892.4470891528,junction
74,4869274.374786936,557883.1182437857,junction
75,4869282.711183293,557879.0206754549,junction
76,4869304.954578837,557868.8724056571,junction
77,4869327.187955596,557858.3963804267,junction
78,4869335.4299836,557854.909392465,junction
79,4869354.75263856,557844.7372928867,junction
80,4869378.333094529,557835.541995898,junction
81,4869390.859140063,557830.1693358703,junction
82,4869398.800682073,557827.0715510047,junction
83,4869429.395977951,557814.6686011464,junction
84,4869450.463506947,557806.1142532222,junction
85,4869477.356048217,557793.9532033196,junction
86,4869505.226271205,557781.1691699172,junction
87,4869537.200451654,557764.6445675571,junction
88,4869552.468096291,557753.038054707,junction
89,4869591.212014171,557731.1827082798,junction
90,4868964.0,558630.0,inlet
91,4868985.8302946035,558617.4077965361,junction
92,4869003.68130216,558607.0505074854,junction
93,4869010.265667112,558603.1842784089,junction
94,4869029.113896718,558592.2566002146,junction
95,4869050.596240452,558579.7150925852,junction
96,4869074.591614157,558566.2714941595,junction
97,4869086.5271856105,558555.8929506127,junction
98,4869100.65385079,558540.149746709,junction
99,4869106.733257301,558528.2965124829,junction
100,4869123.337258703,558493.385411636,junction
101,4869127.100543493,558472.8771087413,junction
102,4869133.227375212,558438.4685293143,junction
103,4869146.387762511,558428.8282216463,junction
104,4869149.391974603,558427.0943819156,junction
105,4869157.6151489215,558403.4008730301,junction
106,4869160.333834609,558359.4496367367,junction
107,4869163.027635653,558337.7809403829,junction
108,4869172.880864271,558321.162186373,junction
