datetime,"557714, 4869606","557689, 4869553",total,error
2018-01-01,836.5860318437626,-0.0,836.5860318437626,-671.1967823562375
2018-01-02,823.8353933889302,-0.0,823.8353933889302,-662.9170902110698
2018-01-03,812.5660160283151,-0.0,812.5660160283151,-669.645617471685
2018-01-04,805.4381261459785,-0.0,805.4381261459785,-675.8281842540216
2018-01-05,795.8420304695464,-0.0,795.8420304695464,-539.9305642538579
2018-01-06,786.6824794580607,-0.0,786.6824794580607,-455.53215254193924
2018-01-07,776.474335699153,-0.0,776.474335699153,-473.29344280084706
2018-01-08,768.068291719057,-0.0,768.068291719057,-467.566447480943
2018-01-09,759.8449210887629,-0.0,759.8449210887629,-475.7898181112371
2018-01-10,751.5955597299035,-0.0,751.5955597299035,-489.0343387700966
2018-01-11,741.4921426313522,-0.0,741.4921426313522,-515.6780152686479
2018-01-12,1983.6250308758608,854.1653500608663,2837.790380936727,1601.333155136727
2018-01-13,899.9205630602228,-0.0,899.9205630602228,-335.71417613977724
2018-01-14,807.9085428135877,-0.0,807.9085428135877,-428.54868298641236
2018-01-15,764.2574558953056,-0.0,764.2574558953056,-469.82216610469436
2018-01-16,735.6342444442416,-0.0,735.6342444442416,-499.2079601557584
2018-01-17,721.378467540053,-0.0,721.378467540053,-514.2862236599472
2018-01-18,711.2019742289267,-0.0,711.2019742289267,-525.2852035710732
2018-01-19,893.2435638950556,-0.0,893.2435638950556,-340.8360581049444
2018-01-20,917.9550019350281,-0.0,917.9550019350281,-317.6797372649719
2018-01-21,801.8913849226083,-0.0,801.8913849226083,-405.2121086773918
2018-01-22,743.437547052672,-0.0,743.437547052672,-567.2578536473281
2018-01-23,4888.920708918275,3797.740790993659,8686.661499911934,7477.150797911934
2018-01-24,2263.6466070043534,1137.8857744058187,3401.532381410172,2218.997460410172
2018-01-25,1612.0960796522704,477.7453086670139,2089.8413883192843,929.4974361192842
2018-01-26,1439.5443821568624,302.9312690491206,1742.475651205983,454.29081740598303
2018-01-27,1383.1796606637072,245.8305765776895,1629.0102372413967,275.8275519413967
2018-01-28,1209.8034156501672,70.20070754311746,1280.0041231932846,-31.299383206715447
2018-01-29,1191.4358080421225,51.59608724419377,1243.0318952863163,-2.4726831136836154
2018-01-30,1143.5739369814837,3.1185417247907026,1146.6924787062744,-98.04985279372568
2018-01-31,1130.1946361822193,-0.0,1130.1946361822193,-107.9075628177809
2018-02-01,1075.1265529093216,-0.0,1075.1265529093216,-163.82808469067845
2018-02-02,970.0318456562527,-0.0,970.0318456562527,-267.2478667437474
2018-02-03,951.1296462469327,-0.0,951.1296462469327,-284.50509295306733
2018-02-04,897.4196587547631,-0.0,897.4196587547631,-339.89034134523695
2018-02-05,883.2666858717712,-0.0,883.2666858717712,-355.6579997282288
2018-02-06,872.15797129563,-0.0,872.15797129563,-367.58920090437005
2018-02-07,853.1199427981774,-0.0,853.1199427981774,-412.9468006018226
2018-02-08,824.4886604380881,-0.0,824.4886604380881,-475.30003356191196
2018-02-09,815.6347503455181,-0.0,815.6347503455181,-498.13621585448186
2018-02-10,777.8148540888214,-0.0,777.8148540888214,-536.7785987111786
2018-02-11,742.9422117239592,-0.0,742.9422117239592,-606.6149873760407
2018-02-12,730.2803744267294,-0.0,730.2803744267294,-624.3934704732708
2018-02-13,718.0248247889394,-0.0,718.0248247889394,-669.9375055110606
2018-02-14,709.2347890770616,-0.0,709.2347890770616,-685.6416166229385
2018-02-15,736.2519197916699,-0.0,736.2519197916699,-676.9924905083301
2018-02-16,711.7901218415354,-0.0,711.7901218415354,-690.8534728584646
2018-02-17,649.1662243823666,-0.0,649.1662243823666,-765.0854308176333
2018-02-18,630.9699806955468,-0.0,630.9699806955468,-798.2369070044533
2018-02-19,675.6218325951195,-0.0,675.6218325951195,-804.7610765048805
2018-02-20,642.3857711464516,-0.0,642.3857711464516,-786.7598625535484
2018-02-21,598.155356411633,-0.0,598.155356411633,-773.6386529883669
2018-02-22,598.1564701414318,-0.0,598.1564701414318,-715.6747357585682
2018-02-23,579.6498573908466,-0.0,579.6498573908466,-735.7963697091534
2018-02-24,566.2983336827165,-0.0,566.2983336827165,-750.0006677172835
2018-02-25,1060.4659600771847,-0.0,1060.4659600771847,-247.54759992281538
2018-02-26,655.3973172498227,-0.0,655.3973172498227,-660.9319718501774
2018-02-27,2207.7050638867076,1081.204772785597,3288.9098366723047,1744.4660372723047
2018-02-28,1484.5724982784013,348.5476820626063,1833.1201803410077,-379.17043075899255
2018-03-01,947.297534220299,-0.0,947.297534220299,-1970.882345879701
2018-03-02,839.565808591884,-0.0,839.565808591884,-2032.2886208081163
2018-03-03,705.5362814375112,-0.0,705.5362814375112,-3054.201791762489
2018-03-04,619.7546200352954,-0.0,619.7546200352954,-3615.0816118647044
2018-03-05,708.4760109161434,-0.0,708.4760109161434,-2632.0731446838568
2018-03-06,573.9759861576022,-0.0,573.9759861576022,-2054.473454942398
2018-03-07,559.9477621728583,-0.0,559.9477621728583,-1872.7056304271418
2018-03-08,538.7010485608189,-0.0,538.7010485608189,-1806.871670439181
2018-03-09,527.8784472249827,-0.0,527.8784472249827,-1743.7662035750172
2018-03-10,833.3770721617329,-0.0,833.3770721617329,-1528.657868138267
2018-03-11,705.7492845540983,-0.0,705.7492845540983,-1669.193731145902
2018-03-12,709.9883064607857,-0.0,709.9883064607857,-1659.6272933392142
2018-03-13,606.5124829970155,-0.0,606.5124829970155,-1780.3677169029847
2018-03-14,545.0598297276156,-0.0,545.0598297276156,-2141.0770661723845
2018-03-15,503.5058772321645,-0.0,503.5058772321645,-2435.0239253678355
2018-03-16,477.01237561895687,-0.0,477.01237561895687,-2402.110942481043
2018-03-17,467.0246547662682,-0.0,467.0246547662682,-2933.201542433732
2018-03-18,455.82221242718515,-0.0,455.82221242718515,-4595.517903672815
2018-03-19,445.12459051815677,-0.0,445.12459051815677,-4436.829940181843
2018-03-20,433.4725174213527,-0.0,433.4725174213527,-3893.8561222786475
2018-03-21,421.3424343417428,-0.0,421.3424343417428,-3243.552465258257
2018-03-22,412.5431224782078,-0.0,412.5431224782078,-3153.2504119217924
2018-03-23,402.06054792102077,-0.0,402.06054792102077,-3070.4794252789793
2018-03-24,391.5049320278922,-0.0,391.5049320278922,-2810.799027872108
2018-03-25,380.28035437333165,-0.0,380.28035437333165,-2645.8580537266685
2018-03-26,369.15956049498345,-0.0,369.15956049498345,-2678.074891705017
2018-03-27,2308.179584220881,1183.007949647028,3491.187533867909,272.2499539679088
2018-03-28,1214.7370041182585,75.19801464122429,1289.9350187594828,-2012.4270855405175
2018-03-29,698.2459478106903,-0.0,698.2459478106903,-2580.98068358931
2018-03-30,617.942508945096,-0.0,617.942508945096,-2511.937521254904
2018-03-31,554.3687513181794,-0.0,554.3687513181794,-2479.5197448818208
2018-04-01,699.5212792528619,-0.0,699.5212792528619,-2281.4165035471383
2018-04-02,506.42516744682507,-0.0,506.42516744682507,-2392.456549953175
2018-04-03,469.46977514638274,-0.0,469.46977514638274,-2387.920838853617
2018-04-04,434.359550884692,-0.0,434.359550884692,-2374.551391315308
2018-04-05,430.5042273672152,-0.0,430.5042273672152,-2341.719395632785
